ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.4,67,1017,4.7,200,55,Clouds,scattered clouds
1725152400000,20,64,1010,4.2,85,40,Clouds,scattered clouds
1725156000000,22,68,1013,4.1,293,43,Clouds,scattered clouds
1725159600000,22.1,59,1016,3.5,75,59,Clouds,scattered clouds
1725163200000,24.7,63,1018,2.1,214,57,Clouds,scattered clouds
1725166800000,23.9,56,1012,2.6,175,45,Clouds,scattered clouds
1725170400000,26.4,57,1012,3.6,111,41,Clouds,scattered clouds
1725174000000,25.5,62,1009,4.4,19,61,Clouds,scattered clouds
1725177600000,27.1,54,1019,3.3,272,37,Clouds,scattered clouds
1725181200000,26,60,1013,3.7,264,53,Clouds,scattered clouds
1725184800000,25.5,60,1014,5,40,54,Clouds,scattered clouds
1725188400000,25.1,64,1014,4.3,44,48,Clouds,scattered clouds
1725192000000,21.5,65,1010,5.6,12,59,Clouds,scattered clouds
1725195600000,20.8,65,1008,5.9,181,52,Clouds,scattered clouds
1725199200000,21.5,68,1007,5.1,2,65,Clouds,scattered clouds
1725202800000,18.6,68,1010,4.5,287,46,Clouds,scattered clouds
1725206400000,17.7,73,1012,5.7,308,59,Clouds,scattered clouds
1725210000000,18.1,64,1013,4.3,193,53,Clouds,scattered clouds
1725213600000,17.6,73,1013,4.3,335,70,Clouds,scattered clouds
1725217200000,15.4,69,1010,4.5,85,45,Clouds,scattered clouds
1725220800000,14.2,73,1009,3.6,302,70,Clouds,scattered clouds
1725224400000,15.6,69,1007,2.8,329,50,Clouds,scattered clouds
1725228000000,15.8,74,1018,2.5,214,65,Clouds,scattered clouds
1725231600000,14.3,76,1018,3.3,4,59,Clouds,scattered clouds
1725235200000,15.6,70,1012,3.2,111,51,Clouds,scattered clouds
1725238800000,15.3,73,1018,4,319,47,Clouds,scattered clouds
1725242400000,16.3,72,1015,2.9,105,50,Clouds,scattered clouds
1725246000000,18.7,69,1013,3.4,264,60,Clouds,scattered clouds
1725249600000,20,67,1014,4.7,40,59,Clouds,scattered clouds
1725253200000,19.1,72,1013,5.5,293,45,Clouds,scattered clouds
1725256800000,20.3,61,1016,5.6,75,61,Clouds,scattered clouds
1725260400000,20.9,68,1018,4.8,214,60,Clouds,scattered clouds
1725264000000,19.3,62,1010,6.2,104,50,Clouds,scattered clouds
1725267600000,18.6,66,1015,5.1,201,41,Clouds,scattered clouds
1725271200000,19.7,69,1009,6,19,66,Clouds,scattered clouds
1725274800000,17.2,66,1019,4.3,272,46,Clouds,scattered clouds
1725278400000,16.2,73,1013,4.2,82,63,Clouds,scattered clouds
1725282000000,15.4,69,1016,5.3,154,60,Clouds,scattered clouds
1725285600000,13.3,78,1014,3.4,44,59,Clouds,scattered clouds
1725289200000,13,70,1017,4.6,49,44,Clouds,scattered clouds
1725292800000,12.3,75,1008,3.9,181,60,Clouds,scattered clouds
1725296400000,9.4,83,1007,2.6,2,76,Clouds,overcast clouds
1725300000000,9.2,73,1008,3.2,299,69,Clouds,scattered clouds
1725303600000,8.8,84,1012,3.5,308,67,Clouds,scattered clouds
1725307200000,9.3,80,1015,2.5,105,57,Clouds,scattered clouds
1725310800000,7.7,85,1013,3.5,335,80,Clouds,overcast clouds
1725314400000,8,78,1010,4.5,85,52,Clouds,scattered clouds
1725318000000,9.1,84,1013,5.3,293,55,Clouds,scattered clouds
1725321600000,7.9,78,1007,4.3,329,57,Clouds,scattered clouds
1725325200000,10.3,80,1018,4.7,214,70,Clouds,scattered clouds
1725328800000,11.5,70,1012,5.1,175,57,Clouds,scattered clouds
1725332400000,11.5,75,1012,5.8,111,55,Clouds,scattered clouds
1725336000000,10.5,80,1009,6,19,75,Clouds,scattered clouds
1725339600000,13.2,70,1019,4.4,272,50,Clouds,scattered clouds
1725343200000,11.7,77,1013,4.3,264,66,Clouds,scattered clouds
1725346800000,11.3,78,1014,5,40,68,Clouds,scattered clouds
1725350400000,12.7,79,1013,5.2,293,51,Clouds,scattered clouds
1725354000000,12.5,76,1010,4.5,12,67,Clouds,scattered clouds
1725357600000,10.5,77,1008,4.3,181,62,Clouds,scattered clouds
1725361200000,11,72,1010,4.1,104,58,Clouds,scattered clouds
1725364800000,8.9,78,1015,2.5,201,51,Clouds,scattered clouds
1725368400000,7.7,82,1016,2.7,221,61,Clouds,scattered clouds
1725372000000,5.6,78,1011,2.2,19,63,Clouds,scattered clouds
1725375600000,5.8,85,1013,2.7,82,73,Clouds,scattered clouds
1725379200000,3.8,88,1016,4.6,56,71,Clouds,scattered clouds
1725382800000,3,90,1014,3.5,44,69,Rain,light rain
1725386400000,2.6,83,1017,5.5,49,54,Clouds,scattered clouds
1725390000000,1.2,93,1009,6,125,81,Snow,light snow showers
1725393600000,-0.3,94,1007,4.9,2,86,Snow,light snow showers
1725397200000,-1.3,88,1017,5.8,114,78,Clouds,overcast clouds
1725400800000,-1.5,96,1012,5.9,308,77,Snow,light snow showers
1725404400000,-1.1,93,1015,4.5,105,67,Snow,light snow showers
1725408000000,1.5,89,1013,4.4,264,76,Snow,light snow showers
1725411600000,2.4,85,1010,5.3,85,57,Clouds,scattered clouds
1725415200000,1.5,93,1013,5.5,293,62,Snow,light snow showers
1725418800000,1.3,84,1016,4.9,75,79,Clouds,overcast clouds
1725422400000,3.5,89,1018,3.7,214,77,Clouds,overcast clouds
1725426000000,4.5,80,1010,4.5,104,64,Clouds,scattered clouds
1725429600000,5,83,1015,2.9,201,54,Clouds,scattered clouds
1725433200000,2.3,90,1009,3.4,19,83,Rain,light rain
1725436800000,3.8,82,1019,1.7,272,59,Clouds,scattered clouds
1725440400000,2.3,88,1013,2.2,264,75,Clouds,scattered clouds
1725444000000,2.7,85,1016,4.2,154,72,Clouds,scattered clouds
1725447600000,2.4,91,1014,3.2,44,70,Rain,light rain
1725451200000,-0.2,91,1010,4.7,12,80,Snow,light snow showers
1725454800000,-0.7,91,1008,5.2,181,72,Snow,light snow showers
1725458400000,-1.6,96,1007,4.7,2,87,Snow,light snow showers
1725462000000,-4.5,94,1017,5.6,149,82,Snow,light snow showers
1725465600000,-5.5,97,1016,5.6,221,72,Snow,light snow showers
1725469200000,-7.1,97,1007,5.9,255,68,Snow,light snow showers
1725472800000,-9.2,97,1013,4.6,82,83,Snow,light snow showers
1725476400000,-9.6,97,1016,5.9,56,79,Snow,light snow showers
1725480000000,-8.6,97,1013,4.6,253,85,Snow,light snow showers
1725483600000,-10.6,97,1017,5.6,49,65,Snow,light snow showers
1725487200000,-10.2,97,1015,3.9,28,72,Snow,light snow showers
1725490800000,-8.2,97,1007,3.8,2,88,Snow,light snow showers
1725494400000,-9.6,97,1017,4.1,114,86,Snow,light snow showers
1725498000000,-8.9,97,1012,3.5,289,88,Snow,light snow showers
1725501600000,-6.9,97,1015,1.8,105,71,Snow,light snow showers
1725505200000,-6.1,97,1013,1.8,264,82,Snow,light snow showers
1725508800000,-7.2,97,1014,3.3,40,83,Snow,light snow showers
1725512400000,-7.6,97,1013,4.2,293,66,Snow,light snow showers
1725516000000,-6.6,97,1010,4.4,12,84,Snow,light snow showers
1725519600000,-5.7,96,1008,4.9,181,77,Snow,light snow showers
1725523200000,-7.7,95,1010,5.6,104,76,Snow,light snow showers
1725526800000,-7.5,97,1015,4.7,201,66,Snow,light snow showers
1725530400000,-9.4,97,1009,5.9,19,89,Snow,light snow showers
1725534000000,-10.3,97,1011,4.5,19,78,Snow,light snow showers
1725537600000,-9.9,97,1013,4.7,82,83,Snow,light snow showers
1725541200000,-10.7,97,1016,6,154,82,Snow,light snow showers
1725544800000,-12,97,1014,4.4,44,74,Snow,light snow showers
