ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.8,67,1012,4.9,34,52,Clouds,scattered clouds
1725152400000,20,68,1009,4.6,294,49,Clouds,scattered clouds
1725156000000,19.7,69,1011,4.5,130,50,Clouds,scattered clouds
1725159600000,21.1,59,1018,2.7,275,53,Clouds,scattered clouds
1725163200000,22.3,59,1010,2.9,99,54,Clouds,scattered clouds
1725166800000,25.3,57,1016,3.7,145,40,Clouds,scattered clouds
1725170400000,25.5,61,1009,3.7,250,58,Clouds,scattered clouds
1725174000000,25.2,59,1009,2.8,11,47,Clouds,scattered clouds
1725177600000,24.7,55,1011,4.2,143,53,Clouds,scattered clouds
1725181200000,24.4,56,1018,5.2,93,53,Clouds,scattered clouds
1725184800000,23.4,65,1017,5.4,264,64,Clouds,scattered clouds
1725188400000,21.6,66,1016,5.2,195,57,Clouds,scattered clouds
1725192000000,21,65,1018,4.8,245,59,Clouds,scattered clouds
1725195600000,21.3,66,1013,4.9,309,63,Clouds,scattered clouds
1725199200000,17.4,73,1018,5.3,196,50,Clouds,scattered clouds
1725202800000,18.7,66,1012,6,145,58,Clouds,scattered clouds
1725206400000,17.3,67,1013,4.8,146,45,Clouds,scattered clouds
1725210000000,15.4,74,1008,4.3,71,62,Clouds,scattered clouds
1725213600000,13.6,74,1010,4.7,236,69,Clouds,scattered clouds
1725217200000,12.7,77,1009,5,294,56,Clouds,scattered clouds
1725220800000,12.8,79,1011,3.6,158,53,Clouds,scattered clouds
1725224400000,11.6,75,1011,4.1,305,64,Clouds,scattered clouds
1725228000000,13.9,69,1010,3.3,99,62,Clouds,scattered clouds
1725231600000,12.6,71,1008,2.4,18,56,Clouds,scattered clouds
1725235200000,14,74,1009,3.2,250,69,Clouds,scattered clouds
1725238800000,15.1,67,1010,3,135,66,Clouds,scattered clouds
1725242400000,14.2,75,1016,3.3,288,57,Clouds,scattered clouds
1725246000000,17.4,65,1018,4.9,93,60,Clouds,scattered clouds
1725249600000,17.7,72,1017,5.1,264,69,Clouds,scattered clouds
1725253200000,17.5,71,1011,5.9,130,52,Clouds,scattered clouds
1725256800000,17.3,63,1018,4.8,275,56,Clouds,scattered clouds
1725260400000,18.4,64,1010,5.6,99,58,Clouds,scattered clouds
1725264000000,18.6,71,1018,6.4,280,62,Clouds,scattered clouds
1725267600000,16.4,63,1018,5.2,126,43,Clouds,scattered clouds
1725271200000,16.9,69,1009,4.4,11,55,Clouds,scattered clouds
1725274800000,16.8,64,1011,5.2,143,61,Clouds,scattered clouds
1725278400000,14.7,75,1008,5.7,281,53,Clouds,scattered clouds
1725282000000,12.3,79,1012,5,42,64,Clouds,scattered clouds
1725285600000,11.6,78,1016,4.3,195,67,Clouds,scattered clouds
1725289200000,10.7,75,1009,3.3,273,67,Clouds,scattered clouds
1725292800000,8.1,82,1013,2.8,309,75,Clouds,scattered clouds
1725296400000,8,84,1018,2.8,196,59,Clouds,scattered clouds
1725300000000,6,81,1018,2.7,38,60,Clouds,scattered clouds
1725303600000,5.2,81,1013,2.6,146,57,Clouds,scattered clouds
1725307200000,6.1,85,1016,2.9,288,65,Clouds,scattered clouds
1725310800000,5.8,83,1010,3.9,236,77,Clouds,overcast clouds
1725314400000,4.7,87,1009,4.9,294,64,Clouds,scattered clouds
1725318000000,6.2,85,1011,5.6,130,63,Clouds,scattered clouds
1725321600000,5.9,82,1011,5.6,305,69,Clouds,scattered clouds
1725325200000,7.9,76,1010,5.5,99,68,Clouds,scattered clouds
1725328800000,6.6,80,1016,6.3,145,58,Clouds,scattered clouds
1725332400000,8.8,81,1009,5.8,250,74,Clouds,scattered clouds
1725336000000,9,78,1009,4.5,11,62,Clouds,scattered clouds
1725339600000,9.4,73,1011,5.3,143,68,Clouds,scattered clouds
1725343200000,8.3,76,1018,5.8,93,68,Clouds,scattered clouds
1725346800000,10.1,81,1017,5.4,264,76,Clouds,overcast clouds
1725350400000,10.5,80,1011,5.5,130,58,Clouds,scattered clouds
1725354000000,9.5,79,1018,3.7,245,70,Clouds,scattered clouds
1725357600000,7.4,83,1013,3.2,309,76,Clouds,overcast clouds
1725361200000,6.1,86,1018,4.3,280,74,Clouds,scattered clouds
1725364800000,6.7,75,1018,2.6,126,52,Clouds,scattered clouds
1725368400000,5.8,79,1019,2.4,249,68,Clouds,scattered clouds
1725372000000,3.2,91,1010,3.6,79,67,Rain,light rain
1725375600000,1.4,91,1008,4.2,281,66,Snow,light snow showers
1725379200000,0.3,92,1014,3.4,273,69,Snow,light snow showers
1725382800000,-1.1,93,1016,4.4,195,79,Snow,light snow showers
1725386400000,-2.8,92,1009,4.1,273,80,Snow,light snow showers
1725390000000,-1.6,94,1016,5.6,110,79,Snow,light snow showers
1725393600000,-2.8,97,1018,5.1,196,69,Snow,light snow showers
1725397200000,-2.7,89,1014,5.5,163,83,Snow,light snow showers
1725400800000,-2.2,90,1013,5.1,146,64,Snow,light snow showers
1725404400000,-3.5,96,1016,4.9,288,75,Snow,light snow showers
1725408000000,-2.9,89,1018,6,93,79,Snow,light snow showers
1725411600000,-3.2,96,1009,5.8,294,71,Snow,light snow showers
1725415200000,-2.8,96,1011,5.8,130,71,Snow,light snow showers
1725418800000,-1.5,86,1018,4.2,275,74,Clouds,scattered clouds
1725422400000,-2,88,1010,4.4,99,77,Clouds,overcast clouds
1725426000000,0.1,93,1018,4.7,280,80,Snow,light snow showers
1725429600000,-1.2,85,1018,3,126,60,Clouds,scattered clouds
1725433200000,-0.4,90,1009,1.8,11,71,Snow,light snow showers
1725436800000,0.3,84,1011,2.6,143,77,Clouds,overcast clouds
1725440400000,-1.3,87,1018,3.8,93,78,Clouds,overcast clouds
1725444000000,-0.6,94,1012,4,42,76,Snow,light snow showers
1725447600000,-2,94,1016,4,195,80,Snow,light snow showers
1725451200000,-3.9,95,1018,3.9,245,83,Snow,light snow showers
1725454800000,-5.9,97,1013,4.2,309,88,Snow,light snow showers
1725458400000,-6.3,97,1018,4.9,196,69,Snow,light snow showers
1725462000000,-7.4,97,1018,6.3,29,87,Snow,light snow showers
1725465600000,-8.9,97,1019,5.3,249,82,Snow,light snow showers
1725469200000,-11.4,97,1013,6.4,265,82,Snow,light snow showers
1725472800000,-12,97,1008,6.1,281,70,Snow,light snow showers
1725476400000,-12,97,1014,4.7,273,72,Snow,light snow showers
1725480000000,-12,97,1017,4.3,337,80,Snow,light snow showers
1725483600000,-12,97,1009,4.2,273,84,Snow,light snow showers
1725487200000,-12,97,1012,4,240,79,Snow,light snow showers
1725490800000,-12,97,1018,4,196,69,Snow,light snow showers
1725494400000,-11.5,97,1014,3.8,163,89,Snow,light snow showers
1725498000000,-11.2,97,1018,3.8,354,71,Snow,light snow showers
1725501600000,-11.4,97,1016,2.2,288,75,Snow,light snow showers
1725505200000,-11.6,97,1018,3.3,93,86,Snow,light snow showers
1725508800000,-11.2,97,1017,3.7,264,89,Snow,light snow showers
1725512400000,-10.2,97,1011,4.6,130,72,Snow,light snow showers
1725516000000,-9.4,97,1018,3.5,245,85,Snow,light snow showers
1725519600000,-8.6,97,1013,3.9,309,88,Snow,light snow showers
1725523200000,-10.4,97,1018,5.8,280,83,Snow,light snow showers
1725526800000,-10.3,96,1018,4.9,126,68,Snow,light snow showers
1725530400000,-10.8,97,1009,4.3,11,77,Snow,light snow showers
1725534000000,-12,97,1010,6,79,72,Snow,light snow showers
1725537600000,-12,97,1008,6.2,281,70,Snow,light snow showers
1725541200000,-12,97,1012,5.8,42,78,Snow,light snow showers
1725544800000,-12,97,1016,5.3,195,82,Snow,light snow showers
1725548400000,-12,97,1009,4.5,273,84,Snow,light snow showers
1725552000000,-12,97,1016,5.4,110,81,Snow,light snow showers
1725555600000,-12,97,1018,4.3,196,69,Snow,light snow showers
1725559200000,-12,97,1014,4.2,163,89,Snow,light snow showers
1725562800000,-12,97,1019,3.5,249,82,Snow,light snow showers
1725566400000,-12,97,1013,4.1,265,82,Snow,light snow showers
1725570000000,-12,97,1015,2.2,299,83,Snow,light snow showers
1725573600000,-12,97,1014,2.2,273,72,Snow,light snow showers
1725577200000,-12,97,1012,3.5,205,89,Snow,light snow showers
1725580800000,-12,97,1009,3.1,273,84,Snow,light snow showers
1725584400000,-12,97,1012,3.6,240,79,Snow,light snow showers
1725588000000,-12,97,1017,4.5,219,81,Snow,light snow showers
1725591600000,-12,97,1014,5,163,89,Snow,light snow showers
1725595200000,-11.7,97,1018,5.8,354,71,Snow,light snow showers
1725598800000,-9.6,97,1014,4.5,153,77,Snow,light snow showers
1725602400000,-9.3,97,1018,6.1,93,85,Snow,light snow showers
1725606000000,-10.5,97,1012,5.8,42,78,Snow,light snow showers
1725609600000,-9.5,97,1016,5.4,195,82,Snow,light snow showers
1725613200000,-10.8,97,1018,4.7,245,85,Snow,light snow showers
1725616800000,-10.3,97,1013,4.5,309,88,Snow,light snow showers
1725620400000,-12,97,1018,5.7,280,83,Snow,light snow showers
1725624000000,-12,97,1018,5.4,29,87,Snow,light snow showers
1725627600000,-12,97,1019,3.8,249,82,Snow,light snow showers
1725631200000,-12,97,1010,4.1,79,72,Snow,light snow showers
1725634800000,-12,97,1008,3.8,281,70,Snow,light snow showers
1725638400000,-12,97,1014,1.9,273,72,Snow,light snow showers
1725642000000,-12,97,1017,2,337,80,Snow,light snow showers
1725645600000,-12,97,1009,2.7,273,84,Snow,light snow showers
1725649200000,-12,97,1012,3.3,240,79,Snow,light snow showers
1725652800000,-12,97,1018,4.1,196,69,Snow,light snow showers
1725656400000,-12,97,1014,4.7,163,89,Snow,light snow showers
1725660000000,-12,97,1016,4.3,72,76,Snow,light snow showers
1725663600000,-12,97,1013,6.1,265,82,Snow,light snow showers
1725667200000,-12,97,1013,5.8,92,79,Snow,light snow showers
1725670800000,-12,97,1014,4.8,273,72,Snow,light snow showers
1725674400000,-12,97,1012,5.6,205,89,Snow,light snow showers
1725678000000,-12,97,1018,4.9,307,83,Snow,light snow showers
1725681600000,-9.6,97,1012,4.7,240,79,Snow,light snow showers
1725685200000,-9.7,97,1017,5,219,81,Snow,light snow showers
1725688800000,-8.9,97,1010,4.2,260,70,Snow,light snow showers
1725692400000,-8.2,95,1018,4.9,354,69,Snow,light snow showers
1725696000000,-9,97,1016,3.3,101,86,Snow,light snow showers
1725699600000,-10.5,97,1012,4.2,114,82,Snow,light snow showers
1725703200000,-12,97,1012,3.4,42,78,Snow,light snow showers
1725706800000,-12,97,1016,2.5,195,82,Snow,light snow showers
1725710400000,-12,97,1018,2.4,245,85,Snow,light snow showers
1725714000000,-12,97,1016,4,110,81,Snow,light snow showers
1725717600000,-12,97,1018,3.7,196,69,Snow,light snow showers
1725721200000,-12,97,1018,5.3,29,87,Snow,light snow showers
1725724800000,-12,97,1019,4.5,249,82,Snow,light snow showers
1725728400000,-12,97,1013,5.9,265,82,Snow,light snow showers
1725732000000,-12,97,1015,4.8,299,83,Snow,light snow showers
1725735600000,-12,97,1014,4.8,273,72,Snow,light snow showers
1725739200000,-12,97,1012,5.6,205,89,Snow,light snow showers
1725742800000,-12,97,1009,4.9,273,84,Snow,light snow showers
1725746400000,-12,97,1012,4.8,240,79,Snow,light snow showers
1725750000000,-12,97,1019,5.9,81,79,Snow,light snow showers
1725753600000,-12,97,1014,5.1,163,89,Snow,light snow showers
1725757200000,-12,97,1018,5.3,354,71,Snow,light snow showers
1725760800000,-12,97,1013,5.2,265,82,Snow,light snow showers
1725764400000,-12,97,1013,4.3,92,79,Snow,light snow showers
1725768000000,-10.4,97,1008,4.1,249,87,Snow,light snow showers
1725771600000,-11,97,1012,3.1,205,89,Snow,light snow showers
1725775200000,-10,97,1018,2,307,83,Snow,light snow showers
1725778800000,-9.5,97,1011,2.2,90,78,Snow,light snow showers
1725782400000,-11.1,97,1017,3.5,219,81,Snow,light snow showers
1725786000000,-10.6,96,1019,3.6,162,66,Snow,light snow showers
1725789600000,-10.3,97,1009,5.3,297,79,Snow,light snow showers
1725793200000,-11.7,97,1016,4.1,101,86,Snow,light snow showers
1725796800000,-12,97,1012,5.7,114,82,Snow,light snow showers
1725800400000,-12,97,1012,5.6,42,78,Snow,light snow showers
1725804000000,-12,97,1017,4.5,337,80,Snow,light snow showers
1725807600000,-12,97,1009,4.9,273,84,Snow,light snow showers
1725811200000,-12,97,1016,6,110,81,Snow,light snow showers
1725814800000,-12,97,1018,5.2,196,69,Snow,light snow showers
1725818400000,-12,97,1014,5.3,163,89,Snow,light snow showers
1725822000000,-12,97,1016,4.3,72,76,Snow,light snow showers
1725825600000,-12,97,1013,5.5,265,82,Snow,light snow showers
1725829200000,-12,97,1013,4.7,92,79,Snow,light snow showers
1725832800000,-12,97,1014,3.2,273,72,Snow,light snow showers
1725836400000,-12,97,1012,3.5,205,89,Snow,light snow showers
1725840000000,-12,97,1015,2.1,118,71,Snow,light snow showers
1725843600000,-12,97,1012,2,240,79,Snow,light snow showers
1725847200000,-11.1,97,1017,3.1,219,81,Snow,light snow showers
1725850800000,-11.8,97,1014,3.7,163,89,Snow,light snow showers
1725854400000,-9.8,97,1018,4.6,354,70,Snow,light snow showers
1725858000000,-8.3,97,1016,3.8,101,86,Snow,light snow showers
1725861600000,-8.9,94,1013,5.2,92,77,Snow,light snow showers
1725865200000,-9.9,96,1008,5.7,249,86,Snow,light snow showers
1725868800000,-9.5,95,1007,4.7,227,81,Snow,light snow showers
1725872400000,-9.7,97,1018,4.9,307,83,Snow,light snow showers
1725876000000,-9.1,97,1007,4.8,98,82,Snow,light snow showers
1725879600000,-11.2,96,1016,4.9,329,86,Snow,light snow showers
1725883200000,-12,97,1019,5,162,66,Snow,light snow showers
1725886800000,-12,97,1009,6.1,297,79,Snow,light snow showers
1725890400000,-12,97,1016,4.3,101,86,Snow,light snow showers
