ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.2,70,1014,4.7,273,55,Clouds,scattered clouds
1725152400000,17.1,72,1013,4.1,110,54,Clouds,scattered clouds
1725156000000,18.9,67,1012,3.5,81,63,Clouds,scattered clouds
1725159600000,20.2,66,1015,2.6,163,59,Clouds,scattered clouds
1725163200000,20.7,62,1019,2.6,72,61,Clouds,scattered clouds
1725166800000,21.8,59,1017,1.9,265,48,Clouds,scattered clouds
1725170400000,22.5,67,1014,2.8,299,44,Clouds,scattered clouds
1725174000000,24.8,63,1012,3.1,316,50,Clouds,scattered clouds
1725177600000,24.1,55,1017,5.2,205,35,Clouds,scattered clouds
1725181200000,23,62,1016,4.9,118,55,Clouds,scattered clouds
1725184800000,21.7,59,1014,5.4,240,39,Clouds,scattered clouds
1725188400000,20.8,66,1010,4.2,219,42,Clouds,scattered clouds
1725192000000,18.6,68,1010,6.1,132,53,Clouds,scattered clouds
1725195600000,18.5,64,1012,5.3,354,62,Clouds,scattered clouds
1725199200000,17,68,1014,6.4,101,66,Clouds,scattered clouds
1725202800000,17.3,72,1010,5.8,93,54,Clouds,scattered clouds
1725206400000,13.5,70,1012,4.9,42,53,Clouds,scattered clouds
1725210000000,14.9,68,1016,4.3,95,43,Clouds,scattered clouds
1725213600000,13.8,73,1017,4.8,245,63,Clouds,scattered clouds
1725217200000,12.2,78,1013,4.4,110,58,Clouds,scattered clouds
1725220800000,10.8,73,1009,4.9,280,49,Clouds,scattered clouds
1725224400000,10.5,77,1013,2.9,29,67,Clouds,scattered clouds
1725228000000,11.5,73,1019,3,72,70,Clouds,scattered clouds
1725231600000,12,76,1012,3.3,79,60,Clouds,scattered clouds
1725235200000,13.3,78,1014,2.4,299,53,Clouds,scattered clouds
1725238800000,12.5,69,1013,3.4,273,60,Clouds,scattered clouds
1725242400000,14,69,1007,3.7,337,53,Clouds,scattered clouds
1725246000000,15.2,71,1016,4.5,118,63,Clouds,scattered clouds
1725249600000,14.3,67,1014,5.1,240,46,Clouds,scattered clouds
1725253200000,17.2,69,1012,4.9,81,64,Clouds,scattered clouds
1725256800000,17.2,69,1015,4.7,163,62,Clouds,scattered clouds
1725260400000,16.6,67,1019,5.4,72,65,Clouds,scattered clouds
1725264000000,15.4,72,1008,5.9,168,48,Clouds,scattered clouds
1725267600000,15.4,76,1019,5.3,92,49,Clouds,scattered clouds
1725271200000,16,74,1012,4.6,316,58,Clouds,scattered clouds
1725274800000,13.4,68,1017,6.2,205,45,Clouds,scattered clouds
1725278400000,13.3,75,1009,4.1,307,48,Clouds,scattered clouds
1725282000000,12.9,78,1012,4.7,87,73,Clouds,scattered clouds
1725285600000,10.6,78,1010,3.4,219,52,Clouds,scattered clouds
1725289200000,8.1,74,1011,4.7,162,68,Clouds,scattered clouds
1725292800000,7.4,77,1012,3.3,354,73,Clouds,scattered clouds
1725296400000,6.7,80,1014,3.9,101,76,Clouds,overcast clouds
1725300000000,7.1,75,1013,2.1,155,53,Clouds,scattered clouds
1725303600000,5.2,80,1012,2.6,42,60,Clouds,scattered clouds
1725307200000,3.4,82,1007,3.4,337,63,Clouds,scattered clouds
1725310800000,3.2,85,1017,4,245,73,Clouds,scattered clouds
1725314400000,4.7,87,1013,4.4,110,66,Clouds,scattered clouds
1725318000000,4.9,84,1012,4.6,81,76,Clouds,overcast clouds
1725321600000,4.2,85,1013,4.4,29,73,Clouds,scattered clouds
1725325200000,6.1,80,1019,5.2,72,75,Clouds,scattered clouds
1725328800000,6,78,1017,4.5,265,63,Clouds,scattered clouds
1725332400000,8.2,84,1014,4.9,299,58,Clouds,scattered clouds
1725336000000,7.3,84,1012,4.7,316,67,Clouds,scattered clouds
