ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.1,65,1011,4.7,159,63,Clouds,scattered clouds
1725152400000,16.9,72,1009,3.1,120,58,Clouds,scattered clouds
1725156000000,19,64,1016,3.9,345,48,Clouds,scattered clouds
1725159600000,19.2,65,1008,3.4,315,49,Clouds,scattered clouds
1725163200000,20.3,68,1018,1.9,222,67,Clouds,scattered clouds
1725166800000,22.7,67,1013,2.3,347,58,Clouds,scattered clouds
1725170400000,23.5,65,1008,4,120,64,Clouds,scattered clouds
1725174000000,22.6,57,1013,4.7,102,42,Clouds,scattered clouds
1725177600000,23.8,57,1009,3.3,287,57,Clouds,scattered clouds
1725181200000,22.6,67,1017,4.7,145,51,Clouds,scattered clouds
1725184800000,23.3,57,1011,5.5,128,55,Clouds,scattered clouds
1725188400000,20.1,65,1010,4.7,25,51,Clouds,scattered clouds
1725192000000,18.6,70,1012,5.9,100,66,Clouds,scattered clouds
1725195600000,18.6,72,1009,4.6,306,51,Clouds,scattered clouds
1725199200000,17.3,70,1009,5,84,57,Clouds,scattered clouds
1725202800000,14.8,68,1014,4.9,73,66,Clouds,scattered clouds
1725206400000,15.4,69,1012,5.5,83,48,Clouds,scattered clouds
1725210000000,15,73,1007,4.8,165,48,Clouds,scattered clouds
1725213600000,13.6,74,1010,4.1,349,48,Clouds,scattered clouds
1725217200000,11.5,79,1009,3.5,120,63,Clouds,scattered clouds
1725220800000,10.7,80,1015,3.5,226,61,Clouds,scattered clouds
1725224400000,12.4,74,1017,3.9,26,70,Clouds,scattered clouds
1725228000000,12.4,77,1018,2.3,222,74,Clouds,scattered clouds
1725231600000,12,78,1010,1.7,87,56,Clouds,scattered clouds
1725235200000,12.1,78,1008,3.6,120,75,Clouds,scattered clouds
1725238800000,13.1,69,1010,3.3,136,42,Clouds,scattered clouds
1725242400000,13.8,67,1009,3.5,334,44,Clouds,scattered clouds
1725246000000,13.8,78,1017,4.4,145,60,Clouds,scattered clouds
1725249600000,16.5,65,1011,5.2,128,62,Clouds,scattered clouds
1725253200000,16.3,68,1016,5.3,345,51,Clouds,scattered clouds
1725256800000,17,68,1008,5.5,315,51,Clouds,scattered clouds
1725260400000,17.6,71,1018,4.7,222,69,Clouds,scattered clouds
1725264000000,17.1,70,1011,6,145,45,Clouds,scattered clouds
1725267600000,15.8,75,1016,4.9,274,72,Clouds,scattered clouds
1725271200000,14.2,67,1013,6.3,102,50,Clouds,scattered clouds
1725274800000,13.1,69,1009,4.3,287,67,Clouds,scattered clouds
1725278400000,12.6,77,1011,5.2,309,55,Clouds,scattered clouds
1725282000000,10.3,81,1011,5,158,62,Clouds,scattered clouds
1725285600000,10.7,76,1010,3.9,25,60,Clouds,scattered clouds
1725289200000,7.8,85,1018,4,354,68,Clouds,scattered clouds
1725292800000,7.3,85,1009,2.6,306,62,Clouds,scattered clouds
1725296400000,7.2,82,1009,2.5,84,67,Clouds,scattered clouds
1725300000000,4.4,85,1009,2.8,135,71,Clouds,scattered clouds
1725303600000,5.9,81,1012,3.3,83,57,Clouds,scattered clouds
1725307200000,5,77,1009,3.1,334,53,Clouds,scattered clouds
1725310800000,4.1,85,1010,3.3,349,57,Clouds,scattered clouds
1725314400000,3.6,88,1009,3.5,120,70,Clouds,scattered clouds
1725318000000,4.9,81,1016,5,345,62,Clouds,scattered clouds
1725321600000,5.7,82,1017,5.4,26,77,Clouds,overcast clouds
1725325200000,6.2,85,1018,4.5,222,80,Clouds,overcast clouds
1725328800000,5.7,88,1013,4.9,347,75,Clouds,scattered clouds
1725332400000,5.6,86,1008,6.1,120,81,Clouds,overcast clouds
1725336000000,7.5,75,1013,6.4,102,57,Clouds,scattered clouds
1725339600000,6.9,77,1009,4.5,287,73,Clouds,scattered clouds
1725343200000,7.7,85,1017,5.3,145,65,Clouds,scattered clouds
1725346800000,8.2,75,1011,5.5,128,70,Clouds,scattered clouds
1725350400000,6.7,79,1016,4.9,345,60,Clouds,scattered clouds
1725354000000,7.2,84,1012,4.8,100,77,Clouds,overcast clouds
1725357600000,7.6,85,1009,3,306,62,Clouds,scattered clouds
1725361200000,6.4,83,1011,4,145,55,Clouds,scattered clouds
1725364800000,5.1,88,1016,2.3,274,82,Clouds,overcast clouds
1725368400000,2.8,90,1018,2.3,91,65,Clouds,scattered clouds
1725372000000,0.7,83,1009,2.7,236,63,Clouds,scattered clouds
1725375600000,0.6,91,1011,3.8,309,67,Snow,light snow showers
1725379200000,-1.4,85,1018,4.7,210,56,Clouds,scattered clouds
1725382800000,-1.1,91,1010,3.9,25,71,Snow,light snow showers
1725386400000,-4.1,97,1018,4.8,354,78,Snow,light snow showers
1725390000000,-3.4,88,1011,4.8,18,72,Clouds,scattered clouds
1725393600000,-5.7,97,1009,4.8,84,79,Snow,light snow showers
1725397200000,-5.4,91,1010,6.2,135,71,Snow,light snow showers
1725400800000,-5.9,95,1012,5.8,83,68,Snow,light snow showers
1725404400000,-4.4,89,1009,5.1,334,62,Snow,light snow showers
1725408000000,-3.3,97,1017,5.4,145,75,Snow,light snow showers
1725411600000,-3.3,97,1009,4.3,120,77,Snow,light snow showers
