ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.1,60,1017,4.3,13,43,Clouds,scattered clouds
1725152400000,20.3,68,1010,4.2,7,52,Clouds,scattered clouds
1725156000000,20.8,61,1011,3.6,253,46,Clouds,scattered clouds
1725159600000,23.1,61,1017,2.6,317,47,Clouds,scattered clouds
1725163200000,22.8,58,1017,2.1,210,42,Clouds,scattered clouds
1725166800000,25.1,63,1015,2.5,303,56,Clouds,scattered clouds
1725170400000,24.3,58,1012,3.3,174,51,Clouds,scattered clouds
1725174000000,25.2,57,1010,3,150,57,Clouds,scattered clouds
1725177600000,26.8,58,1007,3.5,254,47,Clouds,scattered clouds
1725181200000,23.8,61,1010,4.7,79,40,Clouds,scattered clouds
1725184800000,23.1,56,1009,5.4,119,49,Clouds,scattered clouds
1725188400000,21.6,69,1012,5.4,108,46,Clouds,scattered clouds
1725192000000,22.5,64,1007,4.7,283,57,Clouds,scattered clouds
1725195600000,20,60,1015,5.8,224,41,Clouds,scattered clouds
1725199200000,20.4,63,1007,5.9,55,40,Clouds,scattered clouds
1725202800000,19,70,1008,6.3,76,46,Clouds,scattered clouds
1725206400000,17.4,66,1015,4.8,178,45,Clouds,scattered clouds
1725210000000,15.2,65,1017,4.8,28,62,Clouds,scattered clouds
1725213600000,14.8,74,1007,5,121,55,Clouds,scattered clouds
1725217200000,13.3,77,1010,4.6,7,58,Clouds,scattered clouds
1725220800000,13,76,1008,4.9,7,57,Clouds,scattered clouds
1725224400000,12.9,78,1017,3.5,357,67,Clouds,scattered clouds
1725228000000,12.2,71,1017,2.5,210,53,Clouds,scattered clouds
1725231600000,12.5,74,1016,3.5,275,49,Clouds,scattered clouds
1725235200000,14.8,69,1012,2.9,174,60,Clouds,scattered clouds
1725238800000,16.1,68,1015,2.8,130,64,Clouds,scattered clouds
1725242400000,15.6,70,1017,3.4,300,55,Clouds,scattered clouds
1725246000000,17.8,68,1010,4.4,79,46,Clouds,scattered clouds
1725249600000,17.1,63,1009,5.1,119,55,Clouds,scattered clouds
1725253200000,16.8,65,1011,5,253,50,Clouds,scattered clouds
1725256800000,18.1,67,1017,4.7,317,52,Clouds,scattered clouds
1725260400000,19.2,62,1017,4.9,210,46,Clouds,scattered clouds
1725264000000,19.2,61,1016,5.5,310,58,Clouds,scattered clouds
1725267600000,16.3,72,1017,6.1,113,64,Clouds,scattered clouds
1725271200000,17.6,66,1010,4.6,150,64,Clouds,scattered clouds
1725274800000,16.3,71,1007,4.5,254,57,Clouds,scattered clouds
1725278400000,14.1,68,1013,5.3,144,43,Clouds,scattered clouds
1725282000000,14.5,75,1009,3.7,156,60,Clouds,scattered clouds
1725285600000,13.2,79,1012,4.5,108,54,Clouds,scattered clouds
1725289200000,9.8,75,1016,4.2,317,48,Clouds,scattered clouds
1725292800000,10.3,72,1015,3.7,224,50,Clouds,scattered clouds
1725296400000,7.9,78,1007,3.4,55,52,Clouds,scattered clouds
1725300000000,7.2,75,1014,2.2,259,55,Clouds,scattered clouds
1725303600000,7.5,78,1015,2.5,178,54,Clouds,scattered clouds
1725307200000,6.2,81,1017,3,300,64,Clouds,scattered clouds
1725310800000,4.6,86,1007,4.2,121,65,Clouds,scattered clouds
1725314400000,7,84,1010,4.5,7,64,Clouds,scattered clouds
1725318000000,7.6,76,1011,4.7,253,59,Clouds,scattered clouds
1725321600000,6.3,86,1017,5,357,74,Clouds,scattered clouds
1725325200000,8.1,75,1017,4.7,210,56,Clouds,scattered clouds
1725328800000,7.1,85,1015,5.1,303,74,Clouds,scattered clouds
1725332400000,8.5,77,1012,5.4,174,66,Clouds,scattered clouds
1725336000000,10.6,74,1010,4.7,150,71,Clouds,scattered clouds
1725339600000,8.4,81,1007,4.6,254,65,Clouds,scattered clouds
1725343200000,9.3,79,1010,5.3,79,54,Clouds,scattered clouds
1725346800000,11.1,70,1009,5.4,119,60,Clouds,scattered clouds
1725350400000,11,72,1011,4.6,253,56,Clouds,scattered clouds
1725354000000,10.4,79,1007,3.6,283,69,Clouds,scattered clouds
1725357600000,8.1,75,1015,4.1,224,52,Clouds,scattered clouds
1725361200000,7.3,75,1016,3.4,310,69,Clouds,scattered clouds
1725364800000,6.9,83,1017,3.5,113,73,Clouds,scattered clouds
1725368400000,5.9,82,1012,3,234,77,Clouds,overcast clouds
1725372000000,3.3,81,1013,3.2,106,55,Clouds,scattered clouds
1725375600000,3.6,80,1013,3.9,144,53,Clouds,scattered clouds
1725379200000,-0.1,87,1012,3.4,176,62,Clouds,scattered clouds
1725382800000,-1.3,96,1012,4.6,108,68,Snow,light snow showers
1725386400000,-2.5,89,1016,5.1,317,59,Snow,light snow showers
1725390000000,-3.3,89,1009,5.4,276,82,Snow,light snow showers
1725393600000,-3.9,93,1007,5.7,55,64,Snow,light snow showers
1725397200000,-2,94,1012,6.1,332,83,Snow,light snow showers
1725400800000,-2.7,90,1015,5,178,64,Snow,light snow showers
1725404400000,-3.1,92,1017,5,300,73,Snow,light snow showers
1725408000000,-3.3,94,1010,5.5,79,66,Snow,light snow showers
1725411600000,-2.3,96,1010,5.4,7,73,Snow,light snow showers
1725415200000,-2.7,89,1011,4.9,253,69,Snow,light snow showers
1725418800000,-1.9,91,1017,4.1,317,71,Snow,light snow showers
1725422400000,-1.3,87,1017,3.7,210,65,Clouds,scattered clouds
1725426000000,-1.8,86,1016,3.8,310,78,Clouds,overcast clouds
1725429600000,-1,92,1017,4,113,81,Snow,light snow showers
1725433200000,-0.5,88,1010,2,150,82,Clouds,overcast clouds
1725436800000,0.6,90,1007,1.9,254,72,Snow,light snow showers
1725440400000,0.1,90,1010,3.3,79,63,Snow,light snow showers
1725444000000,-0.5,93,1009,2.7,156,74,Snow,light snow showers
1725447600000,-2.9,97,1012,4.2,108,69,Snow,light snow showers
1725451200000,-5,97,1007,3.8,283,83,Snow,light snow showers
1725454800000,-5.4,91,1015,5.1,224,65,Snow,light snow showers
1725458400000,-5.8,95,1007,5.6,55,65,Snow,light snow showers
1725462000000,-9.2,96,1017,6.1,63,75,Snow,light snow showers
1725465600000,-10,97,1012,5.9,234,89,Snow,light snow showers
1725469200000,-10.9,97,1007,4.6,224,89,Snow,light snow showers
1725472800000,-12,97,1013,5.8,144,66,Snow,light snow showers
1725476400000,-12,97,1012,4.7,176,70,Snow,light snow showers
1725480000000,-12,97,1016,5.1,353,84,Snow,light snow showers
1725483600000,-12,97,1016,5.2,317,66,Snow,light snow showers
1725487200000,-12,97,1011,4.1,97,76,Snow,light snow showers
1725490800000,-12,97,1007,4.6,55,67,Snow,light snow showers
1725494400000,-11.8,97,1012,4.3,332,86,Snow,light snow showers
1725498000000,-11.6,97,1016,2.5,88,83,Snow,light snow showers
1725501600000,-12,97,1017,2.3,300,77,Snow,light snow showers
1725505200000,-11,97,1010,2.8,79,68,Snow,light snow showers
1725508800000,-11.2,97,1009,3.7,119,82,Snow,light snow showers
1725512400000,-10.6,97,1011,3.7,253,75,Snow,light snow showers
1725516000000,-10.4,97,1007,3.5,283,83,Snow,light snow showers
1725519600000,-11,97,1015,4.8,224,70,Snow,light snow showers
1725523200000,-11.3,97,1016,4.9,310,86,Snow,light snow showers
1725526800000,-10.4,97,1017,5.8,113,84,Snow,light snow showers
1725530400000,-10.6,97,1010,4.5,150,89,Snow,light snow showers
1725534000000,-12,97,1013,5.6,106,68,Snow,light snow showers
1725537600000,-12,97,1013,5.8,144,66,Snow,light snow showers
1725541200000,-12,97,1009,4.5,156,77,Snow,light snow showers
1725544800000,-12,97,1012,5.5,108,69,Snow,light snow showers
1725548400000,-12,97,1016,5.4,317,66,Snow,light snow showers
1725552000000,-12,97,1009,5.1,276,88,Snow,light snow showers
1725555600000,-12,97,1007,4.9,55,67,Snow,light snow showers
1725559200000,-12,97,1012,4.7,332,86,Snow,light snow showers
1725562800000,-12,97,1012,4.1,234,89,Snow,light snow showers
1725566400000,-12,97,1007,2.3,224,89,Snow,light snow showers
1725570000000,-12,97,1007,1.9,56,90,Snow,light snow showers
1725573600000,-12,97,1012,2.2,176,70,Snow,light snow showers
1725577200000,-12,97,1011,2.4,174,79,Snow,light snow showers
1725580800000,-12,97,1016,4.1,317,66,Snow,light snow showers
1725584400000,-12,97,1011,3.7,97,76,Snow,light snow showers
1725588000000,-12,97,1010,3.8,45,86,Snow,light snow showers
1725591600000,-11.8,97,1012,5.5,332,86,Snow,light snow showers
1725595200000,-10,97,1016,4.4,88,83,Snow,light snow showers
1725598800000,-10.1,95,1008,5,61,81,Snow,light snow showers
1725602400000,-11.1,97,1010,5.6,79,68,Snow,light snow showers
