ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,16.7,68,1012,4.1,247,63,Clouds,scattered clouds
1725152400000,16.9,68,1011,4.2,345,62,Clouds,scattered clouds
1725156000000,16.6,75,1007,4.5,288,48,Clouds,scattered clouds
1725159600000,17.8,62,1019,4,268,59,Clouds,scattered clouds
1725163200000,20.8,60,1008,2.2,331,39,Clouds,scattered clouds
1725166800000,21.5,57,1016,2.2,141,54,Clouds,scattered clouds
1725170400000,20.7,65,1019,2.5,191,55,Clouds,scattered clouds
1725174000000,22.5,64,1007,3.2,308,41,Clouds,scattered clouds
1725177600000,22.1,58,1012,3.3,294,41,Clouds,scattered clouds
1725181200000,22.4,60,1013,4.7,183,42,Clouds,scattered clouds
1725184800000,21.6,62,1017,5.8,229,56,Clouds,scattered clouds
1725188400000,20.8,67,1014,5.6,329,58,Clouds,scattered clouds
1725192000000,20,67,1016,5,347,55,Clouds,scattered clouds
1725195600000,17.6,66,1015,6,292,63,Clouds,scattered clouds
1725199200000,15.3,73,1011,5.2,290,68,Clouds,scattered clouds
1725202800000,15.9,74,1017,6.2,228,58,Clouds,scattered clouds
1725206400000,14.9,66,1019,4.5,103,58,Clouds,scattered clouds
1725210000000,12.5,72,1008,5,304,50,Clouds,scattered clouds
1725213600000,10.8,71,1009,5.6,281,69,Clouds,scattered clouds
1725217200000,11.2,75,1011,4.6,345,67,Clouds,scattered clouds
1725220800000,10.6,72,1010,3.8,203,64,Clouds,scattered clouds
1725224400000,11.2,70,1009,4.1,111,55,Clouds,scattered clouds
1725228000000,11.9,70,1008,2.6,331,47,Clouds,scattered clouds
1725231600000,12.6,69,1016,1.8,286,56,Clouds,scattered clouds
1725235200000,12,75,1019,2,191,64,Clouds,scattered clouds
1725238800000,11.1,78,1010,2.6,271,68,Clouds,scattered clouds
1725242400000,13.6,78,1018,4.8,260,68,Clouds,scattered clouds
1725246000000,13.9,70,1013,4.4,183,50,Clouds,scattered clouds
1725249600000,13.9,71,1017,5.5,229,63,Clouds,scattered clouds
1725253200000,15.6,76,1007,5.9,288,49,Clouds,scattered clouds
1725256800000,15.2,65,1019,6.1,268,61,Clouds,scattered clouds
1725260400000,16.1,65,1008,5,331,43,Clouds,scattered clouds
1725264000000,16.2,69,1017,6.5,258,65,Clouds,scattered clouds
1725267600000,16.6,73,1010,6.2,101,56,Clouds,scattered clouds
1725271200000,15,72,1007,4.8,308,48,Clouds,scattered clouds
1725274800000,13.9,68,1012,4.3,294,49,Clouds,scattered clouds
1725278400000,11.4,71,1018,4.6,318,53,Clouds,scattered clouds
1725282000000,11.5,72,1008,4.3,354,54,Clouds,scattered clouds
1725285600000,9.2,81,1014,4.7,329,69,Clouds,scattered clouds
1725289200000,9.2,77,1019,3.5,33,54,Clouds,scattered clouds
1725292800000,5.8,80,1015,4,292,75,Clouds,scattered clouds
1725296400000,6.9,83,1011,2.7,290,76,Clouds,overcast clouds
1725300000000,4.4,81,1014,2.1,91,63,Clouds,scattered clouds
1725303600000,5.1,78,1019,2.2,103,68,Clouds,scattered clouds
1725307200000,3.3,91,1018,4.4,260,78,Rain,light rain
1725310800000,3.7,79,1009,4.8,281,76,Clouds,overcast clouds
1725314400000,2.7,85,1011,4.5,345,75,Clouds,scattered clouds
1725318000000,3.3,91,1007,5.6,288,60,Rain,light rain
1725321600000,4.4,78,1009,5.6,111,62,Clouds,scattered clouds
1725325200000,4,80,1008,4.8,331,55,Clouds,scattered clouds
