ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.9,64,1015,4.5,317,54,Clouds,scattered clouds
1725152400000,19.2,70,1013,3.7,88,47,Clouds,scattered clouds
1725156000000,20.8,62,1019,3.3,294,55,Clouds,scattered clouds
1725159600000,20.8,61,1015,3.7,164,47,Clouds,scattered clouds
1725163200000,21.9,68,1015,3.5,204,44,Clouds,scattered clouds
1725166800000,24,60,1019,2.8,82,55,Clouds,scattered clouds
1725170400000,25.7,56,1011,4.3,316,45,Clouds,scattered clouds
1725174000000,25.7,60,1010,4.6,2,44,Clouds,scattered clouds
1725177600000,24.9,61,1016,4.1,294,44,Clouds,scattered clouds
1725181200000,24.5,56,1010,5.1,146,53,Clouds,scattered clouds
1725184800000,24.4,63,1018,5.3,184,53,Clouds,scattered clouds
1725188400000,21.8,66,1012,5.2,169,64,Clouds,scattered clouds
1725192000000,21.3,59,1011,4.7,162,48,Clouds,scattered clouds
1725195600000,21,63,1007,5.6,111,54,Clouds,scattered clouds
1725199200000,18.8,60,1018,5.4,226,59,Clouds,scattered clouds
1725202800000,18.3,63,1011,4.9,119,58,Clouds,scattered clouds
1725206400000,15.8,74,1017,5.6,305,60,Clouds,scattered clouds
1725210000000,17,65,1012,4.2,62,52,Clouds,scattered clouds
1725213600000,14.2,71,1013,3.9,304,50,Clouds,scattered clouds
1725217200000,13.8,76,1013,4,88,52,Clouds,scattered clouds
1725220800000,14.6,68,1012,3.5,165,64,Clouds,scattered clouds
1725224400000,12.7,76,1011,4.4,303,65,Clouds,scattered clouds
1725228000000,12.7,79,1015,4,204,52,Clouds,scattered clouds
1725231600000,14.2,73,1018,3.3,278,65,Clouds,scattered clouds
1725235200000,14.6,69,1011,3.9,316,56,Clouds,scattered clouds
1725238800000,14.4,67,1016,3.3,122,60,Clouds,scattered clouds
1725242400000,15.2,72,1009,2.9,83,60,Clouds,scattered clouds
1725246000000,15.4,67,1010,4.8,146,62,Clouds,scattered clouds
1725249600000,18.5,70,1018,5,184,59,Clouds,scattered clouds
1725253200000,18,65,1019,4.7,294,58,Clouds,scattered clouds
1725256800000,16.9,66,1015,5.8,164,51,Clouds,scattered clouds
1725260400000,17,74,1015,6.3,204,48,Clouds,scattered clouds
1725264000000,16.3,74,1008,6.2,83,53,Clouds,scattered clouds
1725267600000,15.7,69,1014,5.2,333,51,Clouds,scattered clouds
1725271200000,17.6,69,1010,6.2,2,51,Clouds,scattered clouds
1725274800000,14.6,73,1016,5.1,294,54,Clouds,scattered clouds
1725278400000,15.6,70,1012,4.3,73,61,Clouds,scattered clouds
1725282000000,14.2,74,1018,3.9,58,53,Clouds,scattered clouds
1725285600000,11.4,78,1012,4.3,169,74,Clouds,scattered clouds
1725289200000,9.4,78,1011,3.8,349,63,Clouds,scattered clouds
1725292800000,9.4,77,1007,3.6,111,65,Clouds,scattered clouds
1725296400000,7.9,74,1018,2.9,226,70,Clouds,scattered clouds
1725300000000,7,84,1007,3.5,187,70,Clouds,scattered clouds
1725303600000,6,85,1017,3.4,305,70,Clouds,scattered clouds
1725307200000,5.5,83,1009,2.5,83,69,Clouds,scattered clouds
1725310800000,4.6,83,1013,3.1,304,59,Clouds,scattered clouds
1725314400000,4.9,87,1013,4,88,60,Clouds,scattered clouds
1725318000000,5.1,81,1019,4.4,294,70,Clouds,scattered clouds
1725321600000,7.6,83,1011,5.9,303,70,Clouds,scattered clouds
1725325200000,7.4,85,1015,6.2,204,58,Clouds,scattered clouds
1725328800000,7.4,80,1019,5.4,82,70,Clouds,scattered clouds
1725332400000,7.6,77,1011,6.4,316,62,Clouds,scattered clouds
1725336000000,9.6,79,1010,6.3,2,59,Clouds,scattered clouds
1725339600000,8.2,81,1016,5.3,294,60,Clouds,scattered clouds
1725343200000,9.5,74,1010,5.7,146,67,Clouds,scattered clouds
1725346800000,9.2,81,1018,5.3,184,68,Clouds,scattered clouds
1725350400000,10.4,74,1019,4.3,294,65,Clouds,scattered clouds
1725354000000,7.3,76,1011,3.6,162,61,Clouds,scattered clouds
1725357600000,9,78,1007,4,111,66,Clouds,scattered clouds
1725361200000,7.8,85,1008,4.1,83,62,Clouds,scattered clouds
1725364800000,5.7,81,1014,2.6,333,60,Clouds,scattered clouds
1725368400000,3.4,83,1019,2.1,122,56,Clouds,scattered clouds
1725372000000,3.7,87,1011,3.6,124,69,Clouds,scattered clouds
1725375600000,1.5,87,1012,2.9,73,74,Clouds,scattered clouds
1725379200000,0.3,83,1017,4.3,83,78,Clouds,overcast clouds
1725382800000,-0.2,92,1012,4.4,169,85,Snow,light snow showers
1725386400000,-2.6,92,1011,4.7,349,74,Snow,light snow showers
1725390000000,-2.7,97,1019,5.9,290,87,Snow,light snow showers
1725393600000,-2.8,86,1018,5.2,226,80,Clouds,overcast clouds
1725397200000,-4.6,90,1017,5.9,26,69,Snow,light snow showers
1725400800000,-2.2,95,1017,5.9,305,77,Snow,light snow showers
1725404400000,-2.3,92,1009,4.5,83,77,Snow,light snow showers
1725408000000,-1.5,87,1010,5.9,146,78,Clouds,overcast clouds
1725411600000,-2.9,97,1013,4.8,88,68,Snow,light snow showers
