ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.4,62,1014,5.3,130,56,Clouds,scattered clouds
1725152400000,18,66,1016,4.5,254,65,Clouds,scattered clouds
1725156000000,20.7,60,1018,2.7,235,38,Clouds,scattered clouds
1725159600000,20.2,64,1011,2.8,280,40,Clouds,scattered clouds
1725163200000,22.6,63,1016,2.9,256,49,Clouds,scattered clouds
1725166800000,22.9,58,1018,2,11,38,Clouds,scattered clouds
1725170400000,24.1,61,1014,2.6,340,55,Clouds,scattered clouds
1725174000000,23.2,62,1007,4.2,155,60,Clouds,scattered clouds
1725177600000,24.9,60,1015,4.9,42,37,Clouds,scattered clouds
1725181200000,24.2,64,1009,5.5,95,50,Clouds,scattered clouds
1725184800000,23.5,64,1009,5.3,245,63,Clouds,scattered clouds
1725188400000,22.2,63,1015,4.8,110,62,Clouds,scattered clouds
1725192000000,19.3,69,1008,5.2,55,67,Clouds,scattered clouds
1725195600000,19.3,70,1009,5.2,29,49,Clouds,scattered clouds
1725199200000,18.5,65,1018,6,72,53,Clouds,scattered clouds
1725202800000,18.2,71,1011,6.4,71,62,Clouds,scattered clouds
1725206400000,17.4,71,1017,5.3,303,53,Clouds,scattered clouds
1725210000000,15.1,68,1018,4.1,229,46,Clouds,scattered clouds
1725213600000,15.6,70,1009,5.3,298,60,Clouds,scattered clouds
1725217200000,13.5,72,1016,4.8,254,69,Clouds,scattered clouds
1725220800000,12.4,70,1014,4.1,127,55,Clouds,scattered clouds
1725224400000,13.9,73,1008,3.4,206,49,Clouds,scattered clouds
1725228000000,12.1,75,1016,3.3,256,60,Clouds,scattered clouds
1725231600000,12.6,70,1014,2.8,357,54,Clouds,scattered clouds
1725235200000,14.5,72,1014,2.1,340,64,Clouds,scattered clouds
1725238800000,16.1,66,1010,4.1,93,45,Clouds,scattered clouds
1725242400000,16.7,67,1019,3.6,262,63,Clouds,scattered clouds
1725246000000,15.8,74,1009,5.2,95,58,Clouds,scattered clouds
1725249600000,16.3,73,1009,5,245,70,Clouds,scattered clouds
1725253200000,17.9,64,1018,4.1,235,41,Clouds,scattered clouds
1725256800000,19.2,65,1011,4.9,280,41,Clouds,scattered clouds
1725260400000,18.8,67,1016,5.7,256,53,Clouds,scattered clouds
1725264000000,18.1,62,1015,5.2,303,56,Clouds,scattered clouds
1725267600000,18.6,69,1018,5,79,43,Clouds,scattered clouds
1725271200000,15.8,71,1007,5.8,155,67,Clouds,scattered clouds
1725274800000,17.5,69,1015,5.9,42,45,Clouds,scattered clouds
1725278400000,15.3,68,1015,5,337,63,Clouds,scattered clouds
1725282000000,14.8,77,1009,3.8,310,67,Clouds,scattered clouds
1725285600000,12.3,75,1015,4,110,71,Clouds,scattered clouds
