ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.6,67,1018,5.1,151,62,Clouds,scattered clouds
1725152400000,17.4,64,1012,4.1,347,50,Clouds,scattered clouds
1725156000000,17.9,69,1014,4.3,213,51,Clouds,scattered clouds
1725159600000,19.1,62,1013,3.3,343,38,Clouds,scattered clouds
1725163200000,22.1,62,1007,3.1,261,43,Clouds,scattered clouds
1725166800000,21.6,60,1014,2,180,44,Clouds,scattered clouds
1725170400000,22.2,67,1013,3.9,325,59,Clouds,scattered clouds
1725174000000,24.1,58,1012,3.7,159,56,Clouds,scattered clouds
1725177600000,22.3,61,1015,5,340,50,Clouds,scattered clouds
1725181200000,21.6,66,1019,4.2,0,49,Clouds,scattered clouds
1725184800000,22.6,66,1017,5.3,305,57,Clouds,scattered clouds
1725188400000,19.7,65,1019,5.6,352,50,Clouds,scattered clouds
1725192000000,19,66,1012,5.7,347,54,Clouds,scattered clouds
1725195600000,19.2,63,1017,5.9,257,54,Clouds,scattered clouds
1725199200000,16.9,70,1009,6.3,0,54,Clouds,scattered clouds
1725202800000,15.1,69,1010,5.3,135,58,Clouds,scattered clouds
1725206400000,15.4,72,1009,5.6,308,54,Clouds,scattered clouds
1725210000000,14.1,71,1012,4.5,111,48,Clouds,scattered clouds
1725213600000,14.2,71,1008,4,255,61,Clouds,scattered clouds
1725217200000,12.1,71,1012,4.5,347,55,Clouds,scattered clouds
1725220800000,11.4,72,1010,4.1,320,62,Clouds,scattered clouds
1725224400000,10.6,78,1012,2.6,258,69,Clouds,scattered clouds
1725228000000,12,74,1007,3.5,261,52,Clouds,scattered clouds
1725231600000,13.3,67,1017,2.2,252,47,Clouds,scattered clouds
1725235200000,13.6,77,1013,3.5,325,67,Clouds,scattered clouds
1725238800000,14.2,76,1011,3.3,164,70,Clouds,scattered clouds
1725242400000,14.3,77,1013,4.6,247,54,Clouds,scattered clouds
1725246000000,14.8,74,1019,3.9,0,55,Clouds,scattered clouds
1725249600000,17,73,1017,5,305,63,Clouds,scattered clouds
1725253200000,16.5,70,1014,5.7,213,53,Clouds,scattered clouds
1725256800000,16.3,65,1013,5.4,343,41,Clouds,scattered clouds
1725260400000,15.6,70,1007,5.8,261,49,Clouds,scattered clouds
1725264000000,16.5,73,1016,6.4,136,58,Clouds,scattered clouds
1725267600000,15.1,69,1014,5.7,41,66,Clouds,scattered clouds
1725271200000,15.5,69,1012,5.3,159,64,Clouds,scattered clouds
1725274800000,14.3,71,1015,6,340,57,Clouds,scattered clouds
1725278400000,14.7,65,1012,5.6,4,46,Clouds,scattered clouds
1725282000000,13,69,1008,4,315,46,Clouds,scattered clouds
1725285600000,10.5,76,1019,4.8,352,58,Clouds,scattered clouds
1725289200000,10.8,81,1018,4.2,15,61,Clouds,scattered clouds
1725292800000,8.1,76,1017,3.9,257,65,Clouds,scattered clouds
1725296400000,7.4,82,1009,3.7,0,63,Clouds,scattered clouds
1725300000000,5.7,84,1008,1.7,169,75,Clouds,scattered clouds
1725303600000,5.7,84,1009,3.4,308,64,Clouds,scattered clouds
1725307200000,5.7,87,1013,4.2,247,62,Clouds,scattered clouds
1725310800000,4.6,82,1008,3.2,255,70,Clouds,scattered clouds
1725314400000,5.8,78,1012,4.4,347,61,Clouds,scattered clouds
1725318000000,5.9,83,1014,5.4,213,63,Clouds,scattered clouds
1725321600000,5.4,84,1012,4.1,258,74,Clouds,scattered clouds
1725325200000,7.4,80,1007,5.7,261,57,Clouds,scattered clouds
1725328800000,7.7,77,1014,4.5,180,58,Clouds,scattered clouds
1725332400000,8.3,83,1013,6.1,325,72,Clouds,scattered clouds
1725336000000,9.4,76,1012,5.3,159,70,Clouds,scattered clouds
1725339600000,10.2,76,1015,6.1,340,61,Clouds,scattered clouds
1725343200000,8.5,81,1019,4.8,0,61,Clouds,scattered clouds
1725346800000,10,81,1017,5.3,305,70,Clouds,scattered clouds
1725350400000,8.1,81,1014,5.3,213,61,Clouds,scattered clouds
1725354000000,9.2,78,1012,4.6,347,64,Clouds,scattered clouds
1725357600000,9.1,75,1017,4.3,257,64,Clouds,scattered clouds
1725361200000,6.6,85,1016,4.3,136,67,Clouds,scattered clouds
1725364800000,6.4,79,1014,3.1,41,74,Clouds,scattered clouds
1725368400000,5.3,83,1010,3,253,58,Clouds,scattered clouds
1725372000000,4.1,83,1010,3.6,128,77,Clouds,overcast clouds
1725375600000,1,82,1012,4.2,4,59,Clouds,scattered clouds
1725379200000,-0.6,86,1014,4.6,15,81,Clouds,overcast clouds
1725382800000,0.1,88,1019,4.8,352,68,Snow,light snow showers
1725386400000,-2.9,97,1018,5.1,15,73,Snow,light snow showers
1725390000000,-2.5,88,1014,5.8,274,60,Snow,light snow showers
1725393600000,-4.3,96,1009,6.1,0,74,Snow,light snow showers
1725397200000,-3.1,89,1013,5,294,60,Snow,light snow showers
1725400800000,-2.5,93,1009,5.9,308,71,Snow,light snow showers
1725404400000,-4.4,97,1013,6.1,247,70,Snow,light snow showers
1725408000000,-2.3,94,1019,5,0,72,Snow,light snow showers
1725411600000,-0.9,86,1012,5.3,347,68,Clouds,scattered clouds
