ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.5,67,1009,4.6,264,53,Clouds,scattered clouds
1725152400000,19,67,1012,3.3,119,54,Clouds,scattered clouds
1725156000000,20.9,59,1009,3.1,305,36,Clouds,scattered clouds
1725159600000,21.3,66,1011,2.3,122,43,Clouds,scattered clouds
1725163200000,21.8,64,1015,3.1,304,42,Clouds,scattered clouds
1725166800000,24.5,60,1014,2.9,186,37,Clouds,scattered clouds
1725170400000,23.4,65,1007,2.7,165,44,Clouds,scattered clouds
1725174000000,24.8,65,1017,4.7,303,42,Clouds,scattered clouds
1725177600000,24.4,61,1017,4.5,128,46,Clouds,scattered clouds
1725181200000,25.3,61,1018,4.3,278,60,Clouds,scattered clouds
1725184800000,21.8,67,1013,5.8,156,43,Clouds,scattered clouds
1725188400000,23.1,59,1017,4.3,122,58,Clouds,scattered clouds
1725192000000,20,68,1014,5.3,83,47,Clouds,scattered clouds
1725195600000,20.1,70,1009,4.5,317,66,Clouds,scattered clouds
1725199200000,19.9,70,1010,6.2,184,53,Clouds,scattered clouds
1725202800000,18.2,66,1014,5.9,14,53,Clouds,scattered clouds
1725206400000,16.3,68,1012,4.8,101,61,Clouds,scattered clouds
1725210000000,15.4,66,1013,4.2,343,57,Clouds,scattered clouds
1725213600000,15.3,72,1016,4.7,168,67,Clouds,scattered clouds
1725217200000,13.1,74,1012,3.7,119,60,Clouds,scattered clouds
1725220800000,13.4,69,1012,4.2,312,50,Clouds,scattered clouds
1725224400000,13.7,73,1010,4.3,29,63,Clouds,scattered clouds
1725228000000,13.1,74,1015,3.5,304,51,Clouds,scattered clouds
1725231600000,14.2,70,1008,2,254,55,Clouds,scattered clouds
1725235200000,13.3,77,1007,2.3,165,54,Clouds,scattered clouds
1725238800000,16.3,73,1018,3,314,48,Clouds,scattered clouds
1725242400000,15.2,67,1014,3.6,354,60,Clouds,scattered clouds
1725246000000,16.2,72,1018,4,278,69,Clouds,scattered clouds
1725249600000,18.1,71,1013,5.5,156,46,Clouds,scattered clouds
1725253200000,16.9,64,1009,4.5,305,40,Clouds,scattered clouds
1725256800000,18.3,70,1011,4.4,122,46,Clouds,scattered clouds
1725260400000,19.2,67,1015,5.9,304,45,Clouds,scattered clouds
1725264000000,18.2,68,1013,6,88,42,Clouds,scattered clouds
1725267600000,16.9,66,1010,5.2,46,44,Clouds,scattered clouds
1725271200000,16.3,75,1017,6.3,303,50,Clouds,scattered clouds
1725274800000,14.8,72,1017,5.5,128,55,Clouds,scattered clouds
1725278400000,16.1,66,1012,5.8,82,64,Clouds,scattered clouds
1725282000000,13.9,77,1015,3.7,316,73,Clouds,scattered clouds
1725285600000,11.1,73,1017,3.5,122,70,Clouds,scattered clouds
1725289200000,9.7,73,1012,3.3,294,59,Clouds,scattered clouds
1725292800000,9.9,82,1009,2.5,317,75,Clouds,scattered clouds
1725296400000,8.6,83,1010,3.7,184,64,Clouds,scattered clouds
1725300000000,8.6,77,1009,3.1,133,58,Clouds,scattered clouds
1725303600000,5.8,81,1012,2.5,101,71,Clouds,scattered clouds
1725307200000,7.4,76,1014,3.2,354,68,Clouds,scattered clouds
1725310800000,7.2,81,1016,3.9,168,75,Clouds,scattered clouds
1725314400000,5.7,83,1012,3.6,119,67,Clouds,scattered clouds
1725318000000,5.5,78,1009,4.2,305,51,Clouds,scattered clouds
1725321600000,7.3,81,1010,5.8,29,69,Clouds,scattered clouds
1725325200000,7.6,81,1015,5.7,304,56,Clouds,scattered clouds
1725328800000,7,81,1014,5.4,186,54,Clouds,scattered clouds
1725332400000,9.4,81,1007,4.9,165,58,Clouds,scattered clouds
1725336000000,9.4,83,1017,6.4,303,56,Clouds,scattered clouds
1725339600000,9.1,79,1017,5.7,128,61,Clouds,scattered clouds
1725343200000,9.5,80,1018,4.9,278,75,Clouds,scattered clouds
1725346800000,9.4,82,1013,5.8,156,55,Clouds,scattered clouds
1725350400000,11.2,71,1009,4.1,305,45,Clouds,scattered clouds
1725354000000,10,80,1014,4.2,83,57,Clouds,scattered clouds
1725357600000,8.5,84,1009,2.9,317,77,Clouds,overcast clouds
1725361200000,7.1,81,1013,3.9,88,53,Clouds,scattered clouds
1725364800000,6.2,79,1010,2.6,46,54,Clouds,scattered clouds
1725368400000,4.7,85,1011,2.3,164,57,Clouds,scattered clouds
1725372000000,3.6,81,1011,3.8,204,73,Clouds,scattered clouds
1725375600000,2,83,1012,4.3,82,78,Clouds,overcast clouds
1725379200000,2,88,1007,4.5,333,75,Snow,light snow showers
1725382800000,-1.9,89,1017,3.6,122,82,Snow,light snow showers
1725386400000,-0.5,86,1012,4.2,294,69,Clouds,scattered clouds
1725390000000,-1.5,93,1013,5.9,146,76,Snow,light snow showers
1725393600000,-2.9,97,1010,6,184,75,Snow,light snow showers
1725397200000,-4.1,97,1015,4.5,169,85,Snow,light snow showers
1725400800000,-4.3,93,1012,5,101,80,Snow,light snow showers
1725404400000,-3.5,89,1014,5.2,354,78,Snow,light snow showers
1725408000000,-2.6,95,1018,5.1,278,87,Snow,light snow showers
1725411600000,-1.2,91,1012,4.5,119,73,Snow,light snow showers
1725415200000,-2.1,87,1009,4.4,305,58,Clouds,scattered clouds
1725418800000,-0.8,93,1011,3.8,122,64,Snow,light snow showers
1725422400000,0.2,90,1015,4.7,304,63,Snow,light snow showers
1725426000000,-1,91,1013,4.3,88,61,Snow,light snow showers
1725429600000,1.7,84,1010,3,46,58,Clouds,scattered clouds
1725433200000,1.3,93,1017,3.7,303,64,Snow,light snow showers
1725436800000,0.3,89,1017,2.9,128,69,Snow,light snow showers
1725440400000,-0.8,93,1018,2.9,278,85,Snow,light snow showers
1725444000000,-1.6,96,1015,2.7,316,88,Snow,light snow showers
1725447600000,-1.3,88,1017,3.2,122,81,Snow,light snow showers
1725451200000,-4.2,97,1014,4.4,83,70,Snow,light snow showers
1725454800000,-4.6,97,1009,3.8,317,87,Snow,light snow showers
1725458400000,-5.2,97,1010,5.8,184,75,Snow,light snow showers
1725462000000,-7.6,92,1017,5.4,294,72,Snow,light snow showers
1725465600000,-10.1,97,1011,5.1,164,66,Snow,light snow showers
1725469200000,-10.8,97,1013,5.8,111,71,Snow,light snow showers
1725472800000,-11.3,97,1012,6.2,82,89,Snow,light snow showers
1725476400000,-12,97,1007,5.8,333,82,Snow,light snow showers
1725480000000,-12,97,1008,6.1,2,87,Snow,light snow showers
1725483600000,-12,97,1012,4.3,294,78,Snow,light snow showers
1725487200000,-12,97,1018,4,73,81,Snow,light snow showers
1725490800000,-11.4,97,1010,4.9,184,75,Snow,light snow showers
1725494400000,-11.5,97,1015,2.8,169,85,Snow,light snow showers
1725498000000,-11.7,97,1009,2.5,349,87,Snow,light snow showers
1725501600000,-11,97,1014,2.4,354,84,Snow,light snow showers
1725505200000,-9.6,97,1018,2.4,278,89,Snow,light snow showers
1725508800000,-10.6,97,1013,4,156,67,Snow,light snow showers
1725512400000,-9.4,95,1009,3.2,305,65,Snow,light snow showers
1725516000000,-8.2,97,1014,4,83,70,Snow,light snow showers
1725519600000,-9.3,97,1009,3.6,317,87,Snow,light snow showers
1725523200000,-8.8,97,1013,5.4,88,66,Snow,light snow showers
1725526800000,-10.8,97,1010,4.9,46,68,Snow,light snow showers
1725530400000,-9.5,97,1017,6.2,303,67,Snow,light snow showers
1725534000000,-12,97,1011,6.2,204,86,Snow,light snow showers
1725537600000,-12,97,1012,6.3,82,89,Snow,light snow showers
1725541200000,-12,97,1015,4.5,316,89,Snow,light snow showers
1725544800000,-12,97,1017,4.5,122,88,Snow,light snow showers
1725548400000,-12,97,1012,4.5,294,78,Snow,light snow showers
1725552000000,-12,97,1013,5.7,146,79,Snow,light snow showers
