ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.1,74,1011,4.6,301,70,Clouds,scattered clouds
1725152400000,16.4,65,1017,4.4,358,60,Clouds,scattered clouds
1725156000000,18.8,69,1018,3.1,154,58,Clouds,scattered clouds
1725159600000,18.4,63,1018,4.1,144,40,Clouds,scattered clouds
1725163200000,21.7,66,1010,2.6,78,43,Clouds,scattered clouds
1725166800000,21.1,58,1011,2.3,151,56,Clouds,scattered clouds
1725170400000,22.6,61,1011,2.5,288,50,Clouds,scattered clouds
1725174000000,23,60,1012,4.1,67,42,Clouds,scattered clouds
1725177600000,22.5,57,1008,3.5,321,34,Clouds,scattered clouds
1725181200000,21.9,62,1017,5.1,324,39,Clouds,scattered clouds
1725184800000,21.1,63,1010,4.5,169,45,Clouds,scattered clouds
1725188400000,19.8,68,1011,5.9,321,53,Clouds,scattered clouds
1725192000000,19.1,67,1012,5.3,41,65,Clouds,scattered clouds
1725195600000,16.7,74,1017,6.4,21,49,Clouds,scattered clouds
1725199200000,15.1,74,1018,6.4,359,67,Clouds,scattered clouds
1725202800000,14.8,75,1014,6.1,184,70,Clouds,scattered clouds
1725206400000,15.2,68,1007,5.4,172,53,Clouds,scattered clouds
1725210000000,12.4,73,1014,4.9,142,60,Clouds,scattered clouds
1725213600000,12.1,71,1016,4.2,77,68,Clouds,scattered clouds
1725217200000,12.5,69,1017,4.7,358,64,Clouds,scattered clouds
1725220800000,11.1,80,1016,3.5,113,73,Clouds,scattered clouds
1725224400000,9.8,78,1015,2.6,254,71,Clouds,scattered clouds
1725228000000,9.5,81,1010,3,78,55,Clouds,scattered clouds
1725231600000,11.8,81,1009,2.5,355,53,Clouds,scattered clouds
1725235200000,12.7,73,1011,2.1,288,59,Clouds,scattered clouds
1725238800000,12.2,73,1019,3.2,154,54,Clouds,scattered clouds
1725242400000,13.1,72,1012,3.4,97,63,Clouds,scattered clouds
1725246000000,12.8,72,1017,4.8,324,48,Clouds,scattered clouds
1725249600000,15.6,69,1010,4.2,169,50,Clouds,scattered clouds
1725253200000,13.9,75,1018,4.5,154,63,Clouds,scattered clouds
1725256800000,15.3,67,1018,6.2,144,43,Clouds,scattered clouds
1725260400000,15.5,74,1010,5.3,78,49,Clouds,scattered clouds
1725264000000,15.4,75,1012,5.3,311,65,Clouds,scattered clouds
1725267600000,15.5,75,1017,4.5,50,69,Clouds,scattered clouds
1725271200000,13.4,71,1012,5.7,67,52,Clouds,scattered clouds
