ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.3,67,1013,4.8,314,48,Clouds,scattered clouds
1725152400000,17.9,64,1013,4.3,354,48,Clouds,scattered clouds
1725156000000,19.1,64,1016,4.5,278,40,Clouds,scattered clouds
1725159600000,20.2,64,1012,3.1,156,53,Clouds,scattered clouds
1725163200000,22.5,63,1009,2,305,62,Clouds,scattered clouds
1725166800000,24.6,54,1017,3.8,122,35,Clouds,scattered clouds
1725170400000,25,55,1011,3.5,304,38,Clouds,scattered clouds
1725174000000,24.6,63,1010,4.6,88,49,Clouds,scattered clouds
1725177600000,24.6,61,1016,5.1,46,53,Clouds,scattered clouds
1725181200000,24.9,64,1009,4.6,303,45,Clouds,scattered clouds
1725184800000,22.6,65,1010,5.9,128,48,Clouds,scattered clouds
1725188400000,22.1,59,1011,5.4,82,58,Clouds,scattered clouds
1725192000000,21.7,59,1018,4.7,316,43,Clouds,scattered clouds
1725195600000,19.4,61,1017,5.6,122,39,Clouds,scattered clouds
1725199200000,19,67,1016,5,294,63,Clouds,scattered clouds
1725202800000,16.5,72,1011,4.7,45,61,Clouds,scattered clouds
1725206400000,17.7,67,1012,4.9,254,61,Clouds,scattered clouds
1725210000000,14.7,72,1017,5.6,133,65,Clouds,scattered clouds
1725213600000,14.1,71,1012,4.1,101,49,Clouds,scattered clouds
1725217200000,14.6,68,1013,4.6,354,51,Clouds,scattered clouds
1725220800000,12.5,76,1018,3.4,168,66,Clouds,scattered clouds
1725224400000,13.4,70,1010,3.2,119,46,Clouds,scattered clouds
1725228000000,13.6,73,1009,2.4,305,70,Clouds,scattered clouds
1725231600000,13.8,75,1011,2.9,29,49,Clouds,scattered clouds
1725235200000,13.4,69,1011,3.1,304,49,Clouds,scattered clouds
1725238800000,14.2,70,1015,2.5,186,62,Clouds,scattered clouds
1725242400000,14.4,73,1008,3.6,165,56,Clouds,scattered clouds
1725246000000,17.6,72,1009,4.3,303,52,Clouds,scattered clouds
1725249600000,17.3,71,1010,5.7,128,53,Clouds,scattered clouds
1725253200000,16.4,68,1016,5.9,278,42,Clouds,scattered clouds
1725256800000,16.7,68,1012,5.2,156,56,Clouds,scattered clouds
1725260400000,18.2,68,1009,4.7,305,66,Clouds,scattered clouds
1725264000000,16.1,66,1011,5.4,83,64,Clouds,scattered clouds
1725267600000,18.3,68,1018,5.9,317,53,Clouds,scattered clouds
1725271200000,15.5,74,1010,6.2,88,57,Clouds,scattered clouds
1725274800000,16.7,71,1016,6.1,46,61,Clouds,scattered clouds
1725278400000,15.5,67,1018,5.2,164,44,Clouds,scattered clouds
1725282000000,12.7,71,1009,4.4,204,47,Clouds,scattered clouds
1725285600000,10.8,73,1011,4.6,82,69,Clouds,scattered clouds
1725289200000,10.8,82,1008,3.5,333,70,Clouds,scattered clouds
1725292800000,9.2,73,1017,3.6,122,49,Clouds,scattered clouds
1725296400000,6.7,81,1016,2.4,294,75,Clouds,scattered clouds
1725300000000,6.8,82,1009,2.7,321,59,Clouds,scattered clouds
1725303600000,6,81,1012,2.6,254,72,Clouds,scattered clouds
1725307200000,4.7,85,1008,3.2,165,66,Clouds,scattered clouds
1725310800000,4.8,83,1012,3.3,101,58,Clouds,scattered clouds
1725314400000,4.7,79,1013,4.6,354,61,Clouds,scattered clouds
1725318000000,7,79,1016,5.6,278,51,Clouds,scattered clouds
1725321600000,6.7,78,1010,4.7,119,53,Clouds,scattered clouds
1725325200000,6.6,82,1009,4.6,305,77,Clouds,overcast clouds
1725328800000,6.8,76,1017,6.4,122,52,Clouds,scattered clouds
1725332400000,7.8,75,1011,5.7,304,54,Clouds,scattered clouds
1725336000000,7.5,84,1010,6.3,88,65,Clouds,scattered clouds
1725339600000,9,80,1016,6.2,46,68,Clouds,scattered clouds
1725343200000,9,83,1009,5.2,303,61,Clouds,scattered clouds
1725346800000,10.4,80,1010,6,128,59,Clouds,scattered clouds
1725350400000,7.6,78,1016,5.5,278,51,Clouds,scattered clouds
1725354000000,9.5,73,1018,3.6,316,55,Clouds,scattered clouds
1725357600000,8.5,74,1017,4,122,49,Clouds,scattered clouds
1725361200000,6.6,78,1011,3.3,83,73,Clouds,scattered clouds
1725364800000,4.4,84,1018,3.3,317,67,Clouds,scattered clouds
1725368400000,2.9,91,1013,2,184,77,Rain,light rain
1725372000000,2.5,85,1018,2.5,294,70,Clouds,scattered clouds
1725375600000,1.2,84,1018,3.7,164,57,Clouds,scattered clouds
1725379200000,0.6,93,1019,3.9,111,76,Snow,light snow showers
1725382800000,-2.1,88,1011,4.7,82,81,Snow,light snow showers
1725386400000,-2.4,97,1008,4.4,333,82,Snow,light snow showers
1725390000000,-2.8,92,1012,5.7,2,79,Snow,light snow showers
1725393600000,-4.9,95,1016,4.8,294,86,Snow,light snow showers
1725397200000,-2.7,90,1009,5.3,73,74,Snow,light snow showers
1725400800000,-3.1,92,1012,5.1,254,81,Snow,light snow showers
1725404400000,-3.6,95,1008,5.2,165,74,Snow,light snow showers
1725408000000,-4.2,97,1009,5.4,303,72,Snow,light snow showers
1725411600000,-3.2,89,1013,5.4,354,68,Snow,light snow showers
1725415200000,-1.2,89,1016,5.8,278,59,Snow,light snow showers
1725418800000,-2.3,91,1012,4.6,156,75,Snow,light snow showers
1725422400000,-0.7,90,1009,3.6,305,84,Snow,light snow showers
1725426000000,0.5,85,1011,3.7,83,79,Clouds,overcast clouds
1725429600000,-0.2,90,1018,3.7,317,71,Snow,light snow showers
1725433200000,-1.3,95,1010,3.6,88,74,Snow,light snow showers
1725436800000,-1,92,1016,3.5,46,78,Snow,light snow showers
1725440400000,-1.1,95,1009,3.2,303,70,Snow,light snow showers
1725444000000,-0.5,87,1009,3.3,204,60,Clouds,scattered clouds
1725447600000,-2.7,89,1011,4.3,82,82,Snow,light snow showers
1725451200000,-5.3,91,1018,3.8,316,69,Snow,light snow showers
1725454800000,-6.7,92,1017,5,122,64,Snow,light snow showers
1725458400000,-6.6,97,1016,4.6,294,88,Snow,light snow showers
1725462000000,-8.2,97,1018,4.6,146,89,Snow,light snow showers
1725465600000,-10.8,97,1013,4.9,184,82,Snow,light snow showers
1725469200000,-10.7,96,1018,6.1,169,76,Snow,light snow showers
1725472800000,-12,97,1018,5.6,164,68,Snow,light snow showers
1725476400000,-11.9,97,1019,5.2,111,79,Snow,light snow showers
1725480000000,-12,97,1010,6,83,71,Snow,light snow showers
1725483600000,-12,97,1008,4.5,333,82,Snow,light snow showers
1725487200000,-12,97,1014,4.3,122,80,Snow,light snow showers
1725490800000,-12,97,1016,3.6,294,88,Snow,light snow showers
1725494400000,-12,97,1009,3.6,73,80,Snow,light snow showers
1725498000000,-10.8,97,1012,3.5,83,85,Snow,light snow showers
1725501600000,-12,97,1008,2.4,165,75,Snow,light snow showers
1725505200000,-11,97,1009,2.7,303,72,Snow,light snow showers
1725508800000,-9.2,97,1010,4.2,128,73,Snow,light snow showers
1725512400000,-10.4,97,1016,4.6,278,66,Snow,light snow showers
1725516000000,-10.2,97,1018,3.4,316,74,Snow,light snow showers
1725519600000,-8.9,95,1017,4.7,122,66,Snow,light snow showers
1725523200000,-9.4,97,1011,4.8,83,89,Snow,light snow showers
1725526800000,-11,97,1018,5.5,317,77,Snow,light snow showers
1725530400000,-11.7,97,1010,6.1,88,76,Snow,light snow showers
1725534000000,-12,97,1018,4.8,294,79,Snow,light snow showers
1725537600000,-12,97,1018,5.7,164,68,Snow,light snow showers
1725541200000,-12,97,1009,5.1,204,68,Snow,light snow showers
