ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17,74,1010,4.4,132,54,Clouds,scattered clouds
1725152400000,18.5,64,1013,4.5,348,43,Clouds,scattered clouds
1725156000000,18.8,65,1016,3.3,44,43,Clouds,scattered clouds
1725159600000,19.9,66,1011,2.5,258,64,Clouds,scattered clouds
1725163200000,20.9,59,1008,3.2,308,38,Clouds,scattered clouds
1725166800000,23,58,1008,3,247,38,Clouds,scattered clouds
1725170400000,24.5,64,1016,3.1,43,61,Clouds,scattered clouds
1725174000000,22.6,62,1010,3.2,61,62,Clouds,scattered clouds
1725177600000,23.1,65,1011,4,45,40,Clouds,scattered clouds
1725181200000,22.8,59,1014,4.2,17,47,Clouds,scattered clouds
1725184800000,22.2,65,1018,4.2,14,62,Clouds,scattered clouds
1725188400000,21,67,1012,6,101,64,Clouds,scattered clouds
1725192000000,19.8,59,1013,4.6,343,40,Clouds,scattered clouds
1725195600000,19,63,1019,6.3,168,58,Clouds,scattered clouds
1725199200000,17.8,63,1010,4.8,119,58,Clouds,scattered clouds
1725202800000,17.4,74,1007,5.4,310,69,Clouds,scattered clouds
1725206400000,15.4,76,1011,4.9,141,55,Clouds,scattered clouds
1725210000000,13.5,72,1014,4.2,83,48,Clouds,scattered clouds
1725213600000,13.7,76,1009,4,107,67,Clouds,scattered clouds
1725217200000,11,73,1013,4.9,348,50,Clouds,scattered clouds
1725220800000,13.2,75,1012,4.3,118,66,Clouds,scattered clouds
1725224400000,13.4,68,1017,3.3,337,63,Clouds,scattered clouds
1725228000000,11.8,70,1008,3.6,308,47,Clouds,scattered clouds
1725231600000,13.3,76,1014,1.8,9,73,Clouds,scattered clouds
1725235200000,11.7,79,1016,2.7,43,73,Clouds,scattered clouds
1725238800000,13.8,73,1010,2.7,87,51,Clouds,scattered clouds
1725242400000,13.7,69,1012,4.7,188,55,Clouds,scattered clouds
1725246000000,15.1,69,1014,3.9,17,55,Clouds,scattered clouds
1725249600000,14.4,74,1018,3.9,14,69,Clouds,scattered clouds
1725253200000,16.7,67,1016,4.7,44,45,Clouds,scattered clouds
1725256800000,16.9,70,1011,4.6,258,67,Clouds,scattered clouds
1725260400000,17.1,64,1008,5.9,308,42,Clouds,scattered clouds
1725264000000,16.6,64,1018,6.1,260,51,Clouds,scattered clouds
1725267600000,14.7,71,1014,6.3,312,59,Clouds,scattered clouds
1725271200000,15.1,71,1010,4.8,61,69,Clouds,scattered clouds
1725274800000,14.5,75,1011,5,45,49,Clouds,scattered clouds
1725278400000,14.3,68,1010,5.7,254,57,Clouds,scattered clouds
1725282000000,13.3,69,1011,4.7,133,45,Clouds,scattered clouds
1725285600000,10.7,80,1012,5.2,101,74,Clouds,scattered clouds
1725289200000,10.7,74,1012,3.8,354,55,Clouds,scattered clouds
1725292800000,8,76,1019,4.2,168,68,Clouds,scattered clouds
1725296400000,6.2,77,1010,2.3,119,69,Clouds,scattered clouds
1725300000000,5.3,81,1009,2.2,275,69,Clouds,scattered clouds
1725303600000,4.2,90,1011,2.6,141,66,Clouds,scattered clouds
1725307200000,3.8,81,1012,4.3,188,65,Clouds,scattered clouds
1725310800000,5,86,1009,3.2,107,76,Clouds,overcast clouds
1725314400000,5.9,79,1013,4.9,348,55,Clouds,scattered clouds
1725318000000,6,80,1016,4.4,44,55,Clouds,scattered clouds
1725321600000,4.8,78,1017,4.8,337,71,Clouds,scattered clouds
1725325200000,5.2,78,1008,5.8,308,53,Clouds,scattered clouds
1725328800000,6.9,77,1008,5.5,247,53,Clouds,scattered clouds
1725332400000,8.6,83,1016,5.2,43,76,Clouds,overcast clouds
1725336000000,6.8,81,1010,4.8,61,77,Clouds,overcast clouds
1725339600000,8.4,82,1011,5.1,45,54,Clouds,scattered clouds
1725343200000,9.6,75,1014,4.8,17,60,Clouds,scattered clouds
1725346800000,7.7,82,1018,4.2,14,76,Clouds,overcast clouds
1725350400000,10,75,1016,4.4,44,51,Clouds,scattered clouds
1725354000000,8.4,73,1013,3.5,343,51,Clouds,scattered clouds
1725357600000,8.4,76,1019,4.6,168,68,Clouds,scattered clouds
1725361200000,6.2,76,1018,4,260,61,Clouds,scattered clouds
1725364800000,5.6,82,1014,3.7,312,68,Clouds,scattered clouds
1725368400000,2.9,83,1012,1.7,29,70,Clouds,scattered clouds
1725372000000,1.3,93,1018,3.5,321,80,Snow,light snow showers
1725375600000,0.5,85,1010,4.3,254,70,Clouds,scattered clouds
1725379200000,-0.7,93,1015,3.1,165,75,Snow,light snow showers
1725382800000,-1.6,95,1012,5.2,101,86,Snow,light snow showers
1725386400000,-2.6,90,1012,4.6,354,67,Snow,light snow showers
1725390000000,-4.4,97,1013,4.8,45,82,Snow,light snow showers
1725393600000,-3.6,89,1010,4.6,119,78,Snow,light snow showers
1725397200000,-4.2,91,1008,5.7,305,73,Snow,light snow showers
1725400800000,-5.2,97,1011,5.1,141,72,Snow,light snow showers
1725404400000,-4.9,91,1012,6.3,188,73,Snow,light snow showers
1725408000000,-4.7,93,1014,5,17,74,Snow,light snow showers
1725411600000,-3.2,90,1013,5.7,348,64,Snow,light snow showers
1725415200000,-4.4,93,1016,4.6,44,65,Snow,light snow showers
1725418800000,-1.2,91,1011,3.9,258,84,Snow,light snow showers
1725422400000,-0.4,85,1008,4.8,308,59,Clouds,scattered clouds
1725426000000,-2.7,87,1018,4.4,260,70,Clouds,scattered clouds
1725429600000,-2.5,92,1014,4.1,312,76,Snow,light snow showers
1725433200000,0,90,1010,2.2,61,84,Snow,light snow showers
1725436800000,-2.3,95,1011,2.4,45,65,Snow,light snow showers
1725440400000,-0.7,88,1014,2.7,17,70,Clouds,scattered clouds
1725444000000,-3,88,1011,3.6,133,61,Snow,light snow showers
1725447600000,-5.3,97,1012,4.9,101,87,Snow,light snow showers
1725451200000,-4.7,89,1013,3.7,343,64,Snow,light snow showers
1725454800000,-6.3,93,1019,5.6,168,82,Snow,light snow showers
1725458400000,-7.6,94,1010,4.4,119,82,Snow,light snow showers
1725462000000,-9.1,97,1008,5.8,170,70,Snow,light snow showers
1725465600000,-10.8,97,1012,4.6,29,81,Snow,light snow showers
1725469200000,-12,97,1012,5.7,304,66,Snow,light snow showers
1725472800000,-12,97,1010,6.1,254,80,Snow,light snow showers
1725476400000,-12,97,1015,4.4,165,78,Snow,light snow showers
1725480000000,-12,97,1012,5.7,337,83,Snow,light snow showers
1725483600000,-12,97,1012,4.7,354,73,Snow,light snow showers
1725487200000,-12,97,1017,3.9,278,79,Snow,light snow showers
1725490800000,-12,97,1010,3.5,119,85,Snow,light snow showers
1725494400000,-11.9,97,1008,3.9,305,78,Snow,light snow showers
