ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.3,68,1019,4.1,303,48,Clouds,scattered clouds
1725152400000,17.5,64,1016,3.1,125,51,Clouds,scattered clouds
1725156000000,18.6,64,1010,3.8,134,59,Clouds,scattered clouds
1725159600000,20.4,63,1011,3.5,38,45,Clouds,scattered clouds
1725163200000,22.6,64,1010,2.2,277,47,Clouds,scattered clouds
1725166800000,23,67,1014,2.7,310,42,Clouds,scattered clouds
1725170400000,23.4,64,1010,4.3,49,57,Clouds,scattered clouds
1725174000000,23.8,57,1015,3.8,83,57,Clouds,scattered clouds
1725177600000,23.4,59,1013,3.7,107,58,Clouds,scattered clouds
1725181200000,24.7,56,1008,4.8,4,52,Clouds,scattered clouds
1725184800000,23.7,62,1011,4.1,118,47,Clouds,scattered clouds
1725188400000,21.9,62,1016,5.8,337,51,Clouds,scattered clouds
1725192000000,19.4,68,1018,6.3,50,51,Clouds,scattered clouds
1725195600000,18.6,67,1008,5.7,9,44,Clouds,scattered clouds
1725199200000,19,67,1013,6.3,43,47,Clouds,scattered clouds
1725202800000,15.8,73,1013,5.9,147,64,Clouds,scattered clouds
1725206400000,14.4,75,1011,5.7,330,59,Clouds,scattered clouds
1725210000000,15.8,64,1019,5.6,310,60,Clouds,scattered clouds
1725213600000,14.6,68,1009,4.6,87,48,Clouds,scattered clouds
1725217200000,14,68,1016,3.5,125,54,Clouds,scattered clouds
1725220800000,12.3,74,1017,3.4,284,66,Clouds,scattered clouds
1725224400000,12.4,72,1011,2.9,109,69,Clouds,scattered clouds
1725228000000,12,77,1010,2.6,277,58,Clouds,scattered clouds
1725231600000,12.3,70,1009,2,6,46,Clouds,scattered clouds
1725235200000,14,75,1010,3.9,49,66,Clouds,scattered clouds
1725238800000,12.8,74,1011,3.6,55,71,Clouds,scattered clouds
1725242400000,14,70,1016,3.1,334,49,Clouds,scattered clouds
1725246000000,15.1,68,1008,4.5,4,62,Clouds,scattered clouds
1725249600000,17,70,1011,3.8,118,54,Clouds,scattered clouds
1725253200000,15.6,67,1010,5.2,134,62,Clouds,scattered clouds
1725256800000,16.9,67,1011,5.6,38,48,Clouds,scattered clouds
1725260400000,17.1,71,1010,5,277,53,Clouds,scattered clouds
1725264000000,17,63,1018,5.9,275,46,Clouds,scattered clouds
1725267600000,16.9,67,1012,5.4,141,50,Clouds,scattered clouds
1725271200000,15,68,1015,5.4,83,66,Clouds,scattered clouds
1725274800000,13.8,71,1013,4.7,107,68,Clouds,scattered clouds
1725278400000,13.4,68,1013,5.2,348,66,Clouds,scattered clouds
1725282000000,13.2,78,1011,4.4,226,51,Clouds,scattered clouds
1725285600000,9.7,76,1016,4.9,337,63,Clouds,scattered clouds
1725289200000,8.8,77,1016,3.3,308,56,Clouds,scattered clouds
1725292800000,7.9,79,1008,3.7,9,54,Clouds,scattered clouds
1725296400000,6.4,82,1013,3.7,43,59,Clouds,scattered clouds
1725300000000,4.5,79,1017,2.9,19,60,Clouds,scattered clouds
