ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.4,70,1016,4.2,81,60,Clouds,scattered clouds
1725152400000,17.1,74,1016,4.9,79,64,Clouds,scattered clouds
1725156000000,17.8,64,1009,3.5,282,47,Clouds,scattered clouds
1725159600000,18.7,66,1011,2.8,215,59,Clouds,scattered clouds
1725163200000,21.3,60,1014,2.3,30,52,Clouds,scattered clouds
1725166800000,21.8,57,1015,2,335,56,Clouds,scattered clouds
1725170400000,23.7,66,1009,4,218,51,Clouds,scattered clouds
1725174000000,24.4,62,1011,4.2,115,41,Clouds,scattered clouds
1725177600000,22.6,60,1012,4,300,53,Clouds,scattered clouds
1725181200000,21.2,68,1014,4.4,168,52,Clouds,scattered clouds
1725184800000,21.7,57,1008,4.1,100,44,Clouds,scattered clouds
1725188400000,21.4,67,1014,4.4,354,46,Clouds,scattered clouds
1725192000000,19.3,64,1017,5,171,60,Clouds,scattered clouds
1725195600000,17.4,66,1015,6.3,30,60,Clouds,scattered clouds
1725199200000,16.1,74,1009,5.4,175,71,Clouds,scattered clouds
1725202800000,14.8,72,1011,6.3,297,48,Clouds,scattered clouds
1725206400000,15.4,74,1015,4.5,306,56,Clouds,scattered clouds
1725210000000,14.1,70,1017,4.6,173,67,Clouds,scattered clouds
1725213600000,11.4,77,1010,5,56,58,Clouds,scattered clouds
1725217200000,12.8,79,1016,5.3,79,68,Clouds,scattered clouds
1725220800000,11.2,73,1016,4,275,64,Clouds,scattered clouds
1725224400000,9.8,82,1012,4.5,165,56,Clouds,scattered clouds
1725228000000,12.1,71,1014,2.8,30,61,Clouds,scattered clouds
1725231600000,11.6,71,1012,2,247,49,Clouds,scattered clouds
1725235200000,11,81,1009,3.6,218,64,Clouds,scattered clouds
1725238800000,13.7,68,1013,3.1,271,49,Clouds,scattered clouds
1725242400000,13.1,69,1010,4.9,182,52,Clouds,scattered clouds
1725246000000,14.7,76,1014,4.1,168,58,Clouds,scattered clouds
1725249600000,14.5,66,1008,3.9,100,51,Clouds,scattered clouds
1725253200000,14.1,68,1009,4.9,282,51,Clouds,scattered clouds
1725256800000,14.9,71,1011,4.9,215,63,Clouds,scattered clouds
1725260400000,15.9,66,1014,5.1,30,58,Clouds,scattered clouds
1725264000000,14.3,73,1018,5.2,289,70,Clouds,scattered clouds
1725267600000,15.7,74,1016,5.9,107,60,Clouds,scattered clouds
1725271200000,15.3,73,1011,5.7,115,49,Clouds,scattered clouds
1725274800000,14.7,70,1012,5,300,60,Clouds,scattered clouds
1725278400000,12.2,80,1008,4.4,108,55,Clouds,scattered clouds
1725282000000,10.5,73,1010,3.8,106,64,Clouds,scattered clouds
1725285600000,10.3,81,1014,3.5,354,57,Clouds,scattered clouds
1725289200000,7.1,82,1019,2.9,111,55,Clouds,scattered clouds
1725292800000,5.7,80,1015,4.3,30,71,Clouds,scattered clouds
1725296400000,5.6,87,1009,2.9,175,81,Clouds,overcast clouds
1725300000000,3.8,90,1014,2.5,126,82,Rain,light rain
1725303600000,4,88,1015,2.3,306,66,Clouds,scattered clouds
1725307200000,4.4,79,1010,4.5,182,60,Clouds,scattered clouds
1725310800000,4.3,85,1010,4.2,56,65,Clouds,scattered clouds
1725314400000,4.8,88,1016,5.2,79,76,Clouds,overcast clouds
1725318000000,3.7,81,1009,4.6,282,61,Clouds,scattered clouds
1725321600000,4.7,88,1012,6,165,61,Clouds,scattered clouds
1725325200000,3.8,81,1014,5,30,69,Clouds,scattered clouds
1725328800000,4.4,78,1015,4.6,335,72,Clouds,scattered clouds
1725332400000,5.8,87,1009,6.2,218,69,Clouds,scattered clouds
1725336000000,5.9,85,1011,5.8,115,59,Clouds,scattered clouds
1725339600000,6.4,80,1012,5.2,300,68,Clouds,scattered clouds
1725343200000,7.2,85,1014,5,168,65,Clouds,scattered clouds
1725346800000,6.7,75,1008,4.2,100,59,Clouds,scattered clouds
1725350400000,6.8,77,1009,4.5,282,58,Clouds,scattered clouds
1725354000000,5.7,80,1017,3.9,171,73,Clouds,scattered clouds
1725357600000,4.5,82,1015,4.7,30,72,Clouds,scattered clouds
1725361200000,4.2,85,1018,3.1,289,80,Clouds,overcast clouds
1725364800000,4.6,88,1016,3.4,107,71,Clouds,scattered clouds
1725368400000,1.6,92,1010,2.2,87,63,Snow,light snow showers
1725372000000,1.6,92,1009,4,122,73,Snow,light snow showers
1725375600000,-1.5,96,1008,2.9,108,68,Snow,light snow showers
1725379200000,-3.8,89,1013,4.4,232,59,Snow,light snow showers
1725382800000,-3.6,97,1014,3.6,354,70,Snow,light snow showers
1725386400000,-3.8,95,1019,3.8,111,65,Snow,light snow showers
1725390000000,-6.3,92,1012,4.5,13,72,Snow,light snow showers
1725393600000,-6,97,1009,5.2,175,89,Snow,light snow showers
1725397200000,-5,91,1018,5.2,265,84,Snow,light snow showers
1725400800000,-7.1,97,1015,4.8,306,74,Snow,light snow showers
1725404400000,-6.9,93,1010,6.5,182,71,Snow,light snow showers
1725408000000,-5,97,1014,5.2,168,75,Snow,light snow showers
1725411600000,-6.4,97,1016,6.1,79,83,Snow,light snow showers
1725415200000,-3.6,90,1009,4.8,282,68,Snow,light snow showers
1725418800000,-4.2,94,1011,4.3,215,81,Snow,light snow showers
1725422400000,-4.9,91,1014,3.9,30,77,Snow,light snow showers
1725426000000,-1.7,92,1018,3.5,289,85,Snow,light snow showers
1725429600000,-1.7,95,1016,3.8,107,76,Snow,light snow showers
1725433200000,-3.6,96,1011,3.2,115,68,Snow,light snow showers
1725436800000,-4.5,93,1012,2.5,300,79,Snow,light snow showers
1725440400000,-3.5,97,1014,2.9,168,75,Snow,light snow showers
1725444000000,-4.3,90,1010,2.7,106,78,Snow,light snow showers
1725447600000,-6.1,97,1014,3.3,354,70,Snow,light snow showers
1725451200000,-8.2,97,1017,4.1,171,86,Snow,light snow showers
1725454800000,-9.1,97,1015,5.7,30,84,Snow,light snow showers
1725458400000,-9.7,97,1009,5.1,175,89,Snow,light snow showers
1725462000000,-12,97,1010,6.1,142,68,Snow,light snow showers
1725465600000,-12,97,1010,5.1,87,66,Snow,light snow showers
1725469200000,-12,97,1019,6.3,95,70,Snow,light snow showers
1725472800000,-12,97,1008,4.8,108,69,Snow,light snow showers
1725476400000,-12,97,1013,5.8,232,66,Snow,light snow showers
1725480000000,-12,97,1016,4.9,246,88,Snow,light snow showers
1725483600000,-12,97,1019,3.9,111,67,Snow,light snow showers
1725487200000,-12,97,1008,4.4,150,86,Snow,light snow showers
1725490800000,-12,97,1009,4.1,175,89,Snow,light snow showers
1725494400000,-12,97,1018,3.5,265,89,Snow,light snow showers
1725498000000,-12,97,1017,3.9,55,87,Snow,light snow showers
1725501600000,-11.6,97,1010,3.7,182,74,Snow,light snow showers
1725505200000,-12,97,1014,2.5,168,75,Snow,light snow showers
1725508800000,-9.5,95,1008,2.4,100,74,Snow,light snow showers
1725512400000,-10,97,1009,3.6,282,74,Snow,light snow showers
1725516000000,-9,97,1017,3.7,171,86,Snow,light snow showers
1725519600000,-8.6,97,1015,5.4,30,84,Snow,light snow showers
1725523200000,-9.6,97,1018,4.6,289,89,Snow,light snow showers
1725526800000,-11.3,97,1016,5.6,107,78,Snow,light snow showers
1725530400000,-10.2,97,1011,5.7,115,68,Snow,light snow showers
1725534000000,-12,97,1009,6.4,122,77,Snow,light snow showers
1725537600000,-12,97,1008,4.9,108,69,Snow,light snow showers
1725541200000,-12,97,1010,4.6,106,83,Snow,light snow showers
1725544800000,-12,97,1014,4.5,354,70,Snow,light snow showers
1725548400000,-12,97,1019,4.1,111,67,Snow,light snow showers
1725552000000,-12,97,1012,4.3,13,76,Snow,light snow showers
1725555600000,-12,97,1009,4.4,175,89,Snow,light snow showers
1725559200000,-12,97,1018,3.9,265,89,Snow,light snow showers
1725562800000,-12,97,1010,3.3,87,66,Snow,light snow showers
1725566400000,-12,97,1019,4,95,70,Snow,light snow showers
1725570000000,-12,97,1013,2.5,5,84,Snow,light snow showers
1725573600000,-12,97,1013,3.2,232,66,Snow,light snow showers
1725577200000,-12,97,1011,2.6,153,76,Snow,light snow showers
1725580800000,-12,97,1019,2.8,111,67,Snow,light snow showers
1725584400000,-12,97,1008,4.1,150,86,Snow,light snow showers
1725588000000,-11.6,97,1014,5.4,345,83,Snow,light snow showers
1725591600000,-12,97,1018,4.7,265,89,Snow,light snow showers
1725595200000,-10.6,97,1017,5.8,55,87,Snow,light snow showers
1725598800000,-9,96,1010,5.9,337,77,Snow,light snow showers
1725602400000,-8.7,97,1014,5.3,168,75,Snow,light snow showers
1725606000000,-8.2,95,1010,4.6,106,82,Snow,light snow showers
1725609600000,-9.8,97,1014,4.6,354,70,Snow,light snow showers
1725613200000,-9.8,97,1017,4.9,171,86,Snow,light snow showers
1725616800000,-12,97,1015,5.9,30,84,Snow,light snow showers
1725620400000,-12,97,1018,4.5,289,89,Snow,light snow showers
1725624000000,-12,97,1010,5.2,142,68,Snow,light snow showers
1725627600000,-12,97,1010,3.6,87,66,Snow,light snow showers
1725631200000,-12,97,1009,4.5,122,77,Snow,light snow showers
1725634800000,-12,97,1008,2.5,108,69,Snow,light snow showers
1725638400000,-12,97,1013,3,232,66,Snow,light snow showers
1725642000000,-12,97,1016,2.7,246,88,Snow,light snow showers
1725645600000,-12,97,1019,2.4,111,67,Snow,light snow showers
1725649200000,-12,97,1008,3.7,150,86,Snow,light snow showers
1725652800000,-12,97,1009,4.2,175,89,Snow,light snow showers
1725656400000,-12,97,1018,4.4,265,89,Snow,light snow showers
1725660000000,-12,97,1015,4.7,163,90,Snow,light snow showers
1725663600000,-12,97,1019,6.1,95,70,Snow,light snow showers
1725667200000,-12,97,1011,5.5,201,79,Snow,light snow showers
1725670800000,-12,97,1013,5.9,232,66,Snow,light snow showers
1725674400000,-12,97,1011,4.8,153,76,Snow,light snow showers
1725678000000,-10.5,97,1018,4.5,175,86,Snow,light snow showers
1725681600000,-11.4,97,1008,5.2,150,86,Snow,light snow showers
1725685200000,-9.9,97,1014,5.9,345,83,Snow,light snow showers
1725688800000,-8.3,97,1014,5,191,82,Snow,light snow showers
1725692400000,-10.4,97,1017,5,55,87,Snow,light snow showers
1725696000000,-9,97,1008,4.4,199,84,Snow,light snow showers
1725699600000,-9.8,96,1018,4.4,119,79,Snow,light snow showers
1725703200000,-12,97,1010,2.1,106,83,Snow,light snow showers
1725706800000,-11.4,97,1014,1.7,354,70,Snow,light snow showers
1725710400000,-12,97,1017,2.5,171,86,Snow,light snow showers
1725714000000,-12,97,1012,2.9,13,76,Snow,light snow showers
1725717600000,-12,97,1009,3.9,175,89,Snow,light snow showers
1725721200000,-12,97,1010,5.1,142,68,Snow,light snow showers
1725724800000,-12,97,1010,4.3,87,66,Snow,light snow showers
1725728400000,-12,97,1019,5.9,95,70,Snow,light snow showers
1725732000000,-12,97,1013,5,5,84,Snow,light snow showers
1725735600000,-12,97,1013,5.8,232,66,Snow,light snow showers
1725739200000,-12,97,1011,4.8,153,76,Snow,light snow showers
1725742800000,-12,97,1019,4.5,111,67,Snow,light snow showers
1725746400000,-12,97,1008,5.3,150,86,Snow,light snow showers
1725750000000,-12,97,1014,4.7,85,83,Snow,light snow showers
1725753600000,-12,97,1018,4.8,265,89,Snow,light snow showers
1725757200000,-12,97,1017,5.3,55,87,Snow,light snow showers
1725760800000,-12,97,1019,5.2,95,70,Snow,light snow showers
1725764400000,-11.2,97,1011,4,201,79,Snow,light snow showers
1725768000000,-10.5,97,1012,4.2,185,87,Snow,light snow showers
1725771600000,-10.4,97,1011,2.2,153,76,Snow,light snow showers
1725775200000,-8.8,97,1018,1.6,175,86,Snow,light snow showers
1725778800000,-10.6,97,1010,2.6,71,71,Snow,light snow showers
1725782400000,-11,97,1014,4.4,345,83,Snow,light snow showers
1725786000000,-10.5,97,1010,4.1,67,72,Snow,light snow showers
1725789600000,-12,97,1011,5,97,74,Snow,light snow showers
1725793200000,-12,97,1008,5.2,199,84,Snow,light snow showers
1725796800000,-12,97,1018,5.9,119,81,Snow,light snow showers
1725800400000,-12,97,1010,4.4,106,83,Snow,light snow showers
1725804000000,-12,97,1016,5.2,246,88,Snow,light snow showers
1725807600000,-12,97,1019,4.5,111,67,Snow,light snow showers
1725811200000,-12,97,1012,5,13,76,Snow,light snow showers
1725814800000,-12,97,1009,5.3,175,89,Snow,light snow showers
1725818400000,-12,97,1018,5,265,89,Snow,light snow showers
1725822000000,-12,97,1015,4.7,163,90,Snow,light snow showers
1725825600000,-12,97,1019,5.5,95,70,Snow,light snow showers
1725829200000,-12,97,1011,4.4,201,79,Snow,light snow showers
1725832800000,-12,97,1013,4.2,232,66,Snow,light snow showers
1725836400000,-12,97,1011,2.7,153,76,Snow,light snow showers
1725840000000,-12,97,1016,2.9,138,78,Snow,light snow showers
1725843600000,-12,97,1008,2.5,150,86,Snow,light snow showers
1725847200000,-12,97,1014,3.9,345,83,Snow,light snow showers
1725850800000,-10.2,97,1018,3.4,265,89,Snow,light snow showers
1725854400000,-9.1,97,1017,4.7,55,87,Snow,light snow showers
1725858000000,-8,97,1008,4.9,199,84,Snow,light snow showers
1725861600000,-8.9,94,1011,4.9,201,77,Snow,light snow showers
1725865200000,-9.3,96,1012,5.9,185,87,Snow,light snow showers
1725868800000,-8.3,96,1009,6.2,354,84,Snow,light snow showers
1725872400000,-10.7,97,1018,4.5,175,86,Snow,light snow showers
1725876000000,-9.8,97,1015,4.7,329,76,Snow,light snow showers
1725879600000,-10.5,97,1013,4.7,20,71,Snow,light snow showers
1725883200000,-12,97,1010,5.4,67,72,Snow,light snow showers
1725886800000,-12,97,1011,5.7,97,74,Snow,light snow showers
1725890400000,-12,97,1008,5.4,199,84,Snow,light snow showers
1725894000000,-12,97,1019,5.2,61,81,Snow,light snow showers
1725897600000,-12,97,1013,3.6,125,81,Snow,light snow showers
1725901200000,-12,97,1016,3.6,246,88,Snow,light snow showers
1725904800000,-12,97,1019,2.3,111,67,Snow,light snow showers
1725908400000,-12,97,1008,2.7,150,86,Snow,light snow showers
1725912000000,-12,97,1014,2.2,85,83,Snow,light snow showers
