ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.3,61,1010,5.2,201,56,Clouds,scattered clouds
1725152400000,19.4,68,1017,4.3,305,45,Clouds,scattered clouds
1725156000000,19,67,1010,2.9,259,63,Clouds,scattered clouds
1725159600000,22,67,1017,3.5,296,49,Clouds,scattered clouds
1725163200000,21.7,60,1013,3.4,26,58,Clouds,scattered clouds
1725166800000,23.7,57,1017,3.1,208,47,Clouds,scattered clouds
1725170400000,23.3,64,1010,2.9,257,47,Clouds,scattered clouds
1725174000000,24.9,57,1014,2.9,344,33,Clouds,scattered clouds
1725177600000,25.4,58,1008,4.9,340,52,Clouds,scattered clouds
1725181200000,22.9,59,1014,5,272,39,Clouds,scattered clouds
1725184800000,22,67,1017,4.6,215,62,Clouds,scattered clouds
1725188400000,22.7,60,1008,5.1,121,53,Clouds,scattered clouds
1725192000000,20.5,60,1010,6.1,80,39,Clouds,scattered clouds
1725195600000,19.2,68,1016,4.7,155,61,Clouds,scattered clouds
1725199200000,17.3,64,1009,5.7,79,50,Clouds,scattered clouds
1725202800000,17.9,66,1018,5,70,56,Clouds,scattered clouds
1725206400000,16.8,66,1010,4.4,63,45,Clouds,scattered clouds
1725210000000,16.2,73,1016,5.1,275,57,Clouds,scattered clouds
1725213600000,12.9,69,1015,5.1,15,65,Clouds,scattered clouds
1725217200000,12.9,75,1017,4.6,305,52,Clouds,scattered clouds
1725220800000,11.5,75,1012,3.9,129,60,Clouds,scattered clouds
1725224400000,12,74,1017,3.1,31,69,Clouds,scattered clouds
1725228000000,12.7,71,1013,3.8,26,67,Clouds,scattered clouds
1725231600000,12.5,73,1011,3,148,68,Clouds,scattered clouds
1725235200000,12.2,77,1010,2.5,257,58,Clouds,scattered clouds
1725238800000,14.2,74,1015,3.4,178,67,Clouds,scattered clouds
1725242400000,15.3,65,1017,3.5,344,44,Clouds,scattered clouds
1725246000000,14.4,69,1014,4.7,272,47,Clouds,scattered clouds
1725249600000,15.8,74,1017,4.4,215,68,Clouds,scattered clouds
1725253200000,16,71,1010,4.3,259,65,Clouds,scattered clouds
1725256800000,15.5,75,1017,5.6,296,55,Clouds,scattered clouds
1725260400000,17.6,65,1013,6.2,26,62,Clouds,scattered clouds
1725264000000,17.9,72,1017,4.7,54,60,Clouds,scattered clouds
1725267600000,16.1,71,1011,5.5,7,60,Clouds,scattered clouds
1725271200000,16,67,1014,4.5,344,42,Clouds,scattered clouds
1725274800000,14.7,71,1008,5.9,340,62,Clouds,scattered clouds
1725278400000,13.2,77,1009,5.5,333,67,Clouds,scattered clouds
1725282000000,12.3,76,1018,4.2,57,70,Clouds,scattered clouds
1725285600000,12,73,1008,4.2,121,63,Clouds,scattered clouds
1725289200000,10.7,75,1008,3.7,246,48,Clouds,scattered clouds
1725292800000,7.7,82,1016,2.7,155,72,Clouds,scattered clouds
1725296400000,6.4,77,1009,3.1,79,60,Clouds,scattered clouds
1725300000000,7.2,75,1010,1.7,264,62,Clouds,scattered clouds
1725303600000,6.2,79,1010,2.2,63,55,Clouds,scattered clouds
1725307200000,5.5,77,1017,3.1,344,54,Clouds,scattered clouds
1725310800000,4.9,79,1015,4.3,15,72,Clouds,scattered clouds
1725314400000,6.2,83,1017,4.6,305,58,Clouds,scattered clouds
1725318000000,4.8,84,1010,4,259,76,Clouds,overcast clouds
1725321600000,6.6,80,1017,4.6,31,74,Clouds,scattered clouds
1725325200000,6.9,78,1013,6,26,72,Clouds,scattered clouds
1725328800000,7.5,76,1017,5.6,208,62,Clouds,scattered clouds
1725332400000,7.6,83,1010,5.1,257,63,Clouds,scattered clouds
1725336000000,7.9,77,1014,4.6,344,50,Clouds,scattered clouds
1725339600000,9.5,77,1008,6.1,340,67,Clouds,scattered clouds
1725343200000,10,74,1014,5.6,272,51,Clouds,scattered clouds
1725346800000,9.6,82,1017,4.7,215,74,Clouds,scattered clouds
1725350400000,10.3,78,1010,3.9,259,71,Clouds,scattered clouds
1725354000000,8.4,75,1010,5,80,51,Clouds,scattered clouds
