ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.9,62,1012,3.8,87,55,Clouds,scattered clouds
1725152400000,18,73,1019,3.7,188,63,Clouds,scattered clouds
1725156000000,19.1,66,1009,2.8,17,47,Clouds,scattered clouds
1725159600000,20.7,68,1018,2.5,14,61,Clouds,scattered clouds
1725163200000,22.3,59,1010,2.4,44,35,Clouds,scattered clouds
1725166800000,23.4,55,1009,3.2,258,54,Clouds,scattered clouds
1725170400000,25,58,1008,2.8,308,37,Clouds,scattered clouds
1725174000000,24.5,63,1008,3,260,59,Clouds,scattered clouds
1725177600000,23.5,61,1009,3.6,312,47,Clouds,scattered clouds
1725181200000,24.1,63,1017,5.3,61,40,Clouds,scattered clouds
1725184800000,21.4,61,1013,4.7,45,44,Clouds,scattered clouds
1725188400000,22.8,57,1016,5,254,42,Clouds,scattered clouds
1725192000000,20.1,61,1011,5.8,133,45,Clouds,scattered clouds
1725195600000,18.8,65,1015,5.2,101,56,Clouds,scattered clouds
1725199200000,18.9,60,1017,6.2,354,40,Clouds,scattered clouds
1725202800000,15.6,71,1018,5.3,38,67,Clouds,scattered clouds
1725206400000,15.8,75,1009,5.7,9,60,Clouds,scattered clouds
1725210000000,13.9,67,1009,5.2,275,51,Clouds,scattered clouds
1725213600000,13.6,68,1019,3.8,141,59,Clouds,scattered clouds
1725217200000,11.5,80,1019,4,188,70,Clouds,scattered clouds
1725220800000,12.9,70,1007,3.8,107,68,Clouds,scattered clouds
1725224400000,12.5,69,1016,4.1,348,63,Clouds,scattered clouds
1725228000000,13.4,70,1010,2.8,44,44,Clouds,scattered clouds
1725231600000,12.7,73,1015,1.6,337,58,Clouds,scattered clouds
1725235200000,11.8,73,1008,2.4,308,50,Clouds,scattered clouds
1725238800000,13.7,75,1009,3.6,247,68,Clouds,scattered clouds
1725242400000,14.8,72,1016,3.9,43,61,Clouds,scattered clouds
1725246000000,16.5,72,1017,5,61,48,Clouds,scattered clouds
1725249600000,17.5,66,1013,4.4,45,47,Clouds,scattered clouds
1725253200000,16.8,69,1009,4.2,17,49,Clouds,scattered clouds
1725256800000,18.5,70,1018,4.6,14,63,Clouds,scattered clouds
1725260400000,17.2,65,1010,5.2,44,40,Clouds,scattered clouds
1725264000000,17,71,1011,4.5,343,58,Clouds,scattered clouds
1725267600000,16,66,1014,4.5,168,64,Clouds,scattered clouds
1725271200000,15,74,1008,4.6,260,69,Clouds,scattered clouds
1725274800000,14.1,72,1009,4.6,312,56,Clouds,scattered clouds
1725278400000,14.4,76,1013,5.4,29,61,Clouds,scattered clouds
1725282000000,14,75,1014,5.2,321,56,Clouds,scattered clouds
1725285600000,12.5,69,1016,4.1,254,52,Clouds,scattered clouds
1725289200000,9.5,80,1009,4.2,165,74,Clouds,scattered clouds
1725292800000,8,78,1015,3.1,101,66,Clouds,scattered clouds
1725296400000,7.9,74,1017,3.7,354,51,Clouds,scattered clouds
1725300000000,7.5,83,1010,2.3,50,78,Clouds,overcast clouds
1725303600000,4.7,88,1009,3.4,9,71,Clouds,scattered clouds
1725307200000,5.4,83,1016,3.6,43,70,Clouds,scattered clouds
1725310800000,6.1,77,1019,3,141,67,Clouds,scattered clouds
1725314400000,4.1,89,1019,4,188,77,Clouds,overcast clouds
1725318000000,7,80,1009,3.9,17,58,Clouds,scattered clouds
1725321600000,6.4,77,1016,5.6,348,68,Clouds,scattered clouds
1725325200000,7.7,77,1010,5,44,49,Clouds,scattered clouds
1725328800000,7.2,75,1009,5.7,258,69,Clouds,scattered clouds
1725332400000,8.5,77,1008,4.9,308,53,Clouds,scattered clouds
1725336000000,9.9,80,1008,4.7,260,73,Clouds,scattered clouds
1725339600000,8.1,80,1009,4.7,312,62,Clouds,scattered clouds
1725343200000,9.1,81,1017,5.9,61,55,Clouds,scattered clouds
1725346800000,9.3,76,1013,4.7,45,55,Clouds,scattered clouds
1725350400000,9.4,77,1009,3.8,17,56,Clouds,scattered clouds
1725354000000,8.9,75,1011,4.7,133,55,Clouds,scattered clouds
1725357600000,7.2,79,1015,3.5,101,67,Clouds,scattered clouds
1725361200000,7.5,82,1011,2.4,343,67,Clouds,scattered clouds
1725364800000,6,78,1014,1.9,168,74,Clouds,scattered clouds
1725368400000,3.7,80,1010,2.9,119,73,Clouds,scattered clouds
1725372000000,3.1,82,1008,3.8,170,72,Clouds,scattered clouds
1725375600000,0.8,92,1013,4,29,74,Snow,light snow showers
1725379200000,0.5,91,1011,4.3,304,82,Snow,light snow showers
1725382800000,-2.7,87,1016,4.2,254,66,Clouds,scattered clouds
1725386400000,-1.1,93,1009,5.1,165,84,Snow,light snow showers
1725390000000,-1.6,95,1009,5.8,337,78,Snow,light snow showers
1725393600000,-4.9,89,1017,6,354,63,Snow,light snow showers
1725397200000,-5.2,92,1011,4.7,278,66,Snow,light snow showers
1725400800000,-2.7,97,1009,5.9,9,78,Snow,light snow showers
1725404400000,-4.4,95,1016,5.5,43,79,Snow,light snow showers
1725408000000,-4.1,97,1017,6.1,61,67,Snow,light snow showers
1725411600000,-3,97,1019,4.8,188,83,Snow,light snow showers
