ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.9,67,1018,3.9,179,60,Clouds,scattered clouds
1725152400000,17.2,66,1008,4.9,174,63,Clouds,scattered clouds
1725156000000,19.9,71,1016,4,163,50,Clouds,scattered clouds
1725159600000,19.6,70,1009,3,76,63,Clouds,scattered clouds
1725163200000,20.5,66,1016,3.2,174,52,Clouds,scattered clouds
1725166800000,21,69,1008,3.8,237,46,Clouds,scattered clouds
1725170400000,21.7,61,1012,4,266,55,Clouds,scattered clouds
1725174000000,22.7,59,1011,4.3,159,42,Clouds,scattered clouds
1725177600000,22.3,66,1008,4.5,47,41,Clouds,scattered clouds
1725181200000,22.4,61,1012,4.2,213,58,Clouds,scattered clouds
1725184800000,20.9,62,1012,4.7,205,55,Clouds,scattered clouds
1725188400000,20.1,60,1016,6,312,36,Clouds,scattered clouds
1725192000000,18.2,65,1014,4.9,84,58,Clouds,scattered clouds
1725195600000,16.4,74,1018,6.2,295,64,Clouds,scattered clouds
1725199200000,17.3,65,1016,5.6,299,55,Clouds,scattered clouds
1725202800000,13.8,69,1017,4.6,274,62,Clouds,scattered clouds
1725206400000,13.2,70,1010,4.4,334,59,Clouds,scattered clouds
1725210000000,12.9,73,1012,5.9,297,64,Clouds,scattered clouds
1725213600000,11.2,81,1010,4.4,111,56,Clouds,scattered clouds
1725217200000,9.9,75,1008,5.2,174,70,Clouds,scattered clouds
1725220800000,11.5,77,1017,4.6,300,58,Clouds,scattered clouds
1725224400000,9.6,72,1014,4.4,327,51,Clouds,scattered clouds
1725228000000,10.5,78,1016,3.6,174,62,Clouds,scattered clouds
1725231600000,10.5,73,1019,1.9,173,65,Clouds,scattered clouds
1725235200000,10.1,75,1012,3.6,266,66,Clouds,scattered clouds
1725238800000,11.3,74,1011,3.8,122,50,Clouds,scattered clouds
1725242400000,13.4,78,1012,3,229,73,Clouds,scattered clouds
1725246000000,13,72,1012,3.9,213,67,Clouds,scattered clouds
1725249600000,15,69,1012,4.4,205,61,Clouds,scattered clouds
1725253200000,14.2,77,1016,5.3,163,56,Clouds,scattered clouds
1725256800000,14.9,76,1009,5.1,76,68,Clouds,scattered clouds
1725260400000,16,71,1016,5.9,174,56,Clouds,scattered clouds
1725264000000,14.1,71,1017,5.2,226,62,Clouds,scattered clouds
1725267600000,14.3,75,1017,5.7,176,49,Clouds,scattered clouds
1725271200000,13.9,70,1011,5.9,159,50,Clouds,scattered clouds
1725274800000,12.2,78,1008,5.5,47,50,Clouds,scattered clouds
1725278400000,10.3,81,1008,5.7,247,54,Clouds,scattered clouds
