ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,16.8,71,1013,5,320,46,Clouds,scattered clouds
1725152400000,17.5,73,1016,4.3,349,57,Clouds,scattered clouds
1725156000000,17.4,72,1010,4.1,156,63,Clouds,scattered clouds
1725159600000,19.1,68,1011,2.3,11,66,Clouds,scattered clouds
1725163200000,21.4,67,1019,3.2,69,66,Clouds,scattered clouds
1725166800000,21.8,57,1009,2.3,149,39,Clouds,scattered clouds
1725170400000,21.2,69,1013,4.2,195,62,Clouds,scattered clouds
1725174000000,23.7,58,1014,3.4,272,46,Clouds,scattered clouds
1725177600000,24,56,1013,4.5,212,43,Clouds,scattered clouds
1725181200000,21.8,60,1017,5,200,48,Clouds,scattered clouds
1725184800000,22.1,66,1009,4.5,223,62,Clouds,scattered clouds
1725188400000,19.3,63,1008,5.3,43,56,Clouds,scattered clouds
1725192000000,17.8,68,1014,5.1,117,60,Clouds,scattered clouds
1725195600000,19,69,1016,5,90,64,Clouds,scattered clouds
1725199200000,15.2,72,1016,6.2,36,64,Clouds,scattered clouds
1725202800000,14.7,69,1017,5.7,119,53,Clouds,scattered clouds
1725206400000,15.3,73,1008,4.9,125,64,Clouds,scattered clouds
1725210000000,14.3,72,1009,5.4,286,58,Clouds,scattered clouds
1725213600000,13.4,74,1012,3.8,25,68,Clouds,scattered clouds
1725217200000,11.1,81,1016,4.7,349,63,Clouds,scattered clouds
1725220800000,10.9,75,1018,4.4,20,71,Clouds,scattered clouds
1725224400000,11.4,74,1015,2.8,279,49,Clouds,scattered clouds
1725228000000,10,81,1019,3.6,69,77,Clouds,overcast clouds
1725231600000,10.9,76,1010,3.2,10,60,Clouds,scattered clouds
1725235200000,13.2,79,1013,3.8,195,69,Clouds,scattered clouds
1725238800000,11.5,79,1015,2.5,220,51,Clouds,scattered clouds
1725242400000,12.3,71,1019,4,164,67,Clouds,scattered clouds
1725246000000,12.8,71,1017,4.6,200,57,Clouds,scattered clouds
1725249600000,13.5,77,1009,4.2,223,70,Clouds,scattered clouds
1725253200000,14,76,1010,5.5,156,66,Clouds,scattered clouds
1725256800000,16.4,72,1011,4.4,11,69,Clouds,scattered clouds
1725260400000,15.8,74,1019,6,69,72,Clouds,scattered clouds
1725264000000,15.6,69,1009,5.8,76,62,Clouds,scattered clouds
1725267600000,13.9,69,1017,5.1,144,57,Clouds,scattered clouds
1725271200000,13.6,70,1014,5,272,55,Clouds,scattered clouds
1725274800000,11.9,70,1013,5.5,212,54,Clouds,scattered clouds
1725278400000,10.9,75,1014,5.6,215,68,Clouds,scattered clouds
1725282000000,9.7,78,1015,4.1,7,66,Clouds,scattered clouds
1725285600000,7.4,78,1008,4.4,43,68,Clouds,scattered clouds
1725289200000,6.6,82,1013,3.3,153,60,Clouds,scattered clouds
