ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.3,70,1018,4.1,84,55,Clouds,scattered clouds
1725152400000,19.6,69,1008,3.1,146,49,Clouds,scattered clouds
1725156000000,20,63,1017,3.6,288,58,Clouds,scattered clouds
1725159600000,21.6,64,1013,3.7,34,63,Clouds,scattered clouds
1725163200000,24.1,56,1013,2.2,294,48,Clouds,scattered clouds
1725166800000,23.6,57,1017,3.5,210,47,Clouds,scattered clouds
1725170400000,25.3,57,1019,2.8,305,53,Clouds,scattered clouds
1725174000000,26.5,60,1016,3.5,99,54,Clouds,scattered clouds
1725177600000,25.5,64,1012,3.6,145,47,Clouds,scattered clouds
1725181200000,23.8,64,1017,3.8,250,48,Clouds,scattered clouds
1725184800000,23.6,61,1011,4,135,58,Clouds,scattered clouds
1725188400000,22.8,60,1018,5.7,143,47,Clouds,scattered clouds
1725192000000,23,58,1010,5.5,93,49,Clouds,scattered clouds
1725195600000,20.8,65,1009,5.2,264,41,Clouds,scattered clouds
1725199200000,18.3,66,1012,6.1,195,54,Clouds,scattered clouds
1725202800000,17.1,69,1016,6.4,345,59,Clouds,scattered clouds
1725206400000,17.4,72,1013,5.2,100,55,Clouds,scattered clouds
1725210000000,16.3,67,1016,5,22,64,Clouds,scattered clouds
1725213600000,14.2,74,1017,5.7,145,51,Clouds,scattered clouds
1725217200000,14.8,75,1008,3.4,146,53,Clouds,scattered clouds
1725220800000,13.6,74,1009,4.1,102,52,Clouds,scattered clouds
1725224400000,14.9,68,1015,4,236,66,Clouds,scattered clouds
1725228000000,13.5,69,1013,2.6,294,58,Clouds,scattered clouds
1725231600000,13.3,73,1010,3,158,54,Clouds,scattered clouds
1725235200000,15.1,69,1019,2.4,305,63,Clouds,scattered clouds
1725238800000,15.4,76,1016,3.4,354,72,Clouds,scattered clouds
1725242400000,14.9,67,1011,4.8,18,43,Clouds,scattered clouds
1725246000000,17.4,71,1017,3.5,250,54,Clouds,scattered clouds
1725249600000,18.7,67,1011,3.7,135,63,Clouds,scattered clouds
1725253200000,18.7,64,1017,5,288,59,Clouds,scattered clouds
1725256800000,17.7,69,1013,5.8,34,67,Clouds,scattered clouds
1725260400000,17.5,64,1013,4.9,294,54,Clouds,scattered clouds
1725264000000,19.7,62,1017,4.8,130,62,Clouds,scattered clouds
1725267600000,18.6,65,1011,6.2,275,57,Clouds,scattered clouds
1725271200000,17.2,71,1016,5.1,99,63,Clouds,scattered clouds
1725274800000,15.9,76,1012,4.6,145,57,Clouds,scattered clouds
1725278400000,15,69,1011,4.5,126,62,Clouds,scattered clouds
1725282000000,13.6,70,1010,4.5,11,65,Clouds,scattered clouds
1725285600000,11.5,73,1018,4.8,143,58,Clouds,scattered clouds
1725289200000,12.2,70,1013,3.9,281,64,Clouds,scattered clouds
1725292800000,10.2,78,1009,3.2,264,52,Clouds,scattered clouds
1725296400000,9.4,77,1012,3.6,195,63,Clouds,scattered clouds
1725300000000,8.8,79,1018,2.4,173,53,Clouds,scattered clouds
1725303600000,7.9,83,1013,2.9,100,64,Clouds,scattered clouds
1725307200000,6.5,77,1011,4.4,18,51,Clouds,scattered clouds
1725310800000,5.4,85,1017,4.9,145,60,Clouds,scattered clouds
1725314400000,5.3,86,1008,3.4,146,63,Clouds,scattered clouds
1725318000000,6.2,79,1017,4.8,288,71,Clouds,scattered clouds
1725321600000,5.7,79,1015,5.5,236,75,Clouds,scattered clouds
1725325200000,8,75,1013,4.8,294,63,Clouds,scattered clouds
1725328800000,7.1,77,1017,6.1,210,63,Clouds,scattered clouds
1725332400000,8.6,77,1019,4.9,305,69,Clouds,scattered clouds
1725336000000,9.9,80,1016,5.1,99,70,Clouds,scattered clouds
1725339600000,8.9,84,1012,4.7,145,63,Clouds,scattered clouds
1725343200000,11.4,79,1017,4.4,250,60,Clouds,scattered clouds
1725346800000,11.1,76,1011,4,135,70,Clouds,scattered clouds
1725350400000,10.1,74,1017,4.7,288,68,Clouds,scattered clouds
1725354000000,9,75,1010,4.4,93,62,Clouds,scattered clouds
1725357600000,9.3,79,1009,3.6,264,53,Clouds,scattered clouds
1725361200000,8.6,76,1017,2.7,130,72,Clouds,scattered clouds
1725364800000,7.3,79,1011,3.6,275,68,Clouds,scattered clouds
1725368400000,4.7,83,1010,2.2,309,70,Clouds,scattered clouds
1725372000000,5,78,1018,3.4,280,53,Clouds,scattered clouds
1725375600000,2.7,84,1011,3.1,126,73,Clouds,scattered clouds
