ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,16.7,64,1014,4.8,118,51,Clouds,scattered clouds
1725152400000,17.3,67,1016,4.7,141,49,Clouds,scattered clouds
1725156000000,17.9,62,1018,2.9,188,42,Clouds,scattered clouds
1725159600000,20.7,69,1011,3.9,132,47,Clouds,scattered clouds
1725163200000,21.1,63,1016,3.2,348,61,Clouds,scattered clouds
1725166800000,20.8,61,1018,2.3,168,45,Clouds,scattered clouds
1725170400000,22.6,65,1014,4,337,41,Clouds,scattered clouds
1725174000000,23.3,59,1007,2.9,308,55,Clouds,scattered clouds
1725177600000,24.2,66,1015,4,247,46,Clouds,scattered clouds
1725181200000,24,59,1009,4.5,43,48,Clouds,scattered clouds
1725184800000,22,65,1009,4.3,87,40,Clouds,scattered clouds
1725188400000,22.2,57,1015,5.4,45,42,Clouds,scattered clouds
1725192000000,20.2,59,1008,5,17,36,Clouds,scattered clouds
1725195600000,18.3,70,1009,5.8,14,52,Clouds,scattered clouds
1725199200000,16.7,69,1018,5.8,101,62,Clouds,scattered clouds
1725202800000,15.2,74,1011,4.9,155,68,Clouds,scattered clouds
1725206400000,14.1,74,1017,5.6,38,47,Clouds,scattered clouds
1725210000000,14.5,75,1018,5.6,277,50,Clouds,scattered clouds
1725213600000,14.5,76,1009,5.7,310,73,Clouds,scattered clouds
1725217200000,13.6,72,1016,5,141,53,Clouds,scattered clouds
1725220800000,11.5,70,1014,4.2,55,65,Clouds,scattered clouds
1725224400000,11.2,75,1008,4.3,107,53,Clouds,scattered clouds
1725228000000,11,75,1016,3.6,348,70,Clouds,scattered clouds
1725231600000,13.2,72,1014,2.4,118,47,Clouds,scattered clouds
1725235200000,11.6,78,1014,3.6,337,52,Clouds,scattered clouds
1725238800000,13.5,75,1010,4.4,316,64,Clouds,scattered clouds
1725242400000,15.1,65,1019,4.8,9,59,Clouds,scattered clouds
1725246000000,13.9,71,1009,4.2,43,58,Clouds,scattered clouds
1725249600000,17.1,71,1009,4,87,45,Clouds,scattered clouds
1725253200000,16.6,63,1018,4.3,188,43,Clouds,scattered clouds
1725256800000,17.6,72,1011,6,132,50,Clouds,scattered clouds
1725260400000,16.5,68,1016,6,348,65,Clouds,scattered clouds
1725264000000,16.9,67,1015,4.6,44,44,Clouds,scattered clouds
1725267600000,17.3,68,1018,5.3,258,42,Clouds,scattered clouds
1725271200000,14.3,70,1007,4.5,308,64,Clouds,scattered clouds
1725274800000,14.2,78,1015,5,247,56,Clouds,scattered clouds
1725278400000,13.2,75,1015,4.5,312,57,Clouds,scattered clouds
1725282000000,12.3,77,1009,3.7,61,54,Clouds,scattered clouds
1725285600000,10.9,71,1015,4.6,45,53,Clouds,scattered clouds
1725289200000,8.6,83,1009,4.4,254,74,Clouds,scattered clouds
1725292800000,8.6,82,1009,3.8,14,62,Clouds,scattered clouds
1725296400000,7.2,81,1018,3.3,101,71,Clouds,scattered clouds
1725300000000,7.1,75,1010,1.7,134,53,Clouds,scattered clouds
1725303600000,5.4,84,1017,3.4,38,55,Clouds,scattered clouds
1725307200000,4.1,78,1019,4.4,9,69,Clouds,scattered clouds
1725310800000,4.9,88,1009,4.9,310,82,Clouds,overcast clouds
1725314400000,3,84,1016,5,141,63,Clouds,scattered clouds
1725318000000,5.9,76,1018,4,188,54,Clouds,scattered clouds
1725321600000,6.7,81,1008,5.8,107,57,Clouds,scattered clouds
1725325200000,4.6,82,1016,5.9,348,76,Clouds,overcast clouds
1725328800000,5.3,80,1018,4.9,168,60,Clouds,scattered clouds
1725332400000,8.5,81,1014,6.2,337,55,Clouds,scattered clouds
1725336000000,8,77,1007,4.6,308,70,Clouds,scattered clouds
1725339600000,7.6,86,1015,5.2,247,62,Clouds,scattered clouds
1725343200000,8.5,78,1009,5.1,43,63,Clouds,scattered clouds
1725346800000,7.1,83,1009,4.3,87,54,Clouds,scattered clouds
1725350400000,8.7,73,1018,4,188,51,Clouds,scattered clouds
1725354000000,8,74,1008,3.9,17,48,Clouds,scattered clouds
1725357600000,7.4,83,1009,4.2,14,63,Clouds,scattered clouds
1725361200000,6.4,79,1015,2.5,44,54,Clouds,scattered clouds
1725364800000,4.8,83,1018,2.7,258,54,Clouds,scattered clouds
1725368400000,3.2,90,1017,2.2,168,68,Rain,light rain
1725372000000,2.2,83,1012,2.8,260,56,Clouds,scattered clouds
1725375600000,1.9,89,1015,3,312,67,Snow,light snow showers
1725379200000,0.7,90,1016,4.9,29,80,Snow,light snow showers
1725382800000,-1.7,86,1015,4.7,45,65,Clouds,scattered clouds
1725386400000,-1.4,95,1009,5.2,254,83,Snow,light snow showers
1725390000000,-3.5,93,1014,5.9,133,71,Snow,light snow showers
1725393600000,-4.7,95,1018,5.6,101,82,Snow,light snow showers
1725397200000,-3.3,93,1007,5.4,354,82,Snow,light snow showers
1725400800000,-5.1,97,1017,5.8,38,65,Snow,light snow showers
1725404400000,-3.8,88,1019,6.4,9,77,Clouds,overcast clouds
1725408000000,-2.9,92,1009,5.2,43,74,Snow,light snow showers
1725411600000,-1.5,90,1016,5.8,141,67,Snow,light snow showers
