ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.1,69,1011,4.1,110,50,Clouds,scattered clouds
1725152400000,19.5,61,1007,3.9,55,52,Clouds,scattered clouds
1725156000000,20.7,60,1010,4.5,107,50,Clouds,scattered clouds
1725159600000,21.4,62,1016,3.2,72,56,Clouds,scattered clouds
1725163200000,22.2,61,1008,2.8,118,40,Clouds,scattered clouds
1725166800000,22.8,63,1014,2.5,299,61,Clouds,scattered clouds
1725170400000,23.6,61,1015,3,38,50,Clouds,scattered clouds
1725174000000,25.3,65,1011,4.5,9,46,Clouds,scattered clouds
1725177600000,26,62,1014,3.4,118,57,Clouds,scattered clouds
1725181200000,25.3,57,1008,4.1,141,43,Clouds,scattered clouds
1725184800000,22.8,63,1015,4.9,81,45,Clouds,scattered clouds
1725188400000,21.5,67,1016,5.6,132,61,Clouds,scattered clouds
1725192000000,20,61,1017,5.6,348,52,Clouds,scattered clouds
1725195600000,20.7,63,1016,4.6,168,56,Clouds,scattered clouds
1725199200000,17.5,63,1014,4.9,258,59,Clouds,scattered clouds
1725202800000,17.5,67,1017,5.2,262,46,Clouds,scattered clouds
1725206400000,17.2,66,1010,5.9,95,56,Clouds,scattered clouds
1725210000000,14.2,70,1014,5.2,6,65,Clouds,scattered clouds
1725213600000,15.8,69,1015,4.6,235,65,Clouds,scattered clouds
1725217200000,14,67,1007,4.3,55,58,Clouds,scattered clouds
1725220800000,14.3,75,1017,3,256,58,Clouds,scattered clouds
1725224400000,12.9,76,1010,3.3,303,71,Clouds,scattered clouds
1725228000000,13.6,72,1008,3.2,118,48,Clouds,scattered clouds
1725231600000,14.7,72,1011,2.6,155,52,Clouds,scattered clouds
1725235200000,13,74,1015,2.6,38,61,Clouds,scattered clouds
1725238800000,14.5,70,1017,3.2,337,54,Clouds,scattered clouds
1725242400000,15.4,75,1016,3.5,310,59,Clouds,scattered clouds
1725246000000,16.5,67,1008,3.8,141,52,Clouds,scattered clouds
1725249600000,17.2,70,1015,4.6,81,50,Clouds,scattered clouds
1725253200000,16.8,64,1010,5.9,107,53,Clouds,scattered clouds
1725256800000,18.4,66,1016,5.3,72,59,Clouds,scattered clouds
1725260400000,18.2,66,1008,5.5,118,43,Clouds,scattered clouds
1725264000000,19,62,1018,5.4,337,58,Clouds,scattered clouds
1725267600000,17.6,67,1016,4.9,316,54,Clouds,scattered clouds
1725271200000,16,76,1011,6,9,54,Clouds,scattered clouds
1725274800000,16.1,74,1014,4.4,118,67,Clouds,scattered clouds
1725278400000,13.1,76,1012,4.2,87,61,Clouds,scattered clouds
1725282000000,14.4,71,1009,4,188,54,Clouds,scattered clouds
1725285600000,13.4,77,1016,4.8,132,69,Clouds,scattered clouds
1725289200000,9.3,73,1010,3.7,14,62,Clouds,scattered clouds
1725292800000,8,78,1016,2.6,168,68,Clouds,scattered clouds
1725296400000,9.4,73,1014,2.3,258,67,Clouds,scattered clouds
1725300000000,7.3,85,1015,2.6,109,64,Clouds,scattered clouds
1725303600000,5.7,80,1010,3.7,95,67,Clouds,scattered clouds
1725307200000,5.8,87,1016,3.1,310,69,Clouds,scattered clouds
1725310800000,4.2,83,1015,3.8,235,77,Clouds,overcast clouds
1725314400000,6.1,77,1007,4.2,55,65,Clouds,scattered clouds
1725318000000,6.2,77,1010,5.6,107,63,Clouds,scattered clouds
1725321600000,6.8,83,1010,4.8,303,77,Clouds,overcast clouds
1725325200000,7.4,79,1008,5.4,118,54,Clouds,scattered clouds
1725328800000,7.7,82,1014,5,299,75,Clouds,scattered clouds
1725332400000,8.1,80,1015,5.2,38,65,Clouds,scattered clouds
1725336000000,9.2,84,1011,6.1,9,61,Clouds,scattered clouds
1725339600000,10.8,80,1014,4.6,118,72,Clouds,scattered clouds
1725343200000,11.2,74,1008,4.7,141,57,Clouds,scattered clouds
1725346800000,10,78,1015,4.9,81,57,Clouds,scattered clouds
1725350400000,11.1,71,1010,5.5,107,59,Clouds,scattered clouds
1725354000000,9.3,74,1017,4.5,348,62,Clouds,scattered clouds
1725357600000,7.9,78,1016,3,168,68,Clouds,scattered clouds
1725361200000,8.6,75,1018,3.3,337,68,Clouds,scattered clouds
1725364800000,5.6,82,1016,2.3,316,65,Clouds,scattered clouds
1725368400000,5.3,83,1015,2.1,247,60,Clouds,scattered clouds
1725372000000,4.4,82,1010,2.9,43,66,Clouds,scattered clouds
1725375600000,3.8,87,1012,2.7,87,70,Clouds,scattered clouds
1725379200000,2.3,83,1019,3.9,45,68,Clouds,scattered clouds
1725382800000,-0.5,94,1016,4.9,132,82,Snow,light snow showers
1725386400000,-1.8,87,1010,4.5,14,73,Clouds,scattered clouds
1725390000000,-1.5,89,1018,4.4,44,77,Snow,light snow showers
1725393600000,-1,85,1014,4.7,258,77,Clouds,overcast clouds
1725397200000,-1.8,96,1017,6.3,168,75,Snow,light snow showers
1725400800000,-2.5,90,1010,6.1,95,74,Snow,light snow showers
1725404400000,-2.1,96,1016,5.1,310,76,Snow,light snow showers
1725408000000,-2.8,91,1008,4.8,141,70,Snow,light snow showers
1725411600000,0.3,84,1007,5.1,55,71,Clouds,scattered clouds
1725415200000,-0.2,85,1010,5.8,107,70,Clouds,scattered clouds
1725418800000,1.2,86,1016,4.7,72,76,Clouds,overcast clouds
1725422400000,0.6,87,1008,4.4,118,60,Clouds,scattered clouds
1725426000000,1.6,83,1018,3.7,337,74,Clouds,scattered clouds
1725429600000,0.5,88,1016,2.7,316,70,Clouds,scattered clouds
1725433200000,2.8,92,1011,3.5,9,67,Rain,light rain
1725436800000,0.6,92,1014,1.8,118,82,Snow,light snow showers
1725440400000,0.4,87,1008,2.6,141,67,Clouds,scattered clouds
1725444000000,-0.1,89,1009,2.9,188,67,Snow,light snow showers
1725447600000,-1.2,95,1016,4.5,132,83,Snow,light snow showers
1725451200000,-3.3,89,1017,4.8,348,74,Snow,light snow showers
1725454800000,-3.4,92,1016,4,168,79,Snow,light snow showers
1725458400000,-5.1,90,1014,4.5,258,81,Snow,light snow showers
1725462000000,-7.5,95,1011,4.8,308,85,Snow,light snow showers
1725465600000,-8.9,97,1015,5,247,72,Snow,light snow showers
1725469200000,-10.7,97,1014,4.6,312,83,Snow,light snow showers
1725472800000,-9.3,97,1012,4.6,87,78,Snow,light snow showers
1725476400000,-11.1,97,1019,5.2,45,80,Snow,light snow showers
1725480000000,-12,97,1013,4.7,17,76,Snow,light snow showers
1725483600000,-12,97,1010,4.6,14,81,Snow,light snow showers
1725487200000,-11.4,97,1015,3.9,101,79,Snow,light snow showers
1725490800000,-12,97,1014,3.5,258,87,Snow,light snow showers
1725494400000,-11.5,97,1017,4.5,168,76,Snow,light snow showers
1725498000000,-10.1,95,1010,4.1,119,75,Snow,light snow showers
1725501600000,-11.6,97,1016,2.4,310,77,Snow,light snow showers
1725505200000,-8.5,97,1008,2.2,141,75,Snow,light snow showers
1725508800000,-9.1,97,1015,3.2,81,72,Snow,light snow showers
1725512400000,-7.9,94,1010,4.6,107,77,Snow,light snow showers
