ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.8,68,1012,4.7,0,64,Clouds,scattered clouds
1725152400000,18.6,65,1013,4,26,60,Clouds,scattered clouds
1725156000000,20.4,69,1009,4,222,55,Clouds,scattered clouds
1725159600000,20.3,64,1015,3.9,347,56,Clouds,scattered clouds
1725163200000,22.6,63,1016,1.9,120,58,Clouds,scattered clouds
1725166800000,24.6,64,1013,2.4,136,61,Clouds,scattered clouds
1725170400000,24.4,62,1012,3.6,334,55,Clouds,scattered clouds
1725174000000,23.6,63,1012,3.7,145,59,Clouds,scattered clouds
1725177600000,24.1,61,1009,4.6,128,54,Clouds,scattered clouds
1725181200000,24,62,1014,3.9,345,44,Clouds,scattered clouds
1725184800000,21.8,68,1018,4.2,315,48,Clouds,scattered clouds
1725188400000,21.8,67,1010,5.9,306,48,Clouds,scattered clouds
1725192000000,19.5,61,1014,6,145,51,Clouds,scattered clouds
1725195600000,18.3,70,1009,4.7,274,63,Clouds,scattered clouds
1725199200000,18.6,71,1014,5.3,91,57,Clouds,scattered clouds
1725202800000,17.3,64,1018,6,169,51,Clouds,scattered clouds
1725206400000,15,69,1015,5.3,349,65,Clouds,scattered clouds
1725210000000,15.2,66,1018,5.4,290,54,Clouds,scattered clouds
1725213600000,13.5,69,1014,4.8,226,53,Clouds,scattered clouds
1725217200000,14.2,70,1013,4.4,26,64,Clouds,scattered clouds
1725220800000,11.8,77,1013,4.8,122,56,Clouds,scattered clouds
1725224400000,13.1,67,1017,3.8,87,49,Clouds,scattered clouds
1725228000000,12.9,75,1016,2.3,120,67,Clouds,scattered clouds
1725231600000,13.1,69,1011,1.7,83,62,Clouds,scattered clouds
1725235200000,12.3,77,1012,3.2,334,67,Clouds,scattered clouds
1725238800000,14.8,66,1007,3,159,45,Clouds,scattered clouds
1725242400000,16.2,68,1008,4.4,120,54,Clouds,scattered clouds
1725246000000,16.4,71,1014,3.6,345,51,Clouds,scattered clouds
1725249600000,15.7,76,1018,3.9,315,54,Clouds,scattered clouds
