ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,16.8,64,1019,4.9,323,53,Clouds,scattered clouds
1725152400000,16.5,72,1012,3.7,82,65,Clouds,scattered clouds
1725156000000,18.3,71,1009,4.3,333,50,Clouds,scattered clouds
1725159600000,18.4,62,1012,2.8,320,42,Clouds,scattered clouds
1725163200000,21.9,59,1013,3.3,294,51,Clouds,scattered clouds
1725166800000,22.9,56,1016,2.9,86,41,Clouds,scattered clouds
1725170400000,23,61,1014,3.3,184,59,Clouds,scattered clouds
1725174000000,22.9,59,1012,4.5,169,38,Clouds,scattered clouds
1725177600000,23.7,58,1010,4,308,45,Clouds,scattered clouds
1725181200000,23.6,60,1010,5.2,111,42,Clouds,scattered clouds
1725184800000,22.6,66,1008,4.8,255,61,Clouds,scattered clouds
1725188400000,20.2,60,1007,4.9,347,48,Clouds,scattered clouds
1725192000000,20.5,62,1015,4.8,122,50,Clouds,scattered clouds
1725195600000,18.4,66,1014,6.2,258,45,Clouds,scattered clouds
1725199200000,16.2,72,1018,5.5,261,48,Clouds,scattered clouds
1725202800000,15.7,70,1008,4.5,186,48,Clouds,scattered clouds
1725206400000,15.1,74,1013,4.8,46,53,Clouds,scattered clouds
1725210000000,12.7,71,1019,6,303,46,Clouds,scattered clouds
1725213600000,12.9,73,1012,4.7,128,51,Clouds,scattered clouds
1725217200000,13.4,75,1012,4.1,82,68,Clouds,scattered clouds
1725220800000,12.7,75,1013,4.7,156,55,Clouds,scattered clouds
1725224400000,12.5,70,1015,2.7,122,66,Clouds,scattered clouds
1725228000000,12.3,71,1013,3.7,294,61,Clouds,scattered clouds
1725231600000,11.4,77,1016,3,317,72,Clouds,scattered clouds
1725235200000,13.3,72,1014,2.9,184,68,Clouds,scattered clouds
1725238800000,13.2,75,1012,4.2,135,66,Clouds,scattered clouds
1725242400000,15.5,66,1011,4.9,164,45,Clouds,scattered clouds
1725246000000,14.3,72,1010,4.9,111,51,Clouds,scattered clouds
1725249600000,16.5,74,1008,4.6,255,67,Clouds,scattered clouds
1725253200000,15.3,74,1009,5.7,333,53,Clouds,scattered clouds
1725256800000,16.2,65,1012,4.9,320,44,Clouds,scattered clouds
1725260400000,15.8,66,1013,6.1,294,57,Clouds,scattered clouds
1725264000000,17.2,68,1012,5,73,59,Clouds,scattered clouds
1725267600000,17.2,70,1012,4.7,252,51,Clouds,scattered clouds
1725271200000,15.9,67,1012,6.1,169,45,Clouds,scattered clouds
1725274800000,13.6,70,1010,5,308,55,Clouds,scattered clouds
1725278400000,12.2,73,1015,4.5,247,51,Clouds,scattered clouds
1725282000000,12.7,73,1008,5.5,226,68,Clouds,scattered clouds
1725285600000,11.9,70,1007,4,347,56,Clouds,scattered clouds
1725289200000,8.3,77,1017,4.6,213,54,Clouds,scattered clouds
1725292800000,8.1,78,1014,4.2,258,55,Clouds,scattered clouds
1725296400000,7.4,83,1018,3,261,56,Clouds,scattered clouds
1725300000000,5.6,79,1018,2.3,88,57,Clouds,scattered clouds
1725303600000,4.2,87,1013,2.6,46,63,Clouds,scattered clouds
1725307200000,5.7,78,1011,4.5,164,55,Clouds,scattered clouds
1725310800000,4.8,83,1012,3.9,128,59,Clouds,scattered clouds
1725314400000,5.2,85,1012,4,82,76,Clouds,overcast clouds
1725318000000,6.1,85,1009,5.4,333,62,Clouds,scattered clouds
1725321600000,5,79,1015,4.2,122,73,Clouds,scattered clouds
1725325200000,4.9,79,1013,6,294,68,Clouds,scattered clouds
1725328800000,6.5,76,1016,5.5,86,57,Clouds,scattered clouds
1725332400000,8.7,78,1014,5.4,184,72,Clouds,scattered clouds
1725336000000,7.6,77,1012,6.2,169,53,Clouds,scattered clouds
1725339600000,7,78,1010,5.1,308,61,Clouds,scattered clouds
1725343200000,9,78,1010,5.8,111,56,Clouds,scattered clouds
1725346800000,7.5,84,1008,4.8,255,75,Clouds,scattered clouds
1725350400000,8.1,83,1009,5.4,333,60,Clouds,scattered clouds
1725354000000,8.7,76,1015,3.7,122,61,Clouds,scattered clouds
1725357600000,6.9,80,1014,4.6,258,56,Clouds,scattered clouds
1725361200000,7.1,80,1012,2.9,73,69,Clouds,scattered clouds
1725364800000,4.4,85,1012,2.2,252,64,Clouds,scattered clouds
1725368400000,2.4,85,1009,2.5,325,75,Clouds,scattered clouds
1725372000000,1.8,90,1016,3.2,349,79,Snow,light snow showers
1725375600000,1.3,86,1015,3,247,62,Clouds,scattered clouds
1725379200000,0.2,94,1013,4.9,0,79,Snow,light snow showers
1725382800000,-1.2,86,1007,4.1,347,69,Clouds,scattered clouds
1725386400000,-3.5,91,1017,5.4,213,65,Snow,light snow showers
1725390000000,-5,92,1014,4.9,87,62,Snow,light snow showers
1725393600000,-5.4,97,1018,5.3,261,67,Snow,light snow showers
1725397200000,-3.8,96,1015,5.4,136,73,Snow,light snow showers
1725400800000,-5.5,97,1013,5.1,46,71,Snow,light snow showers
1725404400000,-5.4,91,1011,6.4,164,65,Snow,light snow showers
1725408000000,-5.5,95,1010,5.9,111,70,Snow,light snow showers
1725411600000,-3.8,96,1012,4.9,82,84,Snow,light snow showers
1725415200000,-1.9,95,1009,5.6,333,70,Snow,light snow showers
1725418800000,-1.6,86,1012,4.3,320,61,Clouds,scattered clouds
1725422400000,-1.1,87,1013,4.9,294,73,Clouds,scattered clouds
1725426000000,-1.7,91,1012,3.3,73,77,Snow,light snow showers
1725429600000,-0.1,91,1012,2.6,252,68,Snow,light snow showers
1725433200000,-1.2,88,1012,3.5,169,62,Clouds,scattered clouds
1725436800000,-2.1,89,1010,2.4,308,70,Snow,light snow showers
1725440400000,-1.2,90,1010,3.7,111,66,Snow,light snow showers
1725444000000,-3.6,92,1008,4.4,226,84,Snow,light snow showers
1725447600000,-3.1,88,1007,3.8,347,71,Snow,light snow showers
1725451200000,-6.1,94,1015,3.9,122,75,Snow,light snow showers
1725454800000,-6.9,96,1014,5.6,258,69,Snow,light snow showers
1725458400000,-8.8,97,1018,5.1,261,67,Snow,light snow showers
1725462000000,-9.1,97,1010,6,83,88,Snow,light snow showers
1725465600000,-9.5,97,1009,5.4,325,84,Snow,light snow showers
1725469200000,-11.1,97,1014,5.1,159,84,Snow,light snow showers
1725472800000,-12,97,1015,4.9,247,70,Snow,light snow showers
1725476400000,-12,97,1013,6.2,0,81,Snow,light snow showers
1725480000000,-12,97,1010,4.2,26,84,Snow,light snow showers
1725483600000,-12,97,1017,5.5,213,70,Snow,light snow showers
1725487200000,-12,97,1011,4,347,80,Snow,light snow showers
1725490800000,-12,97,1018,4.2,261,67,Snow,light snow showers
1725494400000,-12,97,1015,3.7,136,74,Snow,light snow showers
1725498000000,-12,97,1008,4.2,287,71,Snow,light snow showers
1725501600000,-12,97,1011,3.7,164,70,Snow,light snow showers
1725505200000,-10.9,97,1010,3.3,111,71,Snow,light snow showers
1725508800000,-9,97,1008,3.1,255,85,Snow,light snow showers
1725512400000,-8.8,97,1009,4.4,333,71,Snow,light snow showers
1725516000000,-8.8,97,1015,3.6,122,78,Snow,light snow showers
1725519600000,-8.8,97,1014,5.3,258,70,Snow,light snow showers
1725523200000,-10.3,97,1012,4.4,73,82,Snow,light snow showers
1725526800000,-9.5,97,1012,4.4,252,73,Snow,light snow showers
1725530400000,-11.1,97,1012,6,169,69,Snow,light snow showers
