ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.8,67,1012,3.6,0,60,Clouds,scattered clouds
1725152400000,18.6,67,1014,4.5,287,45,Clouds,scattered clouds
1725156000000,19.6,71,1008,3.6,309,65,Clouds,scattered clouds
1725159600000,22,65,1016,3.2,48,47,Clouds,scattered clouds
1725163200000,22.5,64,1014,2,25,61,Clouds,scattered clouds
1725166800000,24.9,60,1014,3.8,15,49,Clouds,scattered clouds
1725170400000,24.3,64,1017,3.1,306,47,Clouds,scattered clouds
1725174000000,23.9,60,1019,3.6,84,37,Clouds,scattered clouds
1725177600000,25.7,54,1014,5,343,48,Clouds,scattered clouds
1725181200000,25.5,53,1016,5.3,91,34,Clouds,scattered clouds
1725184800000,22.7,57,1017,5.4,294,54,Clouds,scattered clouds
1725188400000,22.9,63,1011,5.5,70,55,Clouds,scattered clouds
1725192000000,20.5,68,1016,4.7,210,45,Clouds,scattered clouds
1725195600000,18.7,62,1018,4.5,101,56,Clouds,scattered clouds
1725199200000,17.6,65,1018,5.3,15,51,Clouds,scattered clouds
1725202800000,18.3,62,1012,4.6,213,54,Clouds,scattered clouds
1725206400000,15.5,67,1012,4.9,347,45,Clouds,scattered clouds
1725210000000,14.4,77,1008,4.5,120,61,Clouds,scattered clouds
1725213600000,15.1,67,1014,5.2,136,62,Clouds,scattered clouds
1725217200000,12.6,74,1014,4.8,287,51,Clouds,scattered clouds
1725220800000,12,74,1009,3.9,159,59,Clouds,scattered clouds
1725224400000,13.6,78,1014,3.1,128,72,Clouds,scattered clouds
1725228000000,13.5,74,1014,2.4,25,69,Clouds,scattered clouds
1725231600000,13,79,1011,3.4,315,72,Clouds,scattered clouds
1725235200000,14.9,75,1017,2.7,306,56,Clouds,scattered clouds
1725238800000,14.5,67,1016,3.9,15,62,Clouds,scattered clouds
1725242400000,14.6,74,1009,3.8,274,51,Clouds,scattered clouds
1725246000000,16.8,63,1016,5,91,42,Clouds,scattered clouds
1725249600000,17.3,64,1017,5.1,294,59,Clouds,scattered clouds
1725253200000,18.8,72,1008,4.9,309,66,Clouds,scattered clouds
1725256800000,17.7,70,1016,5.3,48,51,Clouds,scattered clouds
1725260400000,17.5,69,1014,4.8,25,65,Clouds,scattered clouds
1725264000000,16.7,64,1014,5.3,354,54,Clouds,scattered clouds
1725267600000,17.7,73,1010,4.9,305,62,Clouds,scattered clouds
1725271200000,18,68,1019,5.2,84,42,Clouds,scattered clouds
1725274800000,16.7,65,1014,6,343,57,Clouds,scattered clouds
1725278400000,15.5,65,1009,4.1,336,58,Clouds,scattered clouds
1725282000000,13.5,75,1018,4,34,69,Clouds,scattered clouds
1725285600000,11.9,76,1011,4.7,70,66,Clouds,scattered clouds
1725289200000,12,77,1009,3.4,63,49,Clouds,scattered clouds
1725292800000,9.8,73,1018,2.5,101,65,Clouds,scattered clouds
1725296400000,8,76,1018,2.8,15,60,Clouds,scattered clouds
1725300000000,8.1,74,1012,2.8,222,62,Clouds,scattered clouds
1725303600000,6.8,77,1012,2.6,347,54,Clouds,scattered clouds
1725307200000,5.4,85,1009,3.4,274,60,Clouds,scattered clouds
1725310800000,6.3,77,1014,4.4,136,71,Clouds,scattered clouds
1725314400000,6,82,1014,4.8,287,57,Clouds,scattered clouds
1725318000000,7.9,85,1008,4.7,309,76,Clouds,overcast clouds
