ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.4,67,1015,3.6,87,58,Clouds,scattered clouds
1725152400000,19.4,64,1008,4.6,122,63,Clouds,scattered clouds
1725156000000,19.7,60,1011,3.5,5,44,Clouds,scattered clouds
1725159600000,22.1,68,1015,2.3,232,66,Clouds,scattered clouds
1725163200000,22.7,67,1016,3.5,246,51,Clouds,scattered clouds
1725166800000,24.6,63,1016,3.7,111,60,Clouds,scattered clouds
1725170400000,25.8,64,1011,2.4,13,47,Clouds,scattered clouds
1725174000000,24.5,59,1012,4.1,85,57,Clouds,scattered clouds
1725177600000,25.2,60,1016,5.2,265,42,Clouds,scattered clouds
1725181200000,25.7,58,1019,4.6,163,35,Clouds,scattered clouds
1725184800000,24.9,56,1011,5,95,56,Clouds,scattered clouds
1725188400000,24.2,65,1010,5.4,201,45,Clouds,scattered clouds
1725192000000,22.6,65,1017,4.8,120,48,Clouds,scattered clouds
1725195600000,19.5,62,1018,6.2,153,43,Clouds,scattered clouds
1725199200000,19.4,69,1019,5.2,175,43,Clouds,scattered clouds
1725202800000,17.5,68,1015,5.1,30,51,Clouds,scattered clouds
1725206400000,16.6,65,1018,4.4,289,63,Clouds,scattered clouds
1725210000000,15.3,76,1015,5.5,268,50,Clouds,scattered clouds
1725213600000,14.4,69,1012,3.8,115,49,Clouds,scattered clouds
1725217200000,14.1,70,1008,4.9,122,68,Clouds,scattered clouds
1725220800000,13.2,70,1017,3.7,168,49,Clouds,scattered clouds
1725224400000,13.3,69,1014,2.9,106,46,Clouds,scattered clouds
1725228000000,13.1,78,1016,4,246,60,Clouds,scattered clouds
1725231600000,12.9,76,1017,2.7,171,60,Clouds,scattered clouds
1725235200000,14.8,77,1011,1.9,13,58,Clouds,scattered clouds
1725238800000,14.7,66,1014,4.1,175,49,Clouds,scattered clouds
1725242400000,16.7,64,1017,3.4,142,63,Clouds,scattered clouds
1725246000000,17.7,68,1019,4.3,163,43,Clouds,scattered clouds
1725249600000,16.6,66,1011,4.7,95,64,Clouds,scattered clouds
1725253200000,16.2,64,1011,4.9,5,48,Clouds,scattered clouds
1725256800000,18,73,1015,4.4,232,70,Clouds,scattered clouds
1725260400000,18.9,71,1016,6.3,246,54,Clouds,scattered clouds
1725264000000,18,65,1016,4.8,138,50,Clouds,scattered clouds
1725267600000,16.8,74,1014,6.4,150,59,Clouds,scattered clouds
1725271200000,15.9,69,1012,5.7,85,65,Clouds,scattered clouds
1725274800000,14.8,72,1016,6.2,265,52,Clouds,scattered clouds
1725278400000,15.4,65,1011,5.5,55,53,Clouds,scattered clouds
1725282000000,13.9,66,1008,5.7,68,54,Clouds,scattered clouds
1725285600000,10.8,81,1010,4.5,201,58,Clouds,scattered clouds
1725289200000,11.5,73,1009,3.1,185,68,Clouds,scattered clouds
1725292800000,9,75,1018,4.2,153,54,Clouds,scattered clouds
1725296400000,6.6,85,1019,2.7,175,55,Clouds,scattered clouds
1725300000000,7.9,84,1012,1.8,103,56,Clouds,scattered clouds
1725303600000,6.3,78,1018,2.1,289,73,Clouds,scattered clouds
1725307200000,4.7,78,1017,3,142,75,Clouds,scattered clouds
1725310800000,6.4,79,1012,3,115,57,Clouds,scattered clouds
1725314400000,5.2,81,1008,4.9,122,77,Clouds,overcast clouds
1725318000000,6.3,76,1011,4.6,5,57,Clouds,scattered clouds
1725321600000,5.9,78,1014,4.4,106,53,Clouds,scattered clouds
1725325200000,5.6,87,1016,6.2,246,67,Clouds,scattered clouds
1725328800000,6.7,84,1016,6.3,111,77,Clouds,overcast clouds
1725332400000,8.2,85,1011,4.5,13,64,Clouds,scattered clouds
1725336000000,7.4,79,1012,5.7,85,73,Clouds,scattered clouds
1725339600000,9.8,78,1016,6.3,265,56,Clouds,scattered clouds
1725343200000,10.4,77,1019,5.2,163,50,Clouds,scattered clouds
1725346800000,10.7,73,1011,5,95,70,Clouds,scattered clouds
1725350400000,9.1,72,1011,4.5,5,54,Clouds,scattered clouds
1725354000000,8.1,82,1017,3.7,120,62,Clouds,scattered clouds
1725357600000,8.6,75,1018,4.6,153,54,Clouds,scattered clouds
1725361200000,5.7,80,1016,2.7,138,61,Clouds,scattered clouds
1725364800000,4.4,89,1014,3.8,150,70,Clouds,scattered clouds
1725368400000,4.1,82,1011,2.3,345,66,Clouds,scattered clouds
1725372000000,1.9,81,1014,4,315,67,Clouds,scattered clouds
1725375600000,1.4,82,1011,4.1,55,66,Clouds,scattered clouds
1725379200000,1,84,1016,3.7,199,66,Clouds,scattered clouds
1725382800000,-0.1,94,1010,4.6,201,69,Snow,light snow showers
1725386400000,-0.8,88,1009,4,185,80,Clouds,overcast clouds
1725390000000,-3,90,1016,5.8,317,73,Snow,light snow showers
1725393600000,-3,96,1019,5,175,65,Snow,light snow showers
1725397200000,-4.8,96,1016,5.2,329,71,Snow,light snow showers
1725400800000,-4.8,91,1018,4.6,289,84,Snow,light snow showers
1725404400000,-3.8,89,1017,5,142,83,Snow,light snow showers
1725408000000,-4,94,1019,5.4,163,64,Snow,light snow showers
1725411600000,-3.4,91,1008,5.7,122,85,Snow,light snow showers
1725415200000,-2.3,86,1011,4.8,5,65,Clouds,scattered clouds
1725418800000,-2.1,97,1015,3.8,232,89,Snow,light snow showers
1725422400000,-1.3,95,1016,5.1,246,74,Snow,light snow showers
1725426000000,-1.5,89,1016,3.1,138,68,Snow,light snow showers
1725429600000,-1.7,97,1014,4.2,150,76,Snow,light snow showers
1725433200000,-0.9,89,1012,3.1,85,81,Snow,light snow showers
1725436800000,0.3,90,1016,3.6,265,65,Snow,light snow showers
1725440400000,-1.9,91,1019,3.2,163,62,Snow,light snow showers
1725444000000,-1.3,85,1008,4.6,68,68,Clouds,scattered clouds
1725447600000,-4,97,1010,4.3,201,71,Snow,light snow showers
1725451200000,-6.2,97,1017,3.9,120,74,Snow,light snow showers
1725454800000,-6.2,93,1018,5.5,153,68,Snow,light snow showers
1725458400000,-6.8,97,1019,4.8,175,65,Snow,light snow showers
1725462000000,-10,97,1008,6.3,340,85,Snow,light snow showers
1725465600000,-10.5,97,1011,5.2,345,78,Snow,light snow showers
1725469200000,-10.5,97,1009,4.7,67,84,Snow,light snow showers
1725472800000,-12,97,1011,6,55,79,Snow,light snow showers
1725476400000,-12,97,1016,5,199,76,Snow,light snow showers
1725480000000,-12,97,1011,4.9,153,72,Snow,light snow showers
1725483600000,-12,97,1009,4.1,185,87,Snow,light snow showers
1725487200000,-12,97,1012,5,286,89,Snow,light snow showers
1725490800000,-12,97,1019,3.8,175,65,Snow,light snow showers
1725494400000,-12,97,1016,3.5,329,72,Snow,light snow showers
1725498000000,-12,97,1016,2.6,114,79,Snow,light snow showers
1725501600000,-12,97,1017,2.2,142,90,Snow,light snow showers
1725505200000,-11.7,97,1019,2.7,163,66,Snow,light snow showers
1725508800000,-10.5,97,1011,3.3,95,89,Snow,light snow showers
1725512400000,-10.5,96,1011,3.6,5,73,Snow,light snow showers
1725516000000,-8.7,97,1017,3.6,120,74,Snow,light snow showers
1725519600000,-10.2,97,1018,5.3,153,71,Snow,light snow showers
1725523200000,-10.9,97,1016,4.1,138,75,Snow,light snow showers
1725526800000,-10,97,1014,6.1,150,77,Snow,light snow showers
1725530400000,-11.6,97,1012,5.6,85,88,Snow,light snow showers
1725534000000,-11.6,97,1014,6.3,315,79,Snow,light snow showers
1725537600000,-12,97,1011,6,55,79,Snow,light snow showers
1725541200000,-12,97,1008,6.4,68,78,Snow,light snow showers
1725544800000,-12,97,1010,5.5,201,71,Snow,light snow showers
