ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.6,66,1018,4.5,26,58,Clouds,scattered clouds
1725152400000,19.3,60,1014,3.9,281,41,Clouds,scattered clouds
1725156000000,19.2,69,1018,3.4,273,55,Clouds,scattered clouds
1725159600000,22,64,1013,2.4,344,57,Clouds,scattered clouds
1725163200000,21.9,62,1009,2.8,273,60,Clouds,scattered clouds
1725166800000,23.5,62,1011,3.7,272,54,Clouds,scattered clouds
1725170400000,25.4,65,1015,2.8,196,63,Clouds,scattered clouds
1725174000000,24.7,54,1013,4,163,49,Clouds,scattered clouds
1725177600000,26,64,1010,3.6,80,39,Clouds,scattered clouds
1725181200000,24.1,59,1017,4.4,265,38,Clouds,scattered clouds
1725184800000,22.6,66,1017,4.3,54,51,Clouds,scattered clouds
1725188400000,23.3,57,1012,5.8,58,46,Clouds,scattered clouds
1725192000000,21.8,62,1015,4.7,205,58,Clouds,scattered clouds
1725195600000,21,61,1017,5.3,201,58,Clouds,scattered clouds
1725199200000,19.6,64,1012,6.2,90,41,Clouds,scattered clouds
1725202800000,17.3,63,1019,5.4,145,52,Clouds,scattered clouds
1725206400000,15.4,69,1008,6,126,52,Clouds,scattered clouds
1725210000000,14.5,72,1009,5.4,11,51,Clouds,scattered clouds
1725213600000,15.5,70,1012,4.4,143,62,Clouds,scattered clouds
1725217200000,13.1,68,1014,4.3,281,47,Clouds,scattered clouds
1725220800000,12.6,78,1016,4.4,264,71,Clouds,scattered clouds
1725224400000,14,72,1012,2.8,195,56,Clouds,scattered clouds
1725228000000,13.3,72,1009,3.2,273,68,Clouds,scattered clouds
1725231600000,14.9,71,1010,2.6,309,46,Clouds,scattered clouds
1725235200000,15.1,77,1015,2.3,196,72,Clouds,scattered clouds
1725238800000,15.8,74,1014,3.7,259,52,Clouds,scattered clouds
1725242400000,15.6,71,1007,4.4,249,52,Clouds,scattered clouds
1725246000000,17.7,66,1017,4,265,44,Clouds,scattered clouds
1725249600000,17.3,73,1017,4,54,56,Clouds,scattered clouds
1725253200000,17.2,71,1018,4.8,273,56,Clouds,scattered clouds
1725256800000,19,68,1013,4.5,344,59,Clouds,scattered clouds
1725260400000,19,65,1009,5.6,273,62,Clouds,scattered clouds
1725264000000,19.1,63,1014,5.6,240,44,Clouds,scattered clouds
1725267600000,17,68,1009,4.9,57,46,Clouds,scattered clouds
1725271200000,16.7,64,1013,5.6,163,57,Clouds,scattered clouds
1725274800000,15.3,76,1010,4.6,80,49,Clouds,scattered clouds
1725278400000,15.4,76,1011,5.1,153,55,Clouds,scattered clouds
1725282000000,15.1,72,1011,5.3,92,47,Clouds,scattered clouds
1725285600000,13.4,69,1012,4.9,58,55,Clouds,scattered clouds
1725289200000,12,74,1007,4,227,51,Clouds,scattered clouds
1725292800000,9.9,74,1017,3.3,201,69,Clouds,scattered clouds
1725296400000,8.5,77,1012,3.7,90,52,Clouds,scattered clouds
1725300000000,9.1,77,1010,1.6,280,51,Clouds,scattered clouds
1725303600000,6.2,80,1008,3.7,126,60,Clouds,scattered clouds
1725307200000,6.8,82,1007,4,249,60,Clouds,scattered clouds
1725310800000,7,80,1012,3.6,143,70,Clouds,scattered clouds
1725314400000,6.6,75,1014,4.2,281,53,Clouds,scattered clouds
1725318000000,5.9,85,1018,4.5,273,67,Clouds,scattered clouds
1725321600000,7.5,80,1012,4.3,195,62,Clouds,scattered clouds
1725325200000,7.8,78,1009,5.4,273,73,Clouds,scattered clouds
1725328800000,10,79,1011,6.3,272,67,Clouds,scattered clouds
1725332400000,10.3,83,1015,4.9,196,77,Clouds,overcast clouds
1725336000000,9.5,73,1013,5.6,163,64,Clouds,scattered clouds
1725339600000,9.2,84,1010,4.8,80,55,Clouds,scattered clouds
1725343200000,10.5,75,1017,5,265,51,Clouds,scattered clouds
1725346800000,12.1,79,1017,4.3,54,61,Clouds,scattered clouds
1725350400000,10.2,80,1018,4.4,273,63,Clouds,scattered clouds
1725354000000,10.4,76,1015,3.6,205,69,Clouds,scattered clouds
1725357600000,10,74,1017,3.7,201,69,Clouds,scattered clouds
1725361200000,8.1,76,1014,3.5,240,55,Clouds,scattered clouds
1725364800000,8,79,1009,2.3,57,54,Clouds,scattered clouds
1725368400000,6.4,82,1010,3,260,66,Clouds,scattered clouds
1725372000000,4.3,78,1017,3.3,354,74,Clouds,scattered clouds
1725375600000,4.2,89,1011,3.7,153,66,Clouds,scattered clouds
1725379200000,1.3,91,1013,3.6,114,83,Snow,light snow showers
1725382800000,-0.5,86,1012,5,58,69,Clouds,scattered clouds
1725386400000,0.5,88,1007,4.9,227,62,Snow,light snow showers
1725390000000,0,85,1008,5.5,307,75,Clouds,scattered clouds
1725393600000,-2.6,91,1012,6,90,63,Snow,light snow showers
1725397200000,-1.4,87,1018,5.1,329,72,Clouds,scattered clouds
1725400800000,-3.2,91,1008,6.2,126,69,Snow,light snow showers
1725404400000,-1.4,92,1007,6,249,68,Snow,light snow showers
1725408000000,-2.4,90,1017,5.1,265,64,Snow,light snow showers
1725411600000,-0.1,83,1014,5.1,281,60,Clouds,scattered clouds
1725415200000,-1.1,93,1018,4.7,273,74,Snow,light snow showers
1725418800000,-0.6,91,1013,3.9,344,78,Snow,light snow showers
1725422400000,1.6,86,1009,4.4,273,79,Clouds,overcast clouds
1725426000000,0.3,86,1014,3.9,240,62,Clouds,scattered clouds
1725429600000,0.4,88,1009,2.8,57,62,Clouds,scattered clouds
1725433200000,2.2,81,1013,3,163,71,Clouds,scattered clouds
1725436800000,-0.1,95,1010,2.1,80,64,Snow,light snow showers
1725440400000,0.5,87,1017,2.9,265,61,Clouds,scattered clouds
1725444000000,0.7,90,1011,4.3,92,61,Snow,light snow showers
1725447600000,-1.4,87,1012,4.7,58,70,Clouds,scattered clouds
1725451200000,-3.4,92,1015,3.8,205,83,Snow,light snow showers
1725454800000,-3.4,90,1017,4.7,201,81,Snow,light snow showers
1725458400000,-5.1,94,1012,5.8,90,65,Snow,light snow showers
1725462000000,-5.6,97,1013,4.5,219,87,Snow,light snow showers
1725465600000,-8.3,97,1010,5.9,260,78,Snow,light snow showers
1725469200000,-9.9,97,1015,6.3,297,72,Snow,light snow showers
1725472800000,-11.5,97,1011,5.6,153,72,Snow,light snow showers
1725476400000,-10.6,97,1013,4.9,114,88,Snow,light snow showers
1725480000000,-12,97,1012,6.1,249,74,Snow,light snow showers
1725483600000,-11.5,97,1007,5,227,69,Snow,light snow showers
1725487200000,-11.2,97,1009,3.9,154,80,Snow,light snow showers
1725490800000,-11.2,97,1012,4.8,90,68,Snow,light snow showers
1725494400000,-12,97,1018,3.3,329,80,Snow,light snow showers
1725498000000,-12,97,1010,2.6,84,70,Snow,light snow showers
1725501600000,-11.5,97,1007,3.3,249,73,Snow,light snow showers
1725505200000,-9.2,97,1017,2.5,265,69,Snow,light snow showers
1725508800000,-10.3,97,1017,2.6,54,76,Snow,light snow showers
1725512400000,-10,97,1018,3.5,273,77,Snow,light snow showers
1725516000000,-10.2,97,1015,3.5,205,87,Snow,light snow showers
1725519600000,-9.1,97,1017,4.4,201,87,Snow,light snow showers
1725523200000,-8.3,96,1014,5,240,70,Snow,light snow showers
1725526800000,-9.1,97,1009,4.6,57,69,Snow,light snow showers
1725530400000,-10,96,1013,5.5,163,82,Snow,light snow showers
1725534000000,-12,97,1017,5.6,354,89,Snow,light snow showers
1725537600000,-12,97,1011,5.6,153,72,Snow,light snow showers
1725541200000,-12,97,1011,6.1,92,67,Snow,light snow showers
1725544800000,-12,97,1012,5.9,58,78,Snow,light snow showers
1725548400000,-12,97,1007,5.2,227,69,Snow,light snow showers
1725552000000,-12,97,1008,5.3,307,84,Snow,light snow showers
1725555600000,-12,97,1012,5.2,90,68,Snow,light snow showers
1725559200000,-12,97,1018,3.7,329,80,Snow,light snow showers
1725562800000,-12,97,1010,4.1,260,78,Snow,light snow showers
1725566400000,-12,97,1015,4,297,72,Snow,light snow showers
1725570000000,-12,97,1016,2.8,101,74,Snow,light snow showers
1725573600000,-12,97,1013,2.4,114,88,Snow,light snow showers
1725577200000,-12,97,1009,3.6,155,89,Snow,light snow showers
1725580800000,-12,97,1007,3.9,227,69,Snow,light snow showers
1725584400000,-12,97,1009,3.6,154,80,Snow,light snow showers
1725588000000,-11.7,97,1012,4.9,175,71,Snow,light snow showers
1725591600000,-10.2,97,1018,4.6,329,80,Snow,light snow showers
1725595200000,-11.5,97,1010,4.5,84,70,Snow,light snow showers
1725598800000,-9.8,97,1010,5.3,241,85,Snow,light snow showers
1725602400000,-9,97,1017,5.2,265,69,Snow,light snow showers
1725606000000,-9.5,97,1011,6.1,92,67,Snow,light snow showers
1725609600000,-10.8,97,1012,6,58,78,Snow,light snow showers
1725613200000,-10.4,97,1015,4.6,205,87,Snow,light snow showers
1725616800000,-11.7,97,1017,4.9,201,87,Snow,light snow showers
1725620400000,-11.2,97,1014,4.9,240,71,Snow,light snow showers
1725624000000,-12,97,1013,3.6,219,87,Snow,light snow showers
1725627600000,-12,97,1010,4.5,260,78,Snow,light snow showers
1725631200000,-12,97,1017,3.8,354,89,Snow,light snow showers
1725634800000,-12,97,1011,3.2,153,72,Snow,light snow showers
1725638400000,-12,97,1013,2.2,114,88,Snow,light snow showers
1725642000000,-12,97,1012,3.8,249,74,Snow,light snow showers
1725645600000,-12,97,1007,3.5,227,69,Snow,light snow showers
1725649200000,-12,97,1009,3.2,154,80,Snow,light snow showers
1725652800000,-12,97,1012,5,90,68,Snow,light snow showers
1725656400000,-12,97,1018,4.3,329,80,Snow,light snow showers
1725660000000,-12,97,1009,5.4,162,75,Snow,light snow showers
1725663600000,-12,97,1015,6.1,297,72,Snow,light snow showers
1725667200000,-12,97,1009,6.2,130,82,Snow,light snow showers
1725670800000,-12,97,1013,5.1,114,88,Snow,light snow showers
1725674400000,-12,97,1009,5.7,155,89,Snow,light snow showers
1725678000000,-10.5,96,1016,5.8,17,67,Snow,light snow showers
1725681600000,-9.4,97,1009,4.7,154,80,Snow,light snow showers
1725685200000,-10.7,97,1012,5.3,175,71,Snow,light snow showers
1725688800000,-9,97,1010,5.3,302,72,Snow,light snow showers
1725692400000,-10.7,97,1010,3.7,84,70,Snow,light snow showers
1725696000000,-11.1,97,1016,4.8,49,82,Snow,light snow showers
1725699600000,-11.6,97,1008,2.5,286,66,Snow,light snow showers
1725703200000,-10.7,97,1011,3.7,92,67,Snow,light snow showers
1725706800000,-12,97,1012,3.1,58,78,Snow,light snow showers
1725710400000,-12,97,1015,2.3,205,87,Snow,light snow showers
1725714000000,-12,97,1008,3.9,307,84,Snow,light snow showers
1725717600000,-12,97,1012,4.6,90,68,Snow,light snow showers
1725721200000,-12,97,1013,3.5,219,87,Snow,light snow showers
1725724800000,-12,97,1010,5.1,260,78,Snow,light snow showers
1725728400000,-12,97,1015,5.8,297,72,Snow,light snow showers
1725732000000,-12,97,1016,5.3,101,74,Snow,light snow showers
1725735600000,-12,97,1013,5,114,88,Snow,light snow showers
1725739200000,-12,97,1009,5.7,155,89,Snow,light snow showers
1725742800000,-12,97,1007,5.6,227,69,Snow,light snow showers
1725746400000,-12,97,1009,4.8,154,80,Snow,light snow showers
1725750000000,-12,97,1014,6,98,88,Snow,light snow showers
1725753600000,-12,97,1018,4.6,329,80,Snow,light snow showers
1725757200000,-12,97,1010,4,84,70,Snow,light snow showers
1725760800000,-12,97,1015,5.2,297,72,Snow,light snow showers
1725764400000,-12,97,1009,4.7,130,82,Snow,light snow showers
1725768000000,-10.1,97,1014,4.1,127,81,Snow,light snow showers
1725771600000,-8.5,97,1009,3.2,155,89,Snow,light snow showers
1725775200000,-8.4,93,1016,2.9,17,65,Snow,light snow showers
1725778800000,-8.5,97,1013,3,185,78,Snow,light snow showers
1725782400000,-9.4,97,1012,3.8,175,71,Snow,light snow showers
1725786000000,-10.3,97,1017,3.4,279,83,Snow,light snow showers
1725789600000,-9.7,97,1015,4.4,161,80,Snow,light snow showers
1725793200000,-11.8,97,1016,5.6,49,82,Snow,light snow showers
1725796800000,-12,97,1008,4.1,286,66,Snow,light snow showers
1725800400000,-12,97,1011,5.9,92,67,Snow,light snow showers
1725804000000,-12,97,1012,6.4,249,74,Snow,light snow showers
1725807600000,-12,97,1007,5.6,227,69,Snow,light snow showers
1725811200000,-12,97,1008,5.9,307,84,Snow,light snow showers
1725814800000,-12,97,1012,6.1,90,68,Snow,light snow showers
1725818400000,-12,97,1018,4.8,329,80,Snow,light snow showers
1725822000000,-12,97,1009,5.4,162,75,Snow,light snow showers
1725825600000,-12,97,1015,5.5,297,72,Snow,light snow showers
1725829200000,-12,97,1009,5.1,130,82,Snow,light snow showers
1725832800000,-12,97,1013,3.4,114,88,Snow,light snow showers
1725836400000,-12,97,1009,3.6,155,89,Snow,light snow showers
1725840000000,-12,97,1012,2.2,306,70,Snow,light snow showers
1725843600000,-12,97,1009,2,154,80,Snow,light snow showers
1725847200000,-11.3,97,1012,3.4,175,71,Snow,light snow showers
1725850800000,-12,97,1018,3.2,329,80,Snow,light snow showers
