ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.1,71,1018,4.5,131,65,Clouds,scattered clouds
1725152400000,16.8,70,1018,5,159,62,Clouds,scattered clouds
1725156000000,18.5,72,1016,4.3,308,53,Clouds,scattered clouds
1725159600000,18.4,73,1019,2.9,179,50,Clouds,scattered clouds
1725163200000,21,65,1017,2,210,48,Clouds,scattered clouds
1725166800000,21.9,57,1015,2.9,44,35,Clouds,scattered clouds
1725170400000,23.3,67,1008,4.4,130,57,Clouds,scattered clouds
1725174000000,23.8,65,1011,4.8,73,63,Clouds,scattered clouds
1725177600000,24,60,1011,3.7,42,57,Clouds,scattered clouds
1725181200000,21.3,65,1015,4,272,55,Clouds,scattered clouds
1725184800000,22.7,59,1012,5.8,265,37,Clouds,scattered clouds
1725188400000,21.7,64,1017,5.8,307,61,Clouds,scattered clouds
1725192000000,20.2,64,1011,4.7,102,41,Clouds,scattered clouds
1725195600000,19,64,1015,6.1,323,53,Clouds,scattered clouds
1725199200000,16.6,68,1015,5.2,47,57,Clouds,scattered clouds
1725202800000,14.7,77,1012,5.8,97,63,Clouds,scattered clouds
1725206400000,14.6,77,1011,6.3,196,57,Clouds,scattered clouds
1725210000000,13.4,77,1014,4.4,28,65,Clouds,scattered clouds
1725213600000,13.3,76,1017,3.8,352,62,Clouds,scattered clouds
1725217200000,11.3,76,1018,5.3,159,68,Clouds,scattered clouds
1725220800000,11.7,69,1017,3.7,284,47,Clouds,scattered clouds
1725224400000,11.8,79,1009,4.1,95,69,Clouds,scattered clouds
1725228000000,10.2,78,1017,2.4,210,58,Clouds,scattered clouds
1725231600000,12.3,75,1008,1.9,197,63,Clouds,scattered clouds
1725235200000,12.2,80,1008,3.9,130,68,Clouds,scattered clouds
1725238800000,12.2,69,1010,3.8,298,46,Clouds,scattered clouds
1725242400000,14.1,67,1018,4,292,52,Clouds,scattered clouds
1725246000000,14.1,73,1015,3.7,272,62,Clouds,scattered clouds
1725249600000,15.6,68,1012,5.5,265,44,Clouds,scattered clouds
1725253200000,15.1,76,1016,5.7,308,56,Clouds,scattered clouds
1725256800000,17,74,1019,5,179,51,Clouds,scattered clouds
1725260400000,15.9,71,1017,4.8,210,53,Clouds,scattered clouds
1725264000000,16.2,71,1016,5.1,149,62,Clouds,scattered clouds
1725267600000,14.5,67,1014,6.5,329,50,Clouds,scattered clouds
1725271200000,15.1,75,1011,6.4,73,72,Clouds,scattered clouds
1725274800000,13.2,73,1011,4.7,42,68,Clouds,scattered clouds
1725278400000,13.4,73,1018,4.6,324,48,Clouds,scattered clouds
1725282000000,10,74,1010,5.5,103,70,Clouds,scattered clouds
1725285600000,10.8,77,1017,5,307,71,Clouds,scattered clouds
1725289200000,9,74,1014,3.9,258,47,Clouds,scattered clouds
1725292800000,8.8,76,1015,4.1,323,63,Clouds,scattered clouds
1725296400000,6,80,1015,2.7,47,67,Clouds,scattered clouds
1725300000000,5.4,86,1018,2.8,339,60,Clouds,scattered clouds
1725303600000,3.6,90,1011,4,196,67,Rain,light rain
1725307200000,3.5,80,1018,3.6,292,63,Clouds,scattered clouds
1725310800000,4,87,1017,3,352,71,Clouds,scattered clouds
1725314400000,3.1,86,1018,5.3,159,76,Clouds,overcast clouds
1725318000000,3.2,90,1016,5.4,308,68,Rain,light rain
1725321600000,5.5,86,1009,5.6,95,76,Clouds,overcast clouds
1725325200000,4.7,84,1017,4.6,210,63,Clouds,scattered clouds
1725328800000,5.9,76,1015,5.5,44,50,Clouds,scattered clouds
1725332400000,5,89,1008,6.5,130,74,Clouds,scattered clouds
1725336000000,5.6,87,1011,6.4,73,81,Clouds,overcast clouds
1725339600000,7.3,81,1011,4.8,42,73,Clouds,scattered clouds
1725343200000,6,83,1015,4.6,272,70,Clouds,scattered clouds
1725346800000,6.2,79,1012,5.8,265,53,Clouds,scattered clouds
1725350400000,6.7,86,1016,5.3,308,64,Clouds,scattered clouds
1725354000000,5,82,1011,3.6,102,55,Clouds,scattered clouds
1725357600000,4.8,81,1015,4.5,323,67,Clouds,scattered clouds
1725361200000,5.1,84,1016,3,149,72,Clouds,scattered clouds
1725364800000,3.8,79,1014,3.9,329,61,Clouds,scattered clouds
1725368400000,3,86,1017,2.2,48,70,Clouds,scattered clouds
1725372000000,1.2,90,1010,4.1,52,72,Snow,light snow showers
1725375600000,0,89,1018,3.1,324,61,Snow,light snow showers
1725379200000,-3.6,89,1013,4.2,57,68,Snow,light snow showers
1725382800000,-2.5,93,1017,5,307,84,Snow,light snow showers
1725386400000,-3.4,89,1014,4.8,258,59,Snow,light snow showers
1725390000000,-4.9,97,1018,5.1,14,80,Snow,light snow showers
1725393600000,-6,95,1015,5,47,79,Snow,light snow showers
1725397200000,-5.8,93,1008,4.6,267,83,Snow,light snow showers
1725400800000,-4.6,97,1011,6.5,196,72,Snow,light snow showers
1725404400000,-6.3,92,1018,5.6,292,72,Snow,light snow showers
1725408000000,-5.5,97,1015,4.8,272,81,Snow,light snow showers
1725411600000,-4.2,95,1018,6.1,159,83,Snow,light snow showers
1725415200000,-5,97,1016,5.6,308,73,Snow,light snow showers
1725418800000,-3.4,97,1019,4.4,179,69,Snow,light snow showers
1725422400000,-2.6,93,1017,3.6,210,70,Snow,light snow showers
1725426000000,-1.2,92,1016,3.4,149,78,Snow,light snow showers
1725429600000,-3.4,88,1014,4.3,329,67,Snow,light snow showers
1725433200000,-2.6,97,1011,3.8,73,89,Snow,light snow showers
1725436800000,-2.3,92,1011,2.1,42,83,Snow,light snow showers
1725440400000,-2.8,94,1015,2.6,272,79,Snow,light snow showers
1725444000000,-4.1,91,1010,4.4,103,84,Snow,light snow showers
1725447600000,-4.6,96,1017,4.7,307,86,Snow,light snow showers
1725451200000,-6.8,96,1011,3.8,102,67,Snow,light snow showers
1725454800000,-6.6,95,1015,5.5,323,77,Snow,light snow showers
1725458400000,-9.2,97,1015,4.8,47,81,Snow,light snow showers
1725462000000,-10.8,97,1015,5.1,228,89,Snow,light snow showers
1725465600000,-12,97,1017,5,48,79,Snow,light snow showers
1725469200000,-12,97,1009,5.6,184,88,Snow,light snow showers
1725472800000,-12,97,1018,5,324,67,Snow,light snow showers
1725476400000,-12,97,1013,5.5,57,74,Snow,light snow showers
1725480000000,-12,97,1014,4.6,203,74,Snow,light snow showers
1725483600000,-12,97,1014,4.9,258,66,Snow,light snow showers
1725487200000,-12,97,1017,5.1,322,72,Snow,light snow showers
1725490800000,-12,97,1015,3.9,47,81,Snow,light snow showers
1725494400000,-12,97,1008,2.9,267,86,Snow,light snow showers
1725498000000,-12,97,1009,3.4,271,76,Snow,light snow showers
1725501600000,-12,97,1018,2.8,292,76,Snow,light snow showers
1725505200000,-10.9,97,1015,2.1,272,81,Snow,light snow showers
1725508800000,-11.5,97,1012,4.1,265,67,Snow,light snow showers
1725512400000,-9.9,97,1016,4.4,308,73,Snow,light snow showers
1725516000000,-9.5,97,1011,3.5,102,67,Snow,light snow showers
1725519600000,-11,97,1015,5.2,323,79,Snow,light snow showers
1725523200000,-9.6,97,1016,4.5,149,82,Snow,light snow showers
1725526800000,-10.7,97,1014,6.1,329,74,Snow,light snow showers
1725530400000,-12,97,1011,6.3,73,89,Snow,light snow showers
1725534000000,-12,97,1010,6.5,52,78,Snow,light snow showers
1725537600000,-12,97,1018,5,324,67,Snow,light snow showers
1725541200000,-12,97,1010,6.3,103,88,Snow,light snow showers
1725544800000,-12,97,1017,5.9,307,87,Snow,light snow showers
1725548400000,-12,97,1014,5.1,258,66,Snow,light snow showers
1725552000000,-12,97,1018,4.9,14,80,Snow,light snow showers
1725555600000,-12,97,1015,4.2,47,81,Snow,light snow showers
1725559200000,-12,97,1008,3.3,267,86,Snow,light snow showers
1725562800000,-12,97,1017,3.2,48,79,Snow,light snow showers
1725566400000,-12,97,1009,3.2,184,88,Snow,light snow showers
1725570000000,-12,97,1012,3.3,281,67,Snow,light snow showers
1725573600000,-12,97,1013,3,57,74,Snow,light snow showers
1725577200000,-12,97,1011,3.4,33,65,Snow,light snow showers
1725580800000,-12,97,1014,3.8,258,66,Snow,light snow showers
1725584400000,-12,97,1017,4.8,322,72,Snow,light snow showers
1725588000000,-12,97,1019,4.9,141,73,Snow,light snow showers
1725591600000,-11.4,97,1008,4.1,267,86,Snow,light snow showers
1725595200000,-11.5,97,1009,5.3,271,76,Snow,light snow showers
1725598800000,-10.6,97,1009,5,309,76,Snow,light snow showers
1725602400000,-9.6,97,1015,4.9,272,81,Snow,light snow showers
1725606000000,-10.5,97,1010,6.3,103,88,Snow,light snow showers
1725609600000,-11,97,1017,6.1,307,87,Snow,light snow showers
1725613200000,-9.8,97,1011,4.6,102,67,Snow,light snow showers
1725616800000,-12,97,1015,5.7,323,79,Snow,light snow showers
1725620400000,-12,97,1016,4.4,149,82,Snow,light snow showers
1725624000000,-12,97,1015,4.2,228,89,Snow,light snow showers
1725627600000,-12,97,1017,3.6,48,79,Snow,light snow showers
1725631200000,-12,97,1010,4.6,52,78,Snow,light snow showers
1725634800000,-12,97,1018,2.6,324,67,Snow,light snow showers
1725638400000,-12,97,1013,2.7,57,74,Snow,light snow showers
1725642000000,-12,97,1014,2.4,203,74,Snow,light snow showers
1725645600000,-12,97,1014,3.4,258,66,Snow,light snow showers
1725649200000,-12,97,1017,4.4,322,72,Snow,light snow showers
1725652800000,-12,97,1015,4,47,81,Snow,light snow showers
1725656400000,-12,97,1008,3.9,267,86,Snow,light snow showers
1725660000000,-12,97,1007,4.3,103,67,Snow,light snow showers
1725663600000,-12,97,1009,5.3,184,88,Snow,light snow showers
1725667200000,-12,97,1010,4.4,247,66,Snow,light snow showers
1725670800000,-12,97,1013,5.6,57,74,Snow,light snow showers
1725674400000,-11.5,97,1011,5.6,33,65,Snow,light snow showers
1725678000000,-10.3,97,1016,4.5,268,83,Snow,light snow showers
1725681600000,-10.1,97,1017,5.8,322,72,Snow,light snow showers
1725685200000,-10.2,97,1019,5.3,141,73,Snow,light snow showers
1725688800000,-9.4,97,1010,4.3,176,71,Snow,light snow showers
1725692400000,-8.2,95,1009,4.5,271,74,Snow,light snow showers
1725696000000,-10,96,1011,4.7,294,79,Snow,light snow showers
1725699600000,-10.7,97,1015,3.2,194,87,Snow,light snow showers
1725703200000,-10.8,97,1010,3.8,103,88,Snow,light snow showers
1725706800000,-12,97,1017,3.1,307,87,Snow,light snow showers
1725710400000,-12,97,1011,2.3,102,67,Snow,light snow showers
1725714000000,-12,97,1018,3.5,14,80,Snow,light snow showers
1725717600000,-12,97,1015,3.6,47,81,Snow,light snow showers
1725721200000,-12,97,1015,4.1,228,89,Snow,light snow showers
1725724800000,-12,97,1017,4.3,48,79,Snow,light snow showers
1725728400000,-12,97,1009,5.1,184,88,Snow,light snow showers
1725732000000,-12,97,1012,5.9,281,67,Snow,light snow showers
1725735600000,-12,97,1013,5.5,57,74,Snow,light snow showers
1725739200000,-12,97,1011,5.6,33,65,Snow,light snow showers
1725742800000,-12,97,1014,5.5,258,66,Snow,light snow showers
1725746400000,-12,97,1017,6,322,72,Snow,light snow showers
1725750000000,-12,97,1014,5.6,286,83,Snow,light snow showers
1725753600000,-12,97,1008,4.2,267,86,Snow,light snow showers
1725757200000,-12,97,1009,4.8,271,76,Snow,light snow showers
1725760800000,-11.4,97,1009,4.4,184,88,Snow,light snow showers
1725764400000,-10.4,97,1010,2.9,247,66,Snow,light snow showers
1725768000000,-9.5,97,1009,3.1,229,86,Snow,light snow showers
1725771600000,-11,97,1011,3,33,65,Snow,light snow showers
1725775200000,-8.5,97,1016,1.6,268,83,Snow,light snow showers
1725778800000,-8.9,97,1018,3.2,342,67,Snow,light snow showers
1725782400000,-8.1,97,1019,3.8,141,73,Snow,light snow showers
1725786000000,-10.2,97,1018,3.9,101,83,Snow,light snow showers
1725789600000,-11.6,97,1012,3.7,291,78,Snow,light snow showers
1725793200000,-12,97,1011,5.5,294,80,Snow,light snow showers
1725796800000,-12,97,1015,4.8,194,87,Snow,light snow showers
1725800400000,-12,97,1010,6.1,103,88,Snow,light snow showers
1725804000000,-12,97,1014,4.9,203,74,Snow,light snow showers
1725807600000,-12,97,1014,5.5,258,66,Snow,light snow showers
1725811200000,-12,97,1018,5.5,14,80,Snow,light snow showers
1725814800000,-12,97,1015,5.1,47,81,Snow,light snow showers
1725818400000,-12,97,1008,4.4,267,86,Snow,light snow showers
1725822000000,-12,97,1007,4.2,103,67,Snow,light snow showers
1725825600000,-12,97,1009,4.7,184,88,Snow,light snow showers
1725829200000,-12,97,1010,3.3,247,66,Snow,light snow showers
1725832800000,-12,97,1013,4,57,74,Snow,light snow showers
1725836400000,-12,97,1011,3.5,33,65,Snow,light snow showers
1725840000000,-12,97,1014,3.3,111,68,Snow,light snow showers
1725843600000,-12,97,1017,3.2,322,72,Snow,light snow showers
1725847200000,-11.8,97,1019,3.4,141,73,Snow,light snow showers
1725850800000,-12,97,1008,2.8,267,86,Snow,light snow showers
1725854400000,-9.7,96,1009,4.2,271,75,Snow,light snow showers
1725858000000,-10.2,96,1011,5.2,294,79,Snow,light snow showers
1725861600000,-8.4,97,1010,3.8,247,66,Snow,light snow showers
1725865200000,-10.4,97,1009,4.8,229,86,Snow,light snow showers
1725868800000,-8.5,97,1015,6.1,283,74,Snow,light snow showers
1725872400000,-9.5,97,1016,4.5,268,83,Snow,light snow showers
1725876000000,-9.9,97,1019,4.5,292,81,Snow,light snow showers
1725879600000,-12,97,1010,5,178,69,Snow,light snow showers
1725883200000,-12,97,1018,5.3,101,83,Snow,light snow showers
1725886800000,-12,97,1012,4.5,291,78,Snow,light snow showers
1725890400000,-12,97,1011,5.6,294,80,Snow,light snow showers
1725894000000,-12,97,1007,4.9,318,72,Snow,light snow showers
1725897600000,-12,97,1019,5,214,80,Snow,light snow showers
1725901200000,-12,97,1014,3.2,203,74,Snow,light snow showers
1725904800000,-12,97,1014,3.3,258,66,Snow,light snow showers
1725908400000,-12,97,1017,3.4,322,72,Snow,light snow showers
1725912000000,-12,97,1014,3.1,286,83,Snow,light snow showers
1725915600000,-12,97,1008,2.4,267,86,Snow,light snow showers
1725919200000,-12,97,1009,3.8,271,76,Snow,light snow showers
1725922800000,-12,97,1009,4.2,184,88,Snow,light snow showers
1725926400000,-12,97,1010,3.5,247,66,Snow,light snow showers
1725930000000,-12,97,1012,4.5,345,73,Snow,light snow showers
1725933600000,-12,97,1011,5.2,33,65,Snow,light snow showers
1725937200000,-12,97,1016,4.4,268,83,Snow,light snow showers
1725940800000,-10.5,97,1017,6,322,72,Snow,light snow showers
1725944400000,-8.4,97,1019,5.8,141,73,Snow,light snow showers
1725948000000,-8.7,97,1018,5.4,101,83,Snow,light snow showers
1725951600000,-7.8,94,1009,5.5,271,73,Snow,light snow showers
1725955200000,-7.9,93,1011,5.8,294,77,Snow,light snow showers
1725958800000,-8.1,97,1015,4.6,194,87,Snow,light snow showers
1725962400000,-11.2,97,1009,4.2,229,86,Snow,light snow showers
1725966000000,-9.9,97,1008,4.4,329,66,Snow,light snow showers
1725969600000,-10.9,97,1016,4.7,356,74,Snow,light snow showers
1725973200000,-12,97,1019,2.3,292,81,Snow,light snow showers
1725976800000,-12,97,1010,2.2,178,69,Snow,light snow showers
1725980400000,-12,97,1018,2.7,101,83,Snow,light snow showers
1725984000000,-12,97,1013,2.5,318,67,Snow,light snow showers
1725987600000,-12,97,1017,3.7,257,75,Snow,light snow showers
1725991200000,-12,97,1007,4.5,318,72,Snow,light snow showers
1725994800000,-12,97,1019,5.4,214,80,Snow,light snow showers
1725998400000,-12,97,1015,5.2,64,69,Snow,light snow showers
1726002000000,-12,97,1009,5.1,215,79,Snow,light snow showers
1726005600000,-12,97,1008,4.6,217,80,Snow,light snow showers
1726009200000,-12,97,1008,4.8,197,80,Snow,light snow showers
1726012800000,-12,97,1012,5.9,97,79,Snow,light snow showers
1726016400000,-12,97,1011,6.4,196,72,Snow,light snow showers
1726020000000,-12,97,1014,4.7,28,81,Snow,light snow showers
1726023600000,-9.7,97,1017,4.1,352,78,Snow,light snow showers
1726027200000,-9.4,97,1018,5.8,159,84,Snow,light snow showers
1726030800000,-7.9,93,1017,4.2,284,66,Snow,light snow showers
1726034400000,-8.4,97,1009,4.7,95,84,Snow,light snow showers
1726038000000,-6.7,97,1017,3,210,73,Snow,light snow showers
1726041600000,-8,97,1008,2.5,197,80,Snow,light snow showers
1726045200000,-8.6,97,1008,3.7,130,81,Snow,light snow showers
1726048800000,-9.4,95,1010,3.2,298,67,Snow,light snow showers
1726052400000,-8.9,95,1018,3.4,292,75,Snow,light snow showers
1726056000000,-11.6,97,1015,3.2,272,81,Snow,light snow showers
1726059600000,-11.4,97,1012,5.1,265,67,Snow,light snow showers
1726063200000,-12,97,1016,5.3,308,73,Snow,light snow showers
1726066800000,-12,97,1019,4.7,179,69,Snow,light snow showers
1726070400000,-12,97,1017,4.6,210,73,Snow,light snow showers
1726074000000,-12,97,1016,5,149,82,Snow,light snow showers
1726077600000,-12,97,1014,6.4,329,75,Snow,light snow showers
1726081200000,-12,97,1011,6.5,73,89,Snow,light snow showers
1726084800000,-12,97,1011,4.8,42,87,Snow,light snow showers
1726088400000,-12,97,1018,4.8,324,67,Snow,light snow showers
1726092000000,-12,97,1010,5.9,103,88,Snow,light snow showers
1726095600000,-12,97,1017,5.4,307,87,Snow,light snow showers
1726099200000,-12,97,1014,4.4,258,66,Snow,light snow showers
1726102800000,-10.8,97,1008,3.2,217,80,Snow,light snow showers
1726106400000,-11,97,1008,2.9,197,80,Snow,light snow showers
1726110000000,-9.4,97,1018,3.4,339,68,Snow,light snow showers
1726113600000,-9.9,97,1011,3.6,196,72,Snow,light snow showers
1726117200000,-7.2,93,1018,3,292,73,Snow,light snow showers
1726120800000,-8.4,97,1017,2.4,352,78,Snow,light snow showers
1726124400000,-7.9,97,1018,4.8,159,84,Snow,light snow showers
1726128000000,-8.1,97,1016,5,308,73,Snow,light snow showers
1726131600000,-7.8,97,1009,5.3,95,84,Snow,light snow showers
1726135200000,-9.6,97,1017,4.3,210,73,Snow,light snow showers
1726138800000,-9.9,95,1015,5.3,44,65,Snow,light snow showers
1726142400000,-9.5,97,1008,6.4,130,81,Snow,light snow showers
1726146000000,-10.7,97,1011,6.4,73,89,Snow,light snow showers
1726149600000,-11.3,97,1011,4.9,42,87,Snow,light snow showers
1726153200000,-12,97,1015,4.8,272,81,Snow,light snow showers
1726156800000,-12,97,1012,6.1,265,67,Snow,light snow showers
1726160400000,-12,97,1016,5.7,308,73,Snow,light snow showers
1726164000000,-12,97,1011,4,102,67,Snow,light snow showers
1726167600000,-12,97,1015,5,323,79,Snow,light snow showers
1726171200000,-12,97,1016,3.5,149,82,Snow,light snow showers
1726174800000,-12,97,1014,4.4,329,75,Snow,light snow showers
1726178400000,-12,97,1017,2.6,48,79,Snow,light snow showers
1726182000000,-12,97,1010,3.5,52,78,Snow,light snow showers
1726185600000,-12,97,1018,2.5,324,67,Snow,light snow showers
1726189200000,-10.4,97,1013,3.6,57,74,Snow,light snow showers
1726192800000,-10.6,97,1017,4.6,307,87,Snow,light snow showers
1726196400000,-8.4,95,1014,4.4,258,64,Snow,light snow showers
1726200000000,-6.7,92,1008,4.3,296,76,Snow,light snow showers
1726203600000,-7.5,97,1008,4.4,197,80,Snow,light snow showers
1726207200000,-6.1,97,1008,6.3,130,81,Snow,light snow showers
1726210800000,-7.1,97,1011,6.4,196,72,Snow,light snow showers
1726214400000,-5.7,91,1018,5.6,292,71,Snow,light snow showers
1726218000000,-7.5,97,1015,4.9,272,81,Snow,light snow showers
1726221600000,-7.7,97,1018,6.3,159,84,Snow,light snow showers
1726225200000,-7.8,97,1016,5.9,308,73,Snow,light snow showers
1726228800000,-9.9,97,1019,4.7,179,69,Snow,light snow showers
1726232400000,-10.2,97,1017,4,210,73,Snow,light snow showers
1726236000000,-10.4,97,1016,3.9,149,82,Snow,light snow showers
1726239600000,-11.6,97,1014,4.8,329,75,Snow,light snow showers
1726243200000,-12,97,1011,4.4,73,89,Snow,light snow showers
1726246800000,-12,97,1011,2.3,42,87,Snow,light snow showers
1726250400000,-12,97,1015,2,272,81,Snow,light snow showers
1726254000000,-12,97,1010,3.9,103,88,Snow,light snow showers
1726257600000,-12,97,1017,4.2,307,87,Snow,light snow showers
1726261200000,-12,97,1011,3.3,102,67,Snow,light snow showers
1726264800000,-12,97,1015,5.1,323,79,Snow,light snow showers
1726268400000,-12,97,1015,4.5,47,81,Snow,light snow showers
1726272000000,-12,97,1015,4.8,228,89,Snow,light snow showers
1726275600000,-11.7,97,1017,4.9,48,79,Snow,light snow showers
1726279200000,-9.6,97,1009,5.5,184,88,Snow,light snow showers
1726282800000,-8.6,97,1018,5,324,67,Snow,light snow showers
1726286400000,-6.7,93,1013,5.6,57,71,Snow,light snow showers
1726290000000,-7.1,97,1014,4.8,203,74,Snow,light snow showers
1726293600000,-5.5,91,1014,5.2,258,61,Snow,light snow showers
1726297200000,-4.7,90,1017,5.5,322,67,Snow,light snow showers
1726300800000,-3.8,94,1008,4,197,78,Snow,light snow showers
1726304400000,-6.4,97,1008,5.2,130,81,Snow,light snow showers
1726308000000,-5.7,97,1011,4.8,73,89,Snow,light snow showers
1726311600000,-7,93,1018,3.4,292,73,Snow,light snow showers
1726315200000,-6.6,97,1015,2.3,272,81,Snow,light snow showers
1726318800000,-8.1,96,1012,3.5,265,67,Snow,light snow showers
1726322400000,-8.3,97,1016,3.8,308,73,Snow,light snow showers
1726326000000,-10.2,97,1011,2.9,102,67,Snow,light snow showers
1726329600000,-9.5,97,1015,4.7,323,79,Snow,light snow showers
1726333200000,-11.5,97,1016,4.1,149,82,Snow,light snow showers
1726336800000,-12,97,1014,5.8,329,75,Snow,light snow showers
1726340400000,-12,97,1011,6.1,73,89,Snow,light snow showers
1726344000000,-11.7,97,1010,6.3,52,78,Snow,light snow showers
1726347600000,-12,97,1018,5,324,67,Snow,light snow showers
1726351200000,-10.7,97,1010,6.3,103,88,Snow,light snow showers
1726354800000,-12,97,1017,6.1,307,87,Snow,light snow showers
1726358400000,-8.9,95,1014,5.4,258,65,Snow,light snow showers
1726362000000,-8.3,97,1018,5.2,14,80,Snow,light snow showers
1726365600000,-6.1,95,1015,4.6,47,79,Snow,light snow showers
1726369200000,-6.5,94,1008,3.8,267,84,Snow,light snow showers
1726372800000,-5.8,97,1017,3.8,48,78,Snow,light snow showers
1726376400000,-4.2,97,1009,3.8,184,88,Snow,light snow showers
