ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18,66,1019,5.1,334,53,Clouds,scattered clouds
1725152400000,18,64,1009,4.2,272,54,Clouds,scattered clouds
1725156000000,19.5,70,1016,3.9,168,58,Clouds,scattered clouds
1725159600000,22,62,1014,2.8,345,61,Clouds,scattered clouds
1725163200000,23.8,63,1011,1.8,323,53,Clouds,scattered clouds
1725166800000,23.8,60,1014,3.3,222,39,Clouds,scattered clouds
1725170400000,25.9,53,1009,4,81,43,Clouds,scattered clouds
1725174000000,24.9,57,1010,3.6,317,36,Clouds,scattered clouds
1725177600000,24,63,1011,3.7,102,60,Clouds,scattered clouds
1725181200000,25.2,64,1016,4.3,110,41,Clouds,scattered clouds
1725184800000,22.5,57,1019,4.4,145,51,Clouds,scattered clouds
1725188400000,22.4,62,1011,4.7,158,49,Clouds,scattered clouds
1725192000000,21.6,69,1010,5.5,173,51,Clouds,scattered clouds
1725195600000,21.4,62,1011,4.9,100,58,Clouds,scattered clouds
1725199200000,20.1,64,1008,6.3,18,52,Clouds,scattered clouds
1725202800000,17.3,64,1009,5,124,50,Clouds,scattered clouds
1725206400000,16,73,1013,5.2,135,60,Clouds,scattered clouds
1725210000000,16,65,1014,4.8,105,40,Clouds,scattered clouds
1725213600000,16.2,67,1016,4.8,165,63,Clouds,scattered clouds
1725217200000,14.9,68,1009,4.5,272,57,Clouds,scattered clouds
1725220800000,13.7,68,1015,3.6,290,60,Clouds,scattered clouds
1725224400000,13.8,69,1017,2.9,19,56,Clouds,scattered clouds
1725228000000,12.7,76,1011,2.2,323,64,Clouds,scattered clouds
1725231600000,15.6,73,1010,3.5,259,60,Clouds,scattered clouds
1725235200000,15,66,1009,3.6,81,54,Clouds,scattered clouds
1725238800000,16.5,68,1010,3,120,50,Clouds,scattered clouds
1725242400000,16.1,67,1011,4.5,207,51,Clouds,scattered clouds
1725246000000,17.5,73,1016,3.9,110,48,Clouds,scattered clouds
1725249600000,16.8,64,1019,4.1,145,57,Clouds,scattered clouds
1725253200000,19.7,70,1016,5.3,168,58,Clouds,scattered clouds
1725256800000,18.1,66,1014,4.9,345,65,Clouds,scattered clouds
1725260400000,18.5,69,1011,4.6,323,58,Clouds,scattered clouds
1725264000000,18.6,61,1010,5.9,22,55,Clouds,scattered clouds
