ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.6,63,1010,5.2,141,49,Clouds,scattered clouds
1725152400000,18.9,62,1013,4.9,83,42,Clouds,scattered clouds
1725156000000,19.6,66,1012,3.2,260,47,Clouds,scattered clouds
1725159600000,20.7,63,1008,2.2,348,48,Clouds,scattered clouds
1725163200000,22.5,67,1010,3.3,226,50,Clouds,scattered clouds
1725166800000,24.4,59,1012,2.6,337,43,Clouds,scattered clouds
1725170400000,24.5,54,1013,2.9,50,34,Clouds,scattered clouds
1725174000000,24.5,55,1016,4.8,142,43,Clouds,scattered clouds
1725177600000,24.4,55,1012,5,43,55,Clouds,scattered clouds
1725181200000,23.7,61,1017,3.8,267,40,Clouds,scattered clouds
1725184800000,24.6,61,1012,5.6,188,40,Clouds,scattered clouds
1725188400000,23.3,62,1018,6,17,49,Clouds,scattered clouds
1725192000000,21.8,63,1015,4.9,49,43,Clouds,scattered clouds
1725195600000,19.1,64,1011,5.3,44,57,Clouds,scattered clouds
1725199200000,18.3,72,1013,6,343,68,Clouds,scattered clouds
1725202800000,18.6,72,1015,4.9,109,68,Clouds,scattered clouds
1725206400000,15.4,75,1012,6.1,277,55,Clouds,scattered clouds
1725210000000,14.2,66,1010,5,228,65,Clouds,scattered clouds
1725213600000,15.7,73,1008,5.2,49,68,Clouds,scattered clouds
1725217200000,14.7,67,1013,5.3,83,46,Clouds,scattered clouds
1725220800000,14.3,70,1015,4.2,334,67,Clouds,scattered clouds
1725224400000,12.9,69,1017,4,4,44,Clouds,scattered clouds
1725228000000,14.3,77,1010,3.7,226,58,Clouds,scattered clouds
1725231600000,13.3,78,1009,2,134,66,Clouds,scattered clouds
1725235200000,13.8,67,1013,2.5,50,45,Clouds,scattered clouds
1725238800000,15.7,67,1014,4.3,9,59,Clouds,scattered clouds
1725242400000,14.5,75,1010,4.1,275,62,Clouds,scattered clouds
1725246000000,15.7,70,1017,3.5,267,47,Clouds,scattered clouds
1725249600000,16.7,71,1012,5.3,188,48,Clouds,scattered clouds
1725253200000,18.5,67,1012,4.6,260,48,Clouds,scattered clouds
1725256800000,16.9,68,1008,4.4,348,52,Clouds,scattered clouds
1725260400000,17.9,72,1010,6.1,226,55,Clouds,scattered clouds
1725264000000,17.3,70,1009,5.1,327,56,Clouds,scattered clouds
1725267600000,17.5,71,1016,4.5,308,66,Clouds,scattered clouds
1725271200000,17.2,63,1016,6.4,142,50,Clouds,scattered clouds
1725274800000,14.9,66,1012,6,43,64,Clouds,scattered clouds
1725278400000,13.5,70,1010,4.2,61,46,Clouds,scattered clouds
1725282000000,13,76,1014,4.7,12,70,Clouds,scattered clouds
1725285600000,12.7,75,1018,5.2,17,59,Clouds,scattered clouds
1725289200000,9.2,74,1011,4.1,133,65,Clouds,scattered clouds
1725292800000,8.4,76,1011,3.3,44,67,Clouds,scattered clouds
1725296400000,7.6,85,1013,3.5,343,78,Clouds,overcast clouds
1725300000000,6.7,79,1017,2,64,54,Clouds,scattered clouds
1725303600000,4.6,88,1012,3.9,277,65,Clouds,scattered clouds
1725307200000,4,88,1010,3.7,275,72,Clouds,scattered clouds
1725310800000,4.8,86,1008,4.4,49,79,Clouds,overcast clouds
1725314400000,4.1,80,1013,5.2,83,56,Clouds,scattered clouds
1725318000000,4.9,83,1012,4.3,260,61,Clouds,scattered clouds
1725321600000,6.1,77,1017,5.5,4,50,Clouds,scattered clouds
1725325200000,5.4,88,1010,5.9,226,67,Clouds,scattered clouds
1725328800000,6.5,81,1012,5.2,337,61,Clouds,scattered clouds
1725332400000,8.4,73,1013,5.1,50,50,Clouds,scattered clouds
1725336000000,7.1,76,1016,6.5,142,60,Clouds,scattered clouds
1725339600000,7.9,74,1012,6.2,43,71,Clouds,scattered clouds
1725343200000,9.9,77,1017,4.4,267,53,Clouds,scattered clouds
1725346800000,9.2,80,1012,5.6,188,55,Clouds,scattered clouds
1725350400000,8.7,79,1012,4.3,260,58,Clouds,scattered clouds
1725354000000,7.2,80,1015,3.8,49,57,Clouds,scattered clouds
