ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.8,73,1009,4.1,122,47,Clouds,scattered clouds
1725152400000,18.8,65,1013,3.7,304,43,Clouds,scattered clouds
1725156000000,19.5,61,1017,3.7,88,56,Clouds,scattered clouds
1725159600000,20.1,67,1011,2.8,46,54,Clouds,scattered clouds
1725163200000,22.5,63,1011,3.1,303,59,Clouds,scattered clouds
1725166800000,23.4,56,1012,3.4,128,39,Clouds,scattered clouds
1725170400000,23.2,63,1015,3.1,278,56,Clouds,scattered clouds
1725174000000,23.6,57,1008,3.7,316,45,Clouds,scattered clouds
1725177600000,22.9,65,1012,4.1,122,63,Clouds,scattered clouds
1725181200000,24.9,56,1013,4.4,83,53,Clouds,scattered clouds
1725184800000,23,58,1010,4,317,52,Clouds,scattered clouds
1725188400000,20.6,63,1015,4.7,184,58,Clouds,scattered clouds
1725192000000,21.5,64,1016,4.7,294,43,Clouds,scattered clouds
1725195600000,17.7,72,1013,4.6,164,64,Clouds,scattered clouds
1725199200000,16.5,66,1009,4.5,111,58,Clouds,scattered clouds
1725202800000,17.9,72,1012,6.1,168,62,Clouds,scattered clouds
1725206400000,14.7,73,1009,6,119,51,Clouds,scattered clouds
1725210000000,15.8,66,1016,6,170,54,Clouds,scattered clouds
1725213600000,14.8,71,1015,5.1,29,61,Clouds,scattered clouds
1725217200000,12.7,73,1013,4,304,49,Clouds,scattered clouds
1725220800000,11.7,78,1007,3.6,254,67,Clouds,scattered clouds
1725224400000,12.8,69,1017,3.3,165,51,Clouds,scattered clouds
1725228000000,12.9,74,1011,3.5,303,69,Clouds,scattered clouds
1725231600000,13,71,1018,2.1,354,57,Clouds,scattered clouds
1725235200000,13.4,75,1015,2.7,278,65,Clouds,scattered clouds
1725238800000,13.9,74,1017,3.9,156,61,Clouds,scattered clouds
1725242400000,14,75,1014,3.9,305,72,Clouds,scattered clouds
1725246000000,15,68,1013,4.1,83,63,Clouds,scattered clouds
1725249600000,15.6,67,1010,3.8,317,59,Clouds,scattered clouds
1725253200000,18.2,62,1017,5.1,88,58,Clouds,scattered clouds
1725256800000,17.8,70,1011,4.9,46,56,Clouds,scattered clouds
1725260400000,17.1,69,1011,5.9,303,65,Clouds,scattered clouds
1725264000000,16.1,75,1012,5.3,204,72,Clouds,scattered clouds
1725267600000,17.5,68,1007,5.7,82,56,Clouds,scattered clouds
1725271200000,14.9,68,1008,5.3,316,54,Clouds,scattered clouds
1725274800000,15,75,1012,5.1,122,70,Clouds,scattered clouds
1725278400000,13.5,72,1018,5,294,48,Clouds,scattered clouds
1725282000000,13.6,79,1009,5.1,146,63,Clouds,scattered clouds
1725285600000,9.7,76,1015,3.8,184,68,Clouds,scattered clouds
1725289200000,10.7,82,1009,3.1,169,74,Clouds,scattered clouds
1725292800000,9.3,82,1013,2.6,164,73,Clouds,scattered clouds
1725296400000,7.2,77,1009,2,111,67,Clouds,scattered clouds
1725300000000,7.8,81,1010,2.9,45,68,Clouds,scattered clouds
1725303600000,6.5,83,1009,3.7,119,59,Clouds,scattered clouds
1725307200000,5.3,86,1014,3.5,305,80,Clouds,overcast clouds
1725310800000,5.3,82,1015,4.3,29,70,Clouds,scattered clouds
1725314400000,6,81,1013,4,304,55,Clouds,scattered clouds
1725318000000,4.9,78,1017,4.8,88,70,Clouds,scattered clouds
1725321600000,6.1,77,1017,4.8,165,57,Clouds,scattered clouds
1725325200000,7.2,81,1011,5.7,303,74,Clouds,scattered clouds
1725328800000,6.3,77,1012,5.9,128,56,Clouds,scattered clouds
1725332400000,9.5,79,1015,5.2,278,69,Clouds,scattered clouds
1725336000000,7.8,76,1008,5.3,316,61,Clouds,scattered clouds
1725339600000,10.5,80,1012,5.3,122,75,Clouds,scattered clouds
1725343200000,8.9,75,1013,5,83,68,Clouds,scattered clouds
1725346800000,9.2,75,1010,4.1,317,65,Clouds,scattered clouds
1725350400000,10.2,72,1017,4.7,88,65,Clouds,scattered clouds
1725354000000,8,80,1016,3.6,294,56,Clouds,scattered clouds
1725357600000,8.3,83,1013,3,164,74,Clouds,scattered clouds
1725361200000,8.1,85,1012,3.2,204,79,Clouds,overcast clouds
1725364800000,6,82,1007,3.1,82,67,Clouds,scattered clouds
1725368400000,3.5,82,1009,3.4,333,59,Clouds,scattered clouds
1725372000000,2.5,91,1014,2.9,2,76,Rain,light rain
1725375600000,0.6,87,1018,3.6,294,61,Clouds,scattered clouds
1725379200000,1.6,84,1010,3.4,73,55,Clouds,scattered clouds
1725382800000,-0.6,88,1015,3.9,184,78,Clouds,overcast clouds
