ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.1,67,1010,3.8,148,44,Clouds,scattered clouds
1725152400000,18.1,67,1015,4.4,264,46,Clouds,scattered clouds
1725156000000,19.5,65,1012,3.4,195,62,Clouds,scattered clouds
1725159600000,21.5,62,1017,3.8,344,60,Clouds,scattered clouds
1725163200000,22.8,61,1019,3.4,309,39,Clouds,scattered clouds
1725166800000,22.7,59,1015,2.4,305,35,Clouds,scattered clouds
1725170400000,22.6,59,1017,3,126,54,Clouds,scattered clouds
1725174000000,23,56,1009,3.1,249,44,Clouds,scattered clouds
1725177600000,24.6,54,1008,4.8,26,54,Clouds,scattered clouds
1725181200000,22.6,64,1010,4.9,281,43,Clouds,scattered clouds
1725184800000,21.6,64,1012,4.6,257,63,Clouds,scattered clouds
1725188400000,22.1,67,1017,4.3,344,53,Clouds,scattered clouds
1725192000000,20,62,1014,6.3,273,45,Clouds,scattered clouds
1725195600000,20.1,61,1017,4.8,272,37,Clouds,scattered clouds
1725199200000,18.7,68,1015,5.4,57,60,Clouds,scattered clouds
1725202800000,17.5,67,1017,5.4,84,62,Clouds,scattered clouds
1725206400000,15.4,70,1014,5.8,135,48,Clouds,scattered clouds
1725210000000,15.7,73,1013,5.9,288,66,Clouds,scattered clouds
1725213600000,13.7,74,1011,4.5,34,71,Clouds,scattered clouds
1725217200000,12.4,74,1015,4.8,264,51,Clouds,scattered clouds
1725220800000,13.4,76,1018,4.4,210,56,Clouds,scattered clouds
1725224400000,13.1,74,1017,3.6,275,56,Clouds,scattered clouds
1725228000000,13.5,72,1019,3.8,309,48,Clouds,scattered clouds
1725231600000,12.2,73,1013,2.5,145,54,Clouds,scattered clouds
1725235200000,13.2,70,1017,2.6,126,63,Clouds,scattered clouds
1725238800000,13.4,68,1015,2.7,31,58,Clouds,scattered clouds
1725242400000,15.4,66,1014,3.4,143,58,Clouds,scattered clouds
1725246000000,17.1,70,1010,4.6,281,48,Clouds,scattered clouds
1725249600000,17.5,69,1012,4.3,257,67,Clouds,scattered clouds
1725253200000,17.9,67,1012,4.8,195,64,Clouds,scattered clouds
1725256800000,17.5,67,1017,5.9,344,64,Clouds,scattered clouds
1725260400000,17.4,68,1019,6.1,309,44,Clouds,scattered clouds
1725264000000,18.8,69,1018,5.6,196,59,Clouds,scattered clouds
1725267600000,16.1,71,1008,4.6,259,49,Clouds,scattered clouds
1725271200000,16.5,64,1009,4.7,249,51,Clouds,scattered clouds
1725274800000,16,64,1008,5.8,26,62,Clouds,scattered clouds
1725278400000,14.4,76,1018,5.2,54,72,Clouds,scattered clouds
1725282000000,12.2,76,1011,5.1,273,58,Clouds,scattered clouds
1725285600000,11.9,80,1017,3.4,344,62,Clouds,scattered clouds
1725289200000,10.2,79,1008,3.6,201,75,Clouds,scattered clouds
1725292800000,10.5,73,1017,2.8,272,46,Clouds,scattered clouds
1725296400000,9,80,1015,2.9,57,69,Clouds,scattered clouds
1725300000000,6.6,86,1007,3.1,250,58,Clouds,scattered clouds
1725303600000,5.1,82,1014,3.6,135,57,Clouds,scattered clouds
1725307200000,5.6,78,1014,3,143,68,Clouds,scattered clouds
1725310800000,6.9,83,1011,3.7,34,78,Clouds,overcast clouds
1725314400000,5.4,82,1015,4.7,264,58,Clouds,scattered clouds
1725318000000,6.4,81,1012,4.6,195,75,Clouds,scattered clouds
1725321600000,7.2,81,1017,5.1,275,62,Clouds,scattered clouds
1725325200000,6.9,80,1019,6,309,54,Clouds,scattered clouds
1725328800000,8.7,75,1015,4.9,305,48,Clouds,scattered clouds
1725332400000,9.1,75,1017,5.2,126,67,Clouds,scattered clouds
1725336000000,9,73,1009,4.8,249,58,Clouds,scattered clouds
1725339600000,10.8,70,1008,5.9,26,67,Clouds,scattered clouds
1725343200000,9.6,80,1010,5.5,281,55,Clouds,scattered clouds
1725346800000,9,80,1012,4.6,257,75,Clouds,scattered clouds
1725350400000,10.8,75,1012,4.5,195,71,Clouds,scattered clouds
1725354000000,10.6,74,1014,5.2,273,54,Clouds,scattered clouds
1725357600000,7.8,76,1017,3.1,272,49,Clouds,scattered clouds
1725361200000,8.2,82,1018,3.5,196,70,Clouds,scattered clouds
1725364800000,5.3,84,1008,2.1,259,59,Clouds,scattered clouds
1725368400000,5.5,82,1015,2.2,80,60,Clouds,scattered clouds
1725372000000,2.6,83,1013,3.8,265,76,Clouds,overcast clouds
1725375600000,3,90,1018,3.8,54,83,Clouds,overcast clouds
1725379200000,0,87,1012,4.1,58,79,Clouds,overcast clouds
1725382800000,-1.3,95,1017,3.5,344,75,Snow,light snow showers
1725386400000,-0.7,92,1008,4.4,201,85,Snow,light snow showers
1725390000000,-3.2,97,1010,5.5,240,72,Snow,light snow showers
1725393600000,-3.9,95,1015,5.2,57,82,Snow,light snow showers
1725397200000,-2.4,92,1016,5.8,260,84,Snow,light snow showers
1725400800000,-4.4,94,1014,6.1,135,67,Snow,light snow showers
1725404400000,-3,88,1014,5,143,76,Snow,light snow showers
1725408000000,-1.6,93,1010,5.6,281,66,Snow,light snow showers
1725411600000,-2.1,91,1015,5.6,264,65,Snow,light snow showers
1725415200000,-2.2,91,1012,4.7,195,83,Snow,light snow showers
1725418800000,-0.2,88,1017,5.3,344,81,Snow,light snow showers
1725422400000,0.2,88,1019,4.9,309,60,Snow,light snow showers
1725426000000,1.5,90,1018,3.9,196,76,Snow,light snow showers
1725429600000,0.4,90,1008,2.5,259,64,Snow,light snow showers
1725433200000,0.1,84,1009,2.1,249,66,Clouds,scattered clouds
1725436800000,-0.8,84,1008,3.2,26,78,Clouds,overcast clouds
1725440400000,0.5,90,1010,3.4,281,64,Snow,light snow showers
1725444000000,0.2,90,1011,4.1,273,70,Snow,light snow showers
1725447600000,-1.1,95,1017,3.2,344,75,Snow,light snow showers
1725451200000,-2.5,89,1014,5.4,273,66,Snow,light snow showers
1725454800000,-4.6,91,1017,4.1,272,61,Snow,light snow showers
1725458400000,-6.3,97,1015,5,57,83,Snow,light snow showers
1725462000000,-6.2,94,1017,5.2,163,82,Snow,light snow showers
1725465600000,-8.6,97,1015,5,80,72,Snow,light snow showers
1725469200000,-10.4,97,1009,4.7,153,70,Snow,light snow showers
1725472800000,-12,97,1018,5.7,54,89,Snow,light snow showers
1725476400000,-11.8,97,1012,5.5,58,87,Snow,light snow showers
1725480000000,-12,97,1009,5.3,205,86,Snow,light snow showers
1725483600000,-12,97,1008,4.5,201,89,Snow,light snow showers
1725487200000,-11.4,97,1019,4.2,90,82,Snow,light snow showers
1725490800000,-11.6,97,1015,4,57,83,Snow,light snow showers
1725494400000,-11.2,97,1016,4.1,260,88,Snow,light snow showers
1725498000000,-11.6,97,1019,3.9,297,69,Snow,light snow showers
1725501600000,-9.5,96,1014,2.3,143,82,Snow,light snow showers
1725505200000,-10,97,1010,3,281,69,Snow,light snow showers
1725508800000,-10.2,97,1012,2.9,257,89,Snow,light snow showers
1725512400000,-8.5,97,1012,3.5,195,88,Snow,light snow showers
1725516000000,-9.7,97,1014,5.1,273,72,Snow,light snow showers
1725519600000,-8.1,95,1017,3.8,272,64,Snow,light snow showers
1725523200000,-10.1,97,1018,5,196,82,Snow,light snow showers
1725526800000,-10.2,97,1008,4.3,259,69,Snow,light snow showers
1725530400000,-11.6,97,1009,4.6,249,77,Snow,light snow showers
1725534000000,-11.4,97,1013,6.2,265,87,Snow,light snow showers
1725537600000,-11.8,97,1018,5.7,54,89,Snow,light snow showers
1725541200000,-12,97,1011,5.9,273,75,Snow,light snow showers
1725544800000,-12,97,1017,4.4,344,76,Snow,light snow showers
1725548400000,-12,97,1008,4.8,201,89,Snow,light snow showers
1725552000000,-12,97,1010,5.3,240,72,Snow,light snow showers
1725555600000,-12,97,1015,4.4,57,83,Snow,light snow showers
1725559200000,-12,97,1016,4.5,260,88,Snow,light snow showers
1725562800000,-12,97,1015,3.2,80,72,Snow,light snow showers
1725566400000,-12,97,1009,2.4,153,70,Snow,light snow showers
1725570000000,-12,97,1017,2.6,92,77,Snow,light snow showers
1725573600000,-12,97,1012,2.9,58,87,Snow,light snow showers
1725577200000,-12,97,1018,2.4,227,70,Snow,light snow showers
1725580800000,-12,97,1008,3.4,201,89,Snow,light snow showers
1725584400000,-12,97,1019,3.8,90,82,Snow,light snow showers
1725588000000,-11.2,97,1013,5.2,329,84,Snow,light snow showers
1725591600000,-11.9,97,1016,5.3,260,88,Snow,light snow showers
1725595200000,-11.8,97,1019,5.8,297,69,Snow,light snow showers
1725598800000,-10.2,97,1016,6.1,156,88,Snow,light snow showers
1725602400000,-8.3,97,1010,5.7,281,69,Snow,light snow showers
1725606000000,-9.9,97,1011,5.9,273,75,Snow,light snow showers
1725609600000,-9.6,97,1017,4.5,344,76,Snow,light snow showers
1725613200000,-9.8,97,1014,6.2,273,72,Snow,light snow showers
1725616800000,-11.6,97,1017,4.4,272,66,Snow,light snow showers
1725620400000,-11.7,97,1018,4.9,196,82,Snow,light snow showers
1725624000000,-12,97,1017,4.3,163,84,Snow,light snow showers
1725627600000,-12,97,1015,3.6,80,72,Snow,light snow showers
1725631200000,-12,97,1013,4.3,265,87,Snow,light snow showers
1725634800000,-12,97,1018,3.3,54,89,Snow,light snow showers
1725638400000,-12,97,1012,2.7,58,87,Snow,light snow showers
1725642000000,-12,97,1009,3,205,86,Snow,light snow showers
1725645600000,-12,97,1008,3,201,89,Snow,light snow showers
1725649200000,-12,97,1019,3.5,90,82,Snow,light snow showers
1725652800000,-12,97,1015,4.2,57,83,Snow,light snow showers
1725656400000,-12,97,1016,5,260,88,Snow,light snow showers
