ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.6,67,1007,5.2,151,44,Clouds,scattered clouds
1725152400000,17.4,71,1017,3.8,347,55,Clouds,scattered clouds
1725156000000,17.9,71,1018,2.7,213,60,Clouds,scattered clouds
1725159600000,19.1,61,1015,2.9,343,38,Clouds,scattered clouds
1725163200000,22.1,63,1016,2.7,261,46,Clouds,scattered clouds
1725166800000,21.6,68,1008,2.7,180,46,Clouds,scattered clouds
1725170400000,22.2,64,1009,4.4,325,47,Clouds,scattered clouds
1725174000000,24.1,57,1012,3.3,159,51,Clouds,scattered clouds
1725177600000,22.3,60,1018,3.7,340,45,Clouds,scattered clouds
1725181200000,21.6,63,1007,4.9,0,62,Clouds,scattered clouds
1725184800000,22.6,60,1008,4.7,305,57,Clouds,scattered clouds
1725188400000,19.7,71,1015,5.3,352,46,Clouds,scattered clouds
1725192000000,19,69,1016,4.5,347,66,Clouds,scattered clouds
1725195600000,19.2,67,1012,4.8,257,63,Clouds,scattered clouds
1725199200000,16.9,65,1017,5,0,40,Clouds,scattered clouds
1725202800000,15.1,69,1011,4.4,135,58,Clouds,scattered clouds
1725206400000,15.4,66,1009,5,308,56,Clouds,scattered clouds
1725210000000,14.1,73,1015,5.6,111,49,Clouds,scattered clouds
1725213600000,14.2,69,1018,3.8,255,50,Clouds,scattered clouds
1725217200000,12.1,77,1017,4.1,347,60,Clouds,scattered clouds
1725220800000,11.4,79,1015,3.5,320,64,Clouds,scattered clouds
1725224400000,10.6,75,1015,4.4,258,67,Clouds,scattered clouds
1725228000000,12,76,1016,3.1,261,56,Clouds,scattered clouds
1725231600000,13.3,70,1015,2.6,252,63,Clouds,scattered clouds
1725235200000,13.6,74,1009,3.9,325,55,Clouds,scattered clouds
1725238800000,14.2,78,1013,2.9,164,52,Clouds,scattered clouds
1725242400000,14.3,72,1018,4.4,247,61,Clouds,scattered clouds
1725246000000,14.8,71,1007,4.6,0,69,Clouds,scattered clouds
1725249600000,17,66,1008,4.4,305,62,Clouds,scattered clouds
1725253200000,16.5,72,1018,4.1,213,61,Clouds,scattered clouds
1725256800000,16.3,64,1015,5,343,41,Clouds,scattered clouds
1725260400000,15.6,71,1016,5.5,261,52,Clouds,scattered clouds
1725264000000,16.5,71,1015,4.6,136,47,Clouds,scattered clouds
1725267600000,15.1,75,1007,5.5,41,62,Clouds,scattered clouds
1725271200000,15.5,67,1012,4.9,159,59,Clouds,scattered clouds
1725274800000,14.3,70,1018,4.7,340,53,Clouds,scattered clouds
1725278400000,14.7,70,1010,5.4,4,57,Clouds,scattered clouds
1725282000000,13,75,1016,4.8,315,60,Clouds,scattered clouds
1725285600000,10.5,82,1015,4.5,352,55,Clouds,scattered clouds
1725289200000,10.8,78,1017,4,15,59,Clouds,scattered clouds
1725292800000,8.1,80,1012,2.8,257,74,Clouds,scattered clouds
1725296400000,7.4,77,1017,2.5,0,50,Clouds,scattered clouds
