ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.4,67,1012,4.6,101,64,Clouds,scattered clouds
1725152400000,16.3,74,1010,4,21,49,Clouds,scattered clouds
1725156000000,17.9,71,1015,4.5,344,54,Clouds,scattered clouds
1725159600000,18.1,71,1015,3.1,358,66,Clouds,scattered clouds
1725163200000,21.5,68,1017,3,162,62,Clouds,scattered clouds
1725166800000,22.4,61,1010,3.7,23,61,Clouds,scattered clouds
1725170400000,22.6,61,1014,4,279,52,Clouds,scattered clouds
1725174000000,23,67,1012,4.2,213,65,Clouds,scattered clouds
1725177600000,22.9,66,1017,5,275,58,Clouds,scattered clouds
1725181200000,22.7,62,1010,5.5,346,56,Clouds,scattered clouds
1725184800000,23,64,1011,4.6,176,47,Clouds,scattered clouds
1725188400000,20.9,67,1012,5,26,60,Clouds,scattered clouds
1725192000000,18.6,62,1017,5.7,302,59,Clouds,scattered clouds
1725195600000,16.9,73,1012,5.4,348,57,Clouds,scattered clouds
1725199200000,16.9,74,1013,5.2,83,68,Clouds,scattered clouds
1725202800000,16.9,73,1014,4.8,315,56,Clouds,scattered clouds
1725206400000,15.1,71,1012,4.3,193,52,Clouds,scattered clouds
1725210000000,13,76,1009,4.9,47,50,Clouds,scattered clouds
1725213600000,12.5,75,1016,4.3,199,58,Clouds,scattered clouds
1725217200000,11.6,80,1010,4.3,21,53,Clouds,scattered clouds
1725220800000,10.9,71,1016,3,158,49,Clouds,scattered clouds
1725224400000,10.4,76,1014,3.4,18,54,Clouds,scattered clouds
1725228000000,10.5,81,1017,3.5,162,73,Clouds,scattered clouds
1725231600000,12.3,69,1015,3.1,29,68,Clouds,scattered clouds
1725235200000,10.7,76,1014,3.5,279,64,Clouds,scattered clouds
1725238800000,13.7,74,1016,2.9,41,60,Clouds,scattered clouds
1725242400000,12.7,75,1019,3.7,239,68,Clouds,scattered clouds
1725246000000,14.3,72,1010,5.2,346,64,Clouds,scattered clouds
1725249600000,14.9,74,1011,4.3,176,55,Clouds,scattered clouds
1725253200000,14.9,74,1015,5.9,344,57,Clouds,scattered clouds
1725256800000,15.2,75,1015,5.2,358,69,Clouds,scattered clouds
1725260400000,15.3,75,1017,5.8,162,68,Clouds,scattered clouds
1725264000000,16.2,75,1010,5.3,188,62,Clouds,scattered clouds
1725267600000,15.3,69,1018,4.6,18,44,Clouds,scattered clouds
1725271200000,13.4,79,1012,5.8,213,75,Clouds,scattered clouds
1725274800000,12,79,1017,6,275,68,Clouds,scattered clouds
1725278400000,11.7,77,1011,4.4,297,65,Clouds,scattered clouds
1725282000000,12,78,1009,5,326,53,Clouds,scattered clouds
1725285600000,8.9,82,1012,4.1,26,72,Clouds,scattered clouds
1725289200000,8.2,79,1008,4.6,158,56,Clouds,scattered clouds
1725292800000,8,83,1012,3.4,348,66,Clouds,scattered clouds
1725296400000,5.8,88,1013,2.7,83,79,Clouds,overcast clouds
1725300000000,5.2,81,1010,2.7,176,63,Clouds,scattered clouds
1725303600000,2.8,85,1012,2.1,193,64,Clouds,scattered clouds
1725307200000,4.3,85,1019,3.4,239,76,Clouds,overcast clouds
1725310800000,4.4,85,1016,3.5,199,65,Clouds,scattered clouds
1725314400000,3.2,90,1010,4.3,21,61,Clouds,scattered clouds
1725318000000,3.7,88,1015,5.6,344,67,Clouds,scattered clouds
1725321600000,3.1,85,1014,4.9,18,61,Clouds,scattered clouds
1725325200000,5.9,87,1017,5.7,162,77,Clouds,overcast clouds
1725328800000,4.4,83,1010,6.2,23,78,Clouds,overcast clouds
1725332400000,6.1,81,1014,6.1,279,68,Clouds,scattered clouds
1725336000000,7.9,85,1012,5.9,213,80,Clouds,overcast clouds
1725339600000,7.5,84,1017,6.2,275,73,Clouds,scattered clouds
1725343200000,8.4,79,1010,6.1,346,70,Clouds,scattered clouds
1725346800000,6.9,83,1011,4.6,176,62,Clouds,scattered clouds
1725350400000,6.3,85,1015,5.5,344,65,Clouds,scattered clouds
1725354000000,7,76,1017,4.6,302,70,Clouds,scattered clouds
1725357600000,5.7,86,1012,3.8,348,68,Clouds,scattered clouds
1725361200000,6.4,86,1010,3.2,188,71,Clouds,scattered clouds
1725364800000,3.2,83,1018,2,18,56,Clouds,scattered clouds
1725368400000,1.1,91,1010,1.8,355,74,Snow,light snow showers
1725372000000,1,85,1009,3.5,57,73,Clouds,scattered clouds
1725375600000,-0.3,91,1011,3,297,76,Snow,light snow showers
1725379200000,-1.4,87,1011,4.7,305,69,Clouds,scattered clouds
1725382800000,-1.6,94,1012,4.2,26,82,Snow,light snow showers
1725386400000,-3.6,93,1008,5.4,158,67,Snow,light snow showers
1725390000000,-4.1,97,1018,5.6,266,76,Snow,light snow showers
1725393600000,-6.5,97,1013,5,83,86,Snow,light snow showers
1725397200000,-4.1,97,1016,5.6,181,77,Snow,light snow showers
1725400800000,-6.5,96,1012,4.5,193,73,Snow,light snow showers
1725404400000,-6.1,97,1019,5.3,239,86,Snow,light snow showers
1725408000000,-5.7,96,1010,6.3,346,83,Snow,light snow showers
1725411600000,-4.7,97,1010,5.1,21,67,Snow,light snow showers
1725415200000,-4.2,97,1015,5.8,344,75,Snow,light snow showers
1725418800000,-3.9,97,1015,4.5,358,87,Snow,light snow showers
1725422400000,-3.6,97,1017,4.6,162,86,Snow,light snow showers
1725426000000,-3.2,97,1010,3.6,188,80,Snow,light snow showers
1725429600000,-1.3,89,1018,2.4,18,60,Snow,light snow showers
1725433200000,-3.8,97,1012,3.2,213,89,Snow,light snow showers
1725436800000,-1.3,95,1017,3.4,275,81,Snow,light snow showers
1725440400000,-3.3,93,1010,4,346,81,Snow,light snow showers
1725444000000,-4.2,97,1009,3.9,326,68,Snow,light snow showers
1725447600000,-5.1,97,1012,3.9,26,84,Snow,light snow showers
1725451200000,-6.8,92,1017,4.8,302,83,Snow,light snow showers
1725454800000,-8.2,97,1012,4.8,348,77,Snow,light snow showers
1725458400000,-9.7,97,1013,4.8,83,86,Snow,light snow showers
1725462000000,-11.3,97,1008,5.1,346,75,Snow,light snow showers
1725465600000,-12,97,1010,4.7,355,79,Snow,light snow showers
1725469200000,-12,97,1009,6.5,217,88,Snow,light snow showers
1725472800000,-12,97,1011,4.9,297,81,Snow,light snow showers
1725476400000,-12,97,1011,6,305,77,Snow,light snow showers
1725480000000,-12,97,1016,5.4,93,68,Snow,light snow showers
1725483600000,-12,97,1008,5.5,158,70,Snow,light snow showers
1725487200000,-12,97,1009,5,327,78,Snow,light snow showers
1725490800000,-12,97,1013,3.9,83,86,Snow,light snow showers
1725494400000,-12,97,1016,3.9,181,77,Snow,light snow showers
1725498000000,-12,97,1018,3.7,194,80,Snow,light snow showers
1725501600000,-12,97,1019,2.6,239,86,Snow,light snow showers
1725505200000,-11.5,97,1010,3.6,346,84,Snow,light snow showers
1725508800000,-11,97,1011,2.9,176,74,Snow,light snow showers
1725512400000,-10.6,97,1015,4.6,344,75,Snow,light snow showers
1725516000000,-9.9,96,1017,4.4,302,86,Snow,light snow showers
1725519600000,-10.4,97,1012,4.5,348,77,Snow,light snow showers
1725523200000,-9.2,97,1010,4.7,188,80,Snow,light snow showers
1725526800000,-11.9,97,1018,4.3,18,67,Snow,light snow showers
1725530400000,-10.6,97,1012,5.8,213,89,Snow,light snow showers
1725534000000,-12,97,1009,5.9,57,83,Snow,light snow showers
1725537600000,-12,97,1011,4.9,297,81,Snow,light snow showers
1725541200000,-12,97,1009,5.7,326,68,Snow,light snow showers
1725544800000,-12,97,1012,5.1,26,84,Snow,light snow showers
1725548400000,-12,97,1008,5.8,158,70,Snow,light snow showers
1725552000000,-12,97,1018,5.3,266,76,Snow,light snow showers
1725555600000,-12,97,1013,4.2,83,86,Snow,light snow showers
1725559200000,-12,97,1016,4.2,181,77,Snow,light snow showers
1725562800000,-12,97,1010,2.9,355,79,Snow,light snow showers
1725566400000,-12,97,1009,4.2,217,88,Snow,light snow showers
1725570000000,-12,97,1017,1.8,337,82,Snow,light snow showers
1725573600000,-12,97,1011,3.5,305,77,Snow,light snow showers
1725577200000,-12,97,1010,3.8,214,86,Snow,light snow showers
1725580800000,-12,97,1008,4.4,158,70,Snow,light snow showers
1725584400000,-12,97,1009,4.6,327,78,Snow,light snow showers
1725588000000,-11.5,97,1009,4.9,351,75,Snow,light snow showers
1725591600000,-10.9,97,1016,5.1,181,77,Snow,light snow showers
1725595200000,-11.7,97,1018,5.6,194,80,Snow,light snow showers
1725598800000,-9.1,97,1017,4.4,69,81,Snow,light snow showers
1725602400000,-8.5,97,1010,6.4,346,84,Snow,light snow showers
1725606000000,-9.6,97,1009,5.8,326,68,Snow,light snow showers
1725609600000,-9.8,97,1012,5.2,26,84,Snow,light snow showers
1725613200000,-11.5,97,1017,5.6,302,87,Snow,light snow showers
1725616800000,-10.3,97,1012,5,348,77,Snow,light snow showers
1725620400000,-12,97,1010,4.6,188,80,Snow,light snow showers
1725624000000,-12,97,1008,4.3,346,75,Snow,light snow showers
1725627600000,-12,97,1010,3.2,355,79,Snow,light snow showers
1725631200000,-12,97,1009,4,57,83,Snow,light snow showers
1725634800000,-12,97,1011,2.5,297,81,Snow,light snow showers
1725638400000,-12,97,1011,3.3,305,77,Snow,light snow showers
