ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.1,63,1013,5,161,60,Clouds,scattered clouds
1725152400000,18,68,1018,3.7,49,53,Clouds,scattered clouds
1725156000000,20.1,62,1017,2.9,112,50,Clouds,scattered clouds
1725159600000,21.6,58,1011,3.1,332,48,Clouds,scattered clouds
1725163200000,22.9,62,1015,3.4,80,46,Clouds,scattered clouds
1725166800000,23.4,58,1012,2.7,278,40,Clouds,scattered clouds
1725170400000,23.9,64,1015,3.6,54,55,Clouds,scattered clouds
1725174000000,25.6,56,1009,4.2,50,37,Clouds,scattered clouds
1725177600000,24.6,56,1013,4.2,110,34,Clouds,scattered clouds
1725181200000,23.5,66,1018,4.9,322,62,Clouds,scattered clouds
1725184800000,21.9,62,1007,5.5,311,52,Clouds,scattered clouds
1725188400000,22,61,1008,5.3,282,54,Clouds,scattered clouds
1725192000000,19.5,67,1018,6.2,323,63,Clouds,scattered clouds
1725195600000,19.5,67,1015,4.5,179,48,Clouds,scattered clouds
1725199200000,18.1,67,1012,4.7,325,55,Clouds,scattered clouds
1725202800000,18.5,72,1017,6,154,59,Clouds,scattered clouds
1725206400000,17,65,1011,5.4,175,62,Clouds,scattered clouds
1725210000000,14.8,72,1016,5.5,22,49,Clouds,scattered clouds
1725213600000,15.5,67,1018,5.4,84,61,Clouds,scattered clouds
1725217200000,13.4,74,1018,4,49,57,Clouds,scattered clouds
1725220800000,13.4,69,1010,4.4,130,61,Clouds,scattered clouds
1725224400000,12.9,77,1015,4.4,127,56,Clouds,scattered clouds
1725228000000,13.4,74,1015,3.9,80,55,Clouds,scattered clouds
1725231600000,14.2,71,1009,2.1,17,64,Clouds,scattered clouds
1725235200000,13.9,76,1015,3.2,54,65,Clouds,scattered clouds
1725238800000,15.7,72,1016,3.7,99,61,Clouds,scattered clouds
1725242400000,16.3,72,1009,3.3,279,69,Clouds,scattered clouds
1725246000000,16,75,1018,4.6,322,69,Clouds,scattered clouds
1725249600000,18.1,67,1007,5.2,311,55,Clouds,scattered clouds
1725253200000,18.3,64,1017,4.3,112,52,Clouds,scattered clouds
1725256800000,18.5,62,1011,5.2,332,51,Clouds,scattered clouds
1725260400000,18.2,68,1015,6.2,80,51,Clouds,scattered clouds
1725264000000,19.2,62,1016,6.1,339,59,Clouds,scattered clouds
1725267600000,16.9,72,1008,5.2,316,49,Clouds,scattered clouds
1725271200000,17.6,66,1009,5.8,50,45,Clouds,scattered clouds
1725274800000,14.9,68,1013,5.2,110,43,Clouds,scattered clouds
1725278400000,15.4,70,1018,4.2,42,63,Clouds,scattered clouds
1725282000000,14.8,76,1007,4.1,135,52,Clouds,scattered clouds
1725285600000,11.9,74,1008,4.4,282,63,Clouds,scattered clouds
1725289200000,11.5,73,1015,4.8,57,54,Clouds,scattered clouds
1725292800000,10.5,78,1015,2.5,179,57,Clouds,scattered clouds
1725296400000,8.9,78,1012,2.2,325,63,Clouds,scattered clouds
1725300000000,6.8,82,1018,3.5,322,53,Clouds,scattered clouds
1725303600000,5.8,79,1011,3.1,175,72,Clouds,scattered clouds
1725307200000,7.3,83,1009,2.9,279,77,Clouds,overcast clouds
1725310800000,5.1,79,1018,4.6,84,71,Clouds,scattered clouds
1725314400000,6.3,82,1018,4,49,64,Clouds,scattered clouds
1725318000000,5.4,80,1017,4.1,112,64,Clouds,scattered clouds
1725321600000,7.3,84,1015,5.9,127,62,Clouds,scattered clouds
1725325200000,8.5,80,1015,6.1,80,60,Clouds,scattered clouds
1725328800000,7,78,1012,5.2,278,55,Clouds,scattered clouds
1725332400000,7.6,84,1015,5.7,54,71,Clouds,scattered clouds
1725336000000,10.7,74,1009,5.8,50,51,Clouds,scattered clouds
1725339600000,9.6,74,1013,5.3,110,48,Clouds,scattered clouds
1725343200000,9.6,82,1018,5.5,322,75,Clouds,scattered clouds
1725346800000,9.1,78,1007,5.5,311,64,Clouds,scattered clouds
1725350400000,10.6,74,1017,4,112,59,Clouds,scattered clouds
1725354000000,10.1,78,1018,5.1,323,72,Clouds,scattered clouds
1725357600000,9.9,79,1015,2.9,179,58,Clouds,scattered clouds
1725361200000,6.4,78,1016,4,339,72,Clouds,scattered clouds
1725364800000,6,85,1008,2.6,316,60,Clouds,scattered clouds
1725368400000,3.6,88,1007,2.9,347,78,Clouds,overcast clouds
1725372000000,4.5,80,1012,3.7,86,55,Clouds,scattered clouds
1725375600000,2.2,86,1018,2.7,42,75,Clouds,scattered clouds
1725379200000,0.4,83,1010,3,223,74,Clouds,scattered clouds
1725382800000,-1.7,90,1008,4.5,282,76,Snow,light snow showers
1725386400000,-1.5,89,1015,5.6,57,66,Snow,light snow showers
1725390000000,-1.8,93,1016,4.1,255,84,Snow,light snow showers
1725393600000,-4,93,1012,4.5,325,76,Snow,light snow showers
1725397200000,-3.6,88,1017,5.8,213,74,Snow,light snow showers
1725400800000,-3.8,90,1011,5.6,175,82,Snow,light snow showers
1725404400000,-4.4,97,1009,4.9,279,88,Snow,light snow showers
1725408000000,-3.2,97,1018,5.6,322,87,Snow,light snow showers
