ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.9,65,1012,4.7,186,58,Clouds,scattered clouds
1725152400000,18.2,68,1008,4.8,165,61,Clouds,scattered clouds
1725156000000,20,68,1008,3,303,60,Clouds,scattered clouds
1725159600000,22.2,57,1014,3.4,128,38,Clouds,scattered clouds
1725163200000,22.6,64,1016,2.2,278,51,Clouds,scattered clouds
1725166800000,24.3,60,1013,2.7,156,58,Clouds,scattered clouds
1725170400000,23.7,62,1018,3.2,305,57,Clouds,scattered clouds
1725174000000,26.2,54,1016,4.8,83,44,Clouds,scattered clouds
1725177600000,24.2,55,1014,5,317,48,Clouds,scattered clouds
1725181200000,24,60,1016,5.2,88,55,Clouds,scattered clouds
1725184800000,24.4,56,1017,4.3,46,55,Clouds,scattered clouds
1725188400000,21.6,69,1012,6.1,164,47,Clouds,scattered clouds
1725192000000,20.2,61,1009,4.7,204,58,Clouds,scattered clouds
1725195600000,20.2,69,1007,5.7,82,60,Clouds,scattered clouds
1725199200000,18.9,67,1007,4.7,333,58,Clouds,scattered clouds
1725202800000,16.8,69,1010,4.5,312,65,Clouds,scattered clouds
1725206400000,15.8,66,1008,5.7,29,48,Clouds,scattered clouds
1725210000000,14.1,75,1012,4.2,321,64,Clouds,scattered clouds
1725213600000,15.7,69,1011,4.9,254,59,Clouds,scattered clouds
1725217200000,14,73,1008,5.1,165,65,Clouds,scattered clouds
1725220800000,12.1,73,1018,4,101,58,Clouds,scattered clouds
1725224400000,11.9,80,1012,3.4,354,74,Clouds,scattered clouds
1725228000000,11.4,78,1016,2.6,278,62,Clouds,scattered clouds
1725231600000,11.6,71,1009,2,119,54,Clouds,scattered clouds
1725235200000,14.8,72,1018,2.8,305,66,Clouds,scattered clouds
1725238800000,13.5,70,1014,3,122,67,Clouds,scattered clouds
1725242400000,16.3,66,1017,4.5,304,47,Clouds,scattered clouds
1725246000000,17,68,1016,4.8,88,62,Clouds,scattered clouds
1725249600000,16.2,66,1017,4,46,63,Clouds,scattered clouds
1725253200000,16.1,73,1008,4.3,303,64,Clouds,scattered clouds
1725256800000,17.7,63,1014,5.5,128,42,Clouds,scattered clouds
1725260400000,17.5,70,1016,5,278,56,Clouds,scattered clouds
1725264000000,17.4,72,1018,4.8,316,52,Clouds,scattered clouds
1725267600000,16.7,65,1018,5.5,122,45,Clouds,scattered clouds
1725271200000,15.9,66,1016,6.4,83,54,Clouds,scattered clouds
1725274800000,14.3,66,1014,6,317,58,Clouds,scattered clouds
1725278400000,13.4,70,1011,4.6,184,62,Clouds,scattered clouds
1725282000000,12.1,72,1010,4,294,61,Clouds,scattered clouds
1725285600000,12.7,79,1012,5.2,164,55,Clouds,scattered clouds
1725289200000,10.6,82,1010,3.4,111,77,Clouds,overcast clouds
1725292800000,8.6,83,1007,3.7,82,71,Clouds,scattered clouds
1725296400000,7,81,1007,2.1,333,69,Clouds,scattered clouds
1725300000000,7.4,75,1016,3.3,170,59,Clouds,scattered clouds
1725303600000,4.8,79,1008,3.4,29,58,Clouds,scattered clouds
1725307200000,5.4,79,1017,4.1,304,58,Clouds,scattered clouds
1725310800000,4.8,82,1011,4.1,254,70,Clouds,scattered clouds
1725314400000,6.3,82,1008,5.1,165,72,Clouds,scattered clouds
1725318000000,3.9,88,1008,4.1,303,76,Clouds,overcast clouds
1725321600000,6.9,86,1012,4.9,354,79,Clouds,overcast clouds
1725325200000,7.3,83,1016,4.9,278,66,Clouds,scattered clouds
1725328800000,7.1,81,1013,5.2,156,75,Clouds,scattered clouds
1725332400000,6.8,82,1018,5.4,305,73,Clouds,scattered clouds
1725336000000,9.2,75,1016,6.4,83,60,Clouds,scattered clouds
1725339600000,8.9,73,1014,6.2,317,63,Clouds,scattered clouds
1725343200000,9.3,78,1016,5.8,88,69,Clouds,scattered clouds
1725346800000,10,73,1017,4.3,46,69,Clouds,scattered clouds
1725350400000,8.4,82,1008,4,303,71,Clouds,scattered clouds
1725354000000,8.6,75,1009,3.6,204,69,Clouds,scattered clouds
1725357600000,8.3,83,1007,4.1,82,71,Clouds,scattered clouds
1725361200000,5.7,86,1018,2.7,316,63,Clouds,scattered clouds
1725364800000,7,77,1018,2.9,122,55,Clouds,scattered clouds
1725368400000,5.3,84,1018,2.6,294,62,Clouds,scattered clouds
1725372000000,4.2,80,1009,3.2,146,66,Clouds,scattered clouds
1725375600000,0.9,85,1011,3.1,184,74,Clouds,scattered clouds
1725379200000,0,87,1015,3.3,169,71,Clouds,scattered clouds
1725382800000,0,95,1012,5.3,164,67,Snow,light snow showers
1725386400000,-2.7,97,1010,4.3,111,89,Snow,light snow showers
1725390000000,-2.4,95,1009,4.8,83,75,Snow,light snow showers
1725393600000,-2.1,92,1007,4.5,333,78,Snow,light snow showers
1725397200000,-3.3,91,1017,6.2,122,74,Snow,light snow showers
1725400800000,-4.4,91,1008,5.9,29,67,Snow,light snow showers
1725404400000,-3.6,90,1017,6,304,67,Snow,light snow showers
1725408000000,-3.8,93,1016,5.9,88,82,Snow,light snow showers
1725411600000,-0.8,90,1008,5.9,165,79,Snow,light snow showers
1725415200000,-1.3,94,1008,4.3,303,81,Snow,light snow showers
1725418800000,-2.1,86,1014,4.9,128,61,Clouds,scattered clouds
1725422400000,-1.6,93,1016,3.8,278,74,Snow,light snow showers
1725426000000,0.3,92,1018,3.1,316,68,Snow,light snow showers
1725429600000,0.5,85,1018,3.3,122,61,Clouds,scattered clouds
