ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.2,63,1017,4.2,358,53,Clouds,scattered clouds
1725152400000,19,69,1018,4,73,47,Clouds,scattered clouds
1725156000000,21.4,61,1010,3.5,21,38,Clouds,scattered clouds
1725159600000,22.9,67,1012,3,78,50,Clouds,scattered clouds
1725163200000,22.9,61,1016,2.5,169,55,Clouds,scattered clouds
1725166800000,24.8,61,1010,2.4,288,43,Clouds,scattered clouds
1725170400000,26,52,1019,2.9,170,45,Clouds,scattered clouds
1725174000000,24.5,54,1012,3,123,34,Clouds,scattered clouds
1725177600000,26.5,60,1014,3.3,324,37,Clouds,scattered clouds
1725181200000,25.6,56,1018,5,55,53,Clouds,scattered clouds
1725184800000,24.3,59,1017,5.2,154,37,Clouds,scattered clouds
1725188400000,23.8,65,1014,6,41,42,Clouds,scattered clouds
1725192000000,23.1,58,1018,5,179,51,Clouds,scattered clouds
1725195600000,22,65,1018,4.9,311,47,Clouds,scattered clouds
1725199200000,21.2,65,1019,5.7,158,59,Clouds,scattered clouds
1725202800000,18.2,62,1016,5.3,327,39,Clouds,scattered clouds
1725206400000,17.1,68,1014,5.2,142,66,Clouds,scattered clouds
1725210000000,16.6,65,1008,5.6,87,55,Clouds,scattered clouds
1725213600000,17,67,1019,5.1,236,60,Clouds,scattered clouds
1725217200000,16,72,1018,4.4,73,50,Clouds,scattered clouds
1725220800000,15.4,72,1018,4.5,307,68,Clouds,scattered clouds
1725224400000,16.2,64,1017,3.7,54,54,Clouds,scattered clouds
1725228000000,13.7,72,1016,2.9,169,64,Clouds,scattered clouds
1725231600000,14.1,71,1013,2.3,322,58,Clouds,scattered clouds
1725235200000,14.7,65,1019,2.5,170,55,Clouds,scattered clouds
1725238800000,15.1,75,1019,2.6,97,52,Clouds,scattered clouds
1725242400000,16.8,68,1009,3.2,129,66,Clouds,scattered clouds
1725246000000,17,67,1018,4.6,55,61,Clouds,scattered clouds
1725249600000,17.9,67,1017,4.9,154,43,Clouds,scattered clouds
1725253200000,18.6,65,1010,4.9,21,40,Clouds,scattered clouds
1725256800000,17.8,74,1012,5.1,78,55,Clouds,scattered clouds
1725260400000,20.1,64,1016,5.3,169,57,Clouds,scattered clouds
1725264000000,19,69,1008,6,314,50,Clouds,scattered clouds
1725267600000,17.9,62,1013,5.8,67,44,Clouds,scattered clouds
1725271200000,18.6,61,1012,4.6,123,40,Clouds,scattered clouds
1725274800000,16.9,72,1014,4.3,324,46,Clouds,scattered clouds
1725278400000,14.8,72,1018,5.7,315,53,Clouds,scattered clouds
1725282000000,13.4,75,1014,4.9,122,62,Clouds,scattered clouds
1725285600000,12,79,1014,5.1,41,54,Clouds,scattered clouds
1725289200000,10.8,79,1014,4.3,199,72,Clouds,scattered clouds
1725292800000,8.9,80,1018,2.8,311,60,Clouds,scattered clouds
1725296400000,8.9,80,1019,3.2,158,71,Clouds,scattered clouds
1725300000000,7.1,80,1011,3.3,216,61,Clouds,scattered clouds
1725303600000,8.3,79,1014,2.9,142,75,Clouds,scattered clouds
1725307200000,7.4,79,1009,2.8,129,76,Clouds,overcast clouds
1725310800000,6.9,80,1019,4.3,236,70,Clouds,scattered clouds
1725314400000,6.9,83,1018,4.4,73,59,Clouds,scattered clouds
1725318000000,7.5,78,1010,4.6,21,51,Clouds,scattered clouds
1725321600000,7,75,1017,5.2,54,63,Clouds,scattered clouds
1725325200000,7,80,1016,5.2,169,70,Clouds,scattered clouds
1725328800000,9.3,80,1010,4.9,288,58,Clouds,scattered clouds
1725332400000,7.9,74,1019,5,170,62,Clouds,scattered clouds
1725336000000,10.3,71,1012,4.6,123,48,Clouds,scattered clouds
1725339600000,10.3,80,1014,4.4,324,52,Clouds,scattered clouds
1725343200000,9.2,76,1018,5.5,55,69,Clouds,scattered clouds
1725346800000,11.8,74,1017,5.2,154,49,Clouds,scattered clouds
1725350400000,10.2,75,1010,4.5,21,48,Clouds,scattered clouds
1725354000000,10.8,73,1018,3.9,179,63,Clouds,scattered clouds
1725357600000,8.3,81,1018,3.2,311,60,Clouds,scattered clouds
1725361200000,8.8,81,1008,3.9,314,60,Clouds,scattered clouds
1725364800000,7.1,75,1013,3.2,67,55,Clouds,scattered clouds
1725368400000,4.5,88,1013,2.5,274,71,Clouds,scattered clouds
1725372000000,2.8,85,1007,2.7,237,75,Clouds,scattered clouds
1725375600000,3.5,85,1018,4.3,315,63,Clouds,scattered clouds
1725379200000,1.8,87,1018,3.7,193,67,Clouds,scattered clouds
1725382800000,0,94,1014,5.2,41,65,Snow,light snow showers
1725386400000,-0.3,93,1014,5.2,199,83,Snow,light snow showers
1725390000000,-0.7,93,1017,5.8,205,78,Snow,light snow showers
1725393600000,-1.2,92,1019,5.5,158,81,Snow,light snow showers
1725397200000,-1.8,89,1016,5.5,18,77,Snow,light snow showers
1725400800000,-3.6,93,1014,5.4,142,86,Snow,light snow showers
1725404400000,-1.3,89,1009,4.8,129,84,Snow,light snow showers
1725408000000,-1.8,89,1018,5.7,55,79,Snow,light snow showers
1725411600000,0.1,92,1018,5.2,73,65,Snow,light snow showers
1725415200000,0.5,86,1010,4.8,21,58,Clouds,scattered clouds
1725418800000,0.9,94,1012,4.4,78,71,Snow,light snow showers
1725422400000,2.4,85,1016,4.1,169,74,Clouds,scattered clouds
1725426000000,1.9,90,1008,4.3,314,66,Snow,light snow showers
1725429600000,0.8,83,1013,3.6,67,61,Clouds,scattered clouds
1725433200000,2.9,80,1012,2,123,55,Clouds,scattered clouds
1725436800000,1.9,90,1014,1.7,324,61,Snow,light snow showers
1725440400000,1.9,85,1018,3.5,55,76,Clouds,overcast clouds
1725444000000,-0.2,91,1014,3.8,122,75,Snow,light snow showers
1725447600000,-1,95,1014,4.9,41,66,Snow,light snow showers
1725451200000,-2.1,89,1018,4.1,179,75,Snow,light snow showers
1725454800000,-4.5,96,1018,4.2,311,73,Snow,light snow showers
1725458400000,-3.8,95,1019,5.3,158,83,Snow,light snow showers
1725462000000,-5.6,95,1007,4.9,76,66,Snow,light snow showers
1725465600000,-7.5,97,1013,5.4,274,79,Snow,light snow showers
1725469200000,-8.8,97,1012,6.2,29,82,Snow,light snow showers
1725472800000,-9.9,97,1018,6.2,315,73,Snow,light snow showers
1725476400000,-10.4,97,1018,5,193,76,Snow,light snow showers
1725480000000,-10.5,97,1012,4.4,47,78,Snow,light snow showers
1725483600000,-10.4,97,1014,5.3,199,86,Snow,light snow showers
1725487200000,-10.5,96,1013,3.8,21,86,Snow,light snow showers
1725490800000,-10,97,1019,4.4,158,85,Snow,light snow showers
1725494400000,-11.3,97,1016,3.8,18,83,Snow,light snow showers
1725498000000,-10.7,97,1011,2.6,162,79,Snow,light snow showers
1725501600000,-9.5,97,1009,2.1,129,90,Snow,light snow showers
1725505200000,-7.7,96,1018,3.1,55,85,Snow,light snow showers
1725508800000,-7.5,97,1017,3.5,154,67,Snow,light snow showers
1725512400000,-7.4,96,1010,3.6,21,65,Snow,light snow showers
1725516000000,-8.8,97,1018,3.7,179,82,Snow,light snow showers
1725519600000,-9,97,1018,3.9,311,73,Snow,light snow showers
1725523200000,-9.2,97,1008,5.4,314,72,Snow,light snow showers
1725526800000,-9.8,95,1013,5.4,67,71,Snow,light snow showers
1725530400000,-11,96,1012,4.5,123,68,Snow,light snow showers
1725534000000,-11.1,97,1007,5,237,84,Snow,light snow showers
