ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19,68,1013,4.6,147,60,Clouds,scattered clouds
1725152400000,19.6,62,1009,3.3,43,48,Clouds,scattered clouds
1725156000000,21.9,58,1011,3.1,96,47,Clouds,scattered clouds
1725159600000,22.2,58,1015,2.9,26,52,Clouds,scattered clouds
1725163200000,22.8,66,1011,3,97,63,Clouds,scattered clouds
1725166800000,25.3,57,1014,3.9,229,48,Clouds,scattered clouds
1725170400000,25,54,1008,3.9,224,54,Clouds,scattered clouds
1725174000000,25.3,61,1008,3.3,126,44,Clouds,scattered clouds
1725177600000,25.8,56,1013,4,147,34,Clouds,scattered clouds
1725181200000,26.2,52,1014,4.1,96,34,Clouds,scattered clouds
1725184800000,22.9,56,1016,5.1,188,48,Clouds,scattered clouds
1725188400000,23.1,63,1009,5.1,87,40,Clouds,scattered clouds
1725192000000,20.5,68,1009,5.7,238,54,Clouds,scattered clouds
1725195600000,19.6,68,1017,5.5,284,44,Clouds,scattered clouds
1725199200000,18.7,68,1011,5.6,109,59,Clouds,scattered clouds
1725202800000,17.1,68,1009,5.8,199,44,Clouds,scattered clouds
1725206400000,17.9,71,1016,5.9,222,52,Clouds,scattered clouds
1725210000000,17.1,66,1012,4.1,29,41,Clouds,scattered clouds
1725213600000,15.3,65,1019,4.2,133,42,Clouds,scattered clouds
1725217200000,15,68,1009,3.7,43,53,Clouds,scattered clouds
1725220800000,14.1,74,1016,3.9,40,65,Clouds,scattered clouds
1725224400000,12.8,74,1010,3.2,101,70,Clouds,scattered clouds
1725228000000,12.6,78,1011,3.5,97,72,Clouds,scattered clouds
1725231600000,13.5,71,1008,1.9,282,44,Clouds,scattered clouds
1725235200000,13,68,1008,3.5,224,65,Clouds,scattered clouds
1725238800000,15.7,66,1009,3.5,267,61,Clouds,scattered clouds
1725242400000,15.5,69,1017,3.5,282,57,Clouds,scattered clouds
1725246000000,16.9,63,1014,3.7,96,43,Clouds,scattered clouds
1725249600000,18,62,1016,4.9,188,53,Clouds,scattered clouds
1725253200000,19.1,61,1011,4.5,96,50,Clouds,scattered clouds
1725256800000,18.1,63,1015,5,26,56,Clouds,scattered clouds
1725260400000,19.5,70,1011,5.8,97,66,Clouds,scattered clouds
1725264000000,17.9,70,1007,4.6,279,60,Clouds,scattered clouds
1725267600000,18.1,66,1010,5.2,39,47,Clouds,scattered clouds
1725271200000,16.7,71,1008,4.9,126,52,Clouds,scattered clouds
1725274800000,17.4,66,1013,5,147,42,Clouds,scattered clouds
1725278400000,14.4,76,1011,4.2,330,52,Clouds,scattered clouds
1725282000000,15,68,1019,5.5,310,53,Clouds,scattered clouds
1725285600000,12.2,76,1009,4.2,87,51,Clouds,scattered clouds
1725289200000,10.7,80,1016,3.8,125,72,Clouds,scattered clouds
1725292800000,8.6,81,1017,3.4,284,55,Clouds,scattered clouds
1725296400000,7.3,82,1011,3,109,70,Clouds,scattered clouds
1725300000000,6.6,81,1014,1.8,48,55,Clouds,scattered clouds
1725303600000,5.7,86,1016,3.6,222,64,Clouds,scattered clouds
1725307200000,5.9,81,1017,3.1,282,66,Clouds,scattered clouds
1725310800000,6.7,76,1019,3.4,133,50,Clouds,scattered clouds
