ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.1,72,1011,3.7,257,56,Clouds,scattered clouds
1725152400000,16.1,65,1013,4.6,136,61,Clouds,scattered clouds
1725156000000,18.7,67,1019,4.1,287,50,Clouds,scattered clouds
1725159600000,20.3,68,1017,3.8,253,53,Clouds,scattered clouds
1725163200000,20.8,68,1014,2.6,128,44,Clouds,scattered clouds
1725166800000,23.3,66,1013,3.7,4,53,Clouds,scattered clouds
1725170400000,23,58,1007,3.2,315,38,Clouds,scattered clouds
1725174000000,22.7,60,1016,3.5,306,56,Clouds,scattered clouds
1725177600000,23.9,60,1014,3.9,15,36,Clouds,scattered clouds
1725181200000,23.3,65,1012,4.5,274,53,Clouds,scattered clouds
1725184800000,23.4,66,1015,5.7,0,61,Clouds,scattered clouds
1725188400000,20.9,61,1012,5,294,48,Clouds,scattered clouds
1725192000000,19.1,63,1008,5.4,309,44,Clouds,scattered clouds
1725195600000,17.5,73,1019,6.4,48,60,Clouds,scattered clouds
1725199200000,17.7,71,1018,4.9,101,58,Clouds,scattered clouds
1725202800000,17.6,67,1007,5.4,347,51,Clouds,scattered clouds
1725206400000,16.1,70,1017,4.4,213,66,Clouds,scattered clouds
1725210000000,15,66,1008,5.2,87,48,Clouds,scattered clouds
1725213600000,13.4,73,1009,4.3,261,62,Clouds,scattered clouds
1725217200000,12.4,70,1013,4.9,136,64,Clouds,scattered clouds
1725220800000,13.5,78,1008,4.3,325,50,Clouds,scattered clouds
1725224400000,12.3,76,1012,3,159,65,Clouds,scattered clouds
1725228000000,12.5,78,1014,3,128,52,Clouds,scattered clouds
1725231600000,13.2,79,1012,2.5,0,75,Clouds,scattered clouds
1725235200000,13.2,70,1007,2.8,315,48,Clouds,scattered clouds
1725238800000,13,76,1014,2.4,352,65,Clouds,scattered clouds
1725242400000,14.9,73,1013,4.1,347,65,Clouds,scattered clouds
1725246000000,15.4,75,1012,4.2,274,61,Clouds,scattered clouds
1725249600000,17.6,73,1015,5.4,0,67,Clouds,scattered clouds
1725253200000,17.8,68,1019,5.5,287,51,Clouds,scattered clouds
1725256800000,16.9,72,1017,5.9,253,56,Clouds,scattered clouds
1725260400000,18.7,70,1014,5.3,128,46,Clouds,scattered clouds
1725264000000,17.2,67,1012,4.5,25,54,Clouds,scattered clouds
1725267600000,18.3,63,1017,6.4,15,41,Clouds,scattered clouds
1725271200000,15.9,68,1016,5.1,306,62,Clouds,scattered clouds
1725274800000,15.7,70,1014,4.9,15,44,Clouds,scattered clouds
1725278400000,14.9,76,1010,4.5,343,70,Clouds,scattered clouds
1725282000000,12.8,70,1010,3.8,91,63,Clouds,scattered clouds
1725285600000,12.6,71,1012,4.1,294,55,Clouds,scattered clouds
1725289200000,11.1,75,1014,4.6,70,62,Clouds,scattered clouds
1725292800000,8.8,83,1019,4.4,48,69,Clouds,scattered clouds
1725296400000,9.1,81,1018,2.3,101,66,Clouds,scattered clouds
1725300000000,6.8,80,1016,2.1,26,75,Clouds,scattered clouds
1725303600000,5.5,83,1017,2.2,213,76,Clouds,overcast clouds
1725307200000,6.8,83,1013,3.7,347,72,Clouds,scattered clouds
1725310800000,6.9,81,1009,3.4,261,69,Clouds,scattered clouds
1725314400000,4.9,79,1013,4.9,136,72,Clouds,scattered clouds
1725318000000,6.6,81,1019,5.3,287,61,Clouds,scattered clouds
1725321600000,5.4,84,1012,4.5,159,72,Clouds,scattered clouds
1725325200000,7.6,84,1014,5.2,128,57,Clouds,scattered clouds
1725328800000,8.9,83,1013,6.3,4,67,Clouds,scattered clouds
1725332400000,8,76,1007,5.3,315,53,Clouds,scattered clouds
1725336000000,8.3,77,1016,5.2,306,69,Clouds,scattered clouds
1725339600000,8.7,78,1014,5,15,51,Clouds,scattered clouds
1725343200000,10.6,81,1012,5.1,274,65,Clouds,scattered clouds
1725346800000,8.9,83,1015,5.7,0,75,Clouds,scattered clouds
1725350400000,8.5,79,1019,5.2,287,60,Clouds,scattered clouds
1725354000000,9.8,74,1008,4.3,309,53,Clouds,scattered clouds
1725357600000,7.1,85,1019,4.8,48,70,Clouds,scattered clouds
1725361200000,7.2,79,1012,2.4,25,63,Clouds,scattered clouds
1725364800000,4.8,79,1017,3.8,15,54,Clouds,scattered clouds
1725368400000,4.9,82,1009,3.2,305,78,Clouds,overcast clouds
1725372000000,2.4,92,1012,3.4,84,73,Rain,light rain
1725375600000,2.2,92,1010,3.1,343,82,Rain,light rain
1725379200000,0.7,89,1011,4.2,336,73,Snow,light snow showers
1725382800000,0.4,85,1012,4.2,294,67,Clouds,scattered clouds
1725386400000,-2,91,1014,5.5,70,75,Snow,light snow showers
1725390000000,-3.1,93,1007,5.9,210,80,Snow,light snow showers
1725393600000,-4.2,97,1018,4.7,101,78,Snow,light snow showers
1725397200000,-2.7,97,1017,6.4,15,75,Snow,light snow showers
1725400800000,-2.7,93,1017,4.7,213,84,Snow,light snow showers
1725404400000,-1.9,93,1013,5.7,347,81,Snow,light snow showers
1725408000000,-2,96,1012,5.3,274,77,Snow,light snow showers
1725411600000,-2,87,1013,5.7,136,78,Clouds,overcast clouds
1725415200000,-1.6,91,1019,5.4,287,69,Snow,light snow showers
1725418800000,0.5,91,1017,5.3,253,72,Snow,light snow showers
1725422400000,0.1,93,1014,4.2,128,64,Snow,light snow showers
1725426000000,-0.1,88,1012,2.8,25,70,Clouds,scattered clouds
