ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.9,68,1015,4.5,219,65,Clouds,scattered clouds
1725152400000,19,65,1014,4.8,4,46,Clouds,scattered clouds
1725156000000,18.7,71,1010,4.1,15,48,Clouds,scattered clouds
1725159600000,21.6,65,1012,2.4,250,57,Clouds,scattered clouds
1725163200000,23.2,64,1012,2.4,15,61,Clouds,scattered clouds
1725166800000,24.9,54,1017,3.5,333,54,Clouds,scattered clouds
1725170400000,23.3,62,1019,3.4,0,61,Clouds,scattered clouds
1725174000000,24.2,57,1018,2.9,294,50,Clouds,scattered clouds
1725177600000,23.1,56,1008,4.7,99,36,Clouds,scattered clouds
1725181200000,23.4,62,1009,3.7,48,59,Clouds,scattered clouds
1725184800000,24.5,57,1008,5.3,107,47,Clouds,scattered clouds
1725188400000,20.6,67,1018,5.9,277,64,Clouds,scattered clouds
1725192000000,19.3,64,1011,5.5,305,55,Clouds,scattered clouds
1725195600000,19.5,62,1017,5.5,168,43,Clouds,scattered clouds
1725199200000,18.7,66,1008,5.1,334,50,Clouds,scattered clouds
1725202800000,15.9,70,1010,5.3,180,66,Clouds,scattered clouds
1725206400000,15.5,66,1013,5.6,41,41,Clouds,scattered clouds
1725210000000,14.2,71,1007,5.6,159,61,Clouds,scattered clouds
1725213600000,12.4,70,1014,4.4,340,48,Clouds,scattered clouds
1725217200000,13.8,72,1014,5.1,4,51,Clouds,scattered clouds
1725220800000,13.1,78,1011,4.9,305,74,Clouds,scattered clouds
1725224400000,11.7,72,1015,3.6,352,69,Clouds,scattered clouds
1725228000000,12.8,76,1012,2.8,15,71,Clouds,scattered clouds
1725231600000,12.7,70,1017,1.7,257,55,Clouds,scattered clouds
1725235200000,12.9,74,1019,3,0,71,Clouds,scattered clouds
1725238800000,14,72,1015,2.9,233,64,Clouds,scattered clouds
1725242400000,15.8,74,1017,4.5,253,64,Clouds,scattered clouds
1725246000000,16.6,70,1009,3.4,48,66,Clouds,scattered clouds
1725249600000,15.6,67,1008,5.1,107,55,Clouds,scattered clouds
1725253200000,15.9,74,1010,5.4,15,51,Clouds,scattered clouds
1725256800000,17,70,1012,4.5,250,62,Clouds,scattered clouds
1725260400000,18.5,69,1012,5.2,15,65,Clouds,scattered clouds
1725264000000,17.5,73,1014,4.6,343,51,Clouds,scattered clouds
1725267600000,16.6,69,1017,5.1,288,63,Clouds,scattered clouds
1725271200000,17.2,66,1018,4.5,294,57,Clouds,scattered clouds
1725274800000,14.6,66,1008,5.7,99,44,Clouds,scattered clouds
1725278400000,14.7,73,1015,5.6,259,71,Clouds,scattered clouds
1725282000000,13.2,70,1013,5,101,47,Clouds,scattered clouds
1725285600000,11.7,78,1018,5.1,277,73,Clouds,scattered clouds
1725289200000,9.8,80,1012,3.3,60,59,Clouds,scattered clouds
1725292800000,9.8,74,1017,3.5,168,52,Clouds,scattered clouds
1725296400000,7.4,80,1008,2.6,334,61,Clouds,scattered clouds
1725300000000,7.5,78,1014,2,136,57,Clouds,scattered clouds
1725303600000,6.4,77,1013,3.3,41,50,Clouds,scattered clouds
1725307200000,6.8,84,1017,4.1,253,73,Clouds,scattered clouds
1725310800000,5.2,79,1014,3.6,340,55,Clouds,scattered clouds
1725314400000,4.3,83,1014,5.1,4,61,Clouds,scattered clouds
1725318000000,5.6,86,1010,5.2,15,61,Clouds,scattered clouds
1725321600000,7.5,77,1015,5.1,352,73,Clouds,scattered clouds
1725325200000,8.2,82,1012,5.1,15,75,Clouds,scattered clouds
1725328800000,6.6,76,1017,6,333,72,Clouds,scattered clouds
1725332400000,9.8,78,1019,5.5,0,74,Clouds,scattered clouds
1725336000000,7.9,77,1018,4.6,294,66,Clouds,scattered clouds
1725339600000,8.3,74,1008,5.8,99,50,Clouds,scattered clouds
1725343200000,10.5,77,1009,4.3,48,72,Clouds,scattered clouds
1725346800000,9.4,75,1008,5.4,107,61,Clouds,scattered clouds
1725350400000,10.6,80,1010,5.1,15,56,Clouds,scattered clouds
1725354000000,9.3,76,1011,4.4,305,65,Clouds,scattered clouds
1725357600000,8.5,76,1017,3.9,168,53,Clouds,scattered clouds
1725361200000,6.9,86,1014,2.5,343,62,Clouds,scattered clouds
1725364800000,7.6,79,1017,2.5,288,72,Clouds,scattered clouds
1725368400000,4,83,1015,2.5,135,65,Clouds,scattered clouds
1725372000000,2.9,87,1017,3.7,70,76,Clouds,overcast clouds
1725375600000,0.6,90,1015,4.2,259,84,Snow,light snow showers
1725379200000,-0.1,89,1009,3.5,237,77,Snow,light snow showers
1725382800000,0.7,91,1018,5.2,277,83,Snow,light snow showers
1725386400000,-3,96,1012,4.2,60,71,Snow,light snow showers
1725390000000,-1.3,86,1009,4.4,129,74,Clouds,scattered clouds
1725393600000,-3,92,1008,4.9,334,71,Snow,light snow showers
1725397200000,-3.7,87,1019,5.1,233,82,Clouds,overcast clouds
1725400800000,-2.2,88,1013,5.8,41,58,Clouds,scattered clouds
1725404400000,-2.5,96,1017,6,253,82,Snow,light snow showers
1725408000000,-3.1,93,1009,4.4,48,85,Snow,light snow showers
1725411600000,-3.3,92,1014,5.9,4,68,Snow,light snow showers
1725415200000,-0.7,94,1010,5.4,15,67,Snow,light snow showers
1725418800000,-0.2,91,1012,3.9,250,78,Snow,light snow showers
1725422400000,-0.8,93,1012,4,15,84,Snow,light snow showers
1725426000000,-1,95,1014,2.9,343,69,Snow,light snow showers
1725429600000,0.6,88,1017,2.9,288,78,Clouds,overcast clouds
1725433200000,0.9,85,1018,1.9,294,73,Clouds,scattered clouds
1725436800000,-0.4,84,1008,3.1,99,59,Clouds,scattered clouds
1725440400000,-1.8,92,1009,2.2,48,83,Snow,light snow showers
1725444000000,-0.3,86,1013,3.9,101,60,Clouds,scattered clouds
1725447600000,-3.2,96,1018,4.8,277,87,Snow,light snow showers
1725451200000,-4.7,92,1011,4.6,305,78,Snow,light snow showers
1725454800000,-5.3,92,1017,4.8,168,66,Snow,light snow showers
1725458400000,-5.4,95,1008,4.8,334,73,Snow,light snow showers
1725462000000,-7,97,1010,6.2,336,72,Snow,light snow showers
1725465600000,-9,97,1015,5.4,135,76,Snow,light snow showers
1725469200000,-10.5,97,1016,5.6,338,67,Snow,light snow showers
1725472800000,-12,97,1015,6.1,259,90,Snow,light snow showers
1725476400000,-12,97,1009,4.8,237,84,Snow,light snow showers
1725480000000,-12,97,1017,4.9,15,89,Snow,light snow showers
1725483600000,-12,97,1012,4.2,60,72,Snow,light snow showers
1725487200000,-12,97,1018,3.8,157,77,Snow,light snow showers
1725490800000,-12,97,1008,3.8,334,74,Snow,light snow showers
1725494400000,-12,97,1019,3.4,233,89,Snow,light snow showers
1725498000000,-12,97,1013,2.5,208,83,Snow,light snow showers
1725501600000,-11.5,97,1017,3.3,253,83,Snow,light snow showers
1725505200000,-11.6,97,1009,1.8,48,88,Snow,light snow showers
1725508800000,-9.1,97,1008,3.6,107,79,Snow,light snow showers
1725512400000,-8.9,97,1010,4.2,15,70,Snow,light snow showers
1725516000000,-9.5,97,1011,4.3,305,82,Snow,light snow showers
1725519600000,-8.9,96,1017,4.5,168,70,Snow,light snow showers
1725523200000,-9.5,97,1014,4,343,70,Snow,light snow showers
1725526800000,-10.4,97,1017,4.8,288,86,Snow,light snow showers
1725530400000,-11,97,1018,4.4,294,82,Snow,light snow showers
1725534000000,-11,97,1017,6,70,84,Snow,light snow showers
1725537600000,-12,97,1015,6.1,259,90,Snow,light snow showers
1725541200000,-12,97,1013,5.7,101,69,Snow,light snow showers
1725544800000,-12,97,1018,6,277,88,Snow,light snow showers
1725548400000,-12,97,1012,4.5,60,72,Snow,light snow showers
1725552000000,-12,97,1009,4.2,129,82,Snow,light snow showers
1725555600000,-12,97,1008,4.1,334,74,Snow,light snow showers
1725559200000,-12,97,1019,3.8,233,89,Snow,light snow showers
1725562800000,-12,97,1015,3.6,135,76,Snow,light snow showers
1725566400000,-12,97,1016,3.3,338,67,Snow,light snow showers
1725570000000,-12,97,1012,3,63,79,Snow,light snow showers
1725573600000,-12,97,1009,2.3,237,84,Snow,light snow showers
1725577200000,-12,97,1014,3.7,201,70,Snow,light snow showers
1725580800000,-12,97,1012,3.1,60,72,Snow,light snow showers
1725584400000,-12,97,1018,3.4,157,77,Snow,light snow showers
1725588000000,-12,97,1015,3.8,296,82,Snow,light snow showers
1725591600000,-10.8,96,1019,4.6,233,88,Snow,light snow showers
1725595200000,-10.4,97,1013,4.5,208,83,Snow,light snow showers
1725598800000,-8.9,97,1016,4.6,294,68,Snow,light snow showers
1725602400000,-9.9,97,1009,4.5,48,88,Snow,light snow showers
1725606000000,-10.9,97,1013,5.7,101,69,Snow,light snow showers
1725609600000,-10.1,97,1018,6.2,277,88,Snow,light snow showers
1725613200000,-9.4,97,1011,5.4,305,82,Snow,light snow showers
1725616800000,-10.1,97,1017,5.1,168,70,Snow,light snow showers
1725620400000,-12,97,1014,3.9,343,70,Snow,light snow showers
1725624000000,-12,97,1010,5.3,336,72,Snow,light snow showers
1725627600000,-12,97,1015,3.9,135,76,Snow,light snow showers
1725631200000,-12,97,1017,4.1,70,84,Snow,light snow showers
1725634800000,-12,97,1015,3.7,259,90,Snow,light snow showers
1725638400000,-12,97,1009,2,237,84,Snow,light snow showers
1725642000000,-12,97,1017,2.6,15,89,Snow,light snow showers
1725645600000,-12,97,1012,2.7,60,72,Snow,light snow showers
1725649200000,-12,97,1018,3.1,157,77,Snow,light snow showers
1725652800000,-12,97,1008,3.9,334,74,Snow,light snow showers
1725656400000,-12,97,1019,4.3,233,89,Snow,light snow showers
1725660000000,-12,97,1011,5.7,148,89,Snow,light snow showers
1725663600000,-12,97,1016,5.3,338,67,Snow,light snow showers
1725667200000,-12,97,1019,6,178,78,Snow,light snow showers
1725670800000,-12,97,1009,4.9,237,84,Snow,light snow showers
1725674400000,-11,97,1014,5.9,201,70,Snow,light snow showers
1725678000000,-12,97,1015,4.8,215,79,Snow,light snow showers
1725681600000,-9.3,97,1018,4.5,157,77,Snow,light snow showers
1725685200000,-9.9,97,1015,4.3,296,82,Snow,light snow showers
1725688800000,-9.9,97,1016,4.8,310,84,Snow,light snow showers
1725692400000,-8.3,94,1013,3.6,208,81,Snow,light snow showers
1725696000000,-10,97,1016,4.8,7,76,Snow,light snow showers
