id,name,buildingID,tenantID,is_active,zone_count
106,Lower Ground Floor,74,2,True,1
105,Ground Floor,74,2,True,1
107,Basement,74,2,True,2
108,5th Floor,74,2,True,1
77,Basement,54,2,True,1
76,Ground Floor,54,2,True,1
74,1st Floor,54,2,True,1
75,Roof,54,2,True,1
42,Ground Floor,29,2,True,1
98,Basement,71,2,True,1
99,Ground Floor,71,2,True,2
95,Ground Floor,68,2,True,5
6,Ground Floor,4,2,True,1
7,4th Floor,4,2,True,1
47,Ground Floor,34,2,True,1
68,Ground Floor,51,2,True,5
67,Lower Ground Floor,51,2,True,1
69,Second Floor,51,2,True,1
97,Ground Floor,70,2,True,1
71,Ground Floor,52,2,True,3
70,Basement,52,2,True,3
72,Roof,52,2,True,1
94,Ground Floor,67,2,True,1
89,Lower Ground,63,2,True,2
88,Upper Ground,63,2,True,1
13,Ground Floor ,10,2,True,1
48,Ground Floor,35,2,True,2
60,Ground Floor,45,2,True,1
9,Ground Floor,6,2,True,1
52,Ground Floor,39,2,True,1
96,Ground Floor,69,2,True,1
49,Ground Floor,36,2,True,1
44,Ground Floor,31,2,True,1
66,Basement,50,2,True,1
65,Ground Floor,50,2,True,3
83,Ground Floor,60,2,True,1
17,Ground Floor,14,2,True,1
93,Ground Floor,66,2,True,1
33,2nd Floor,22,2,True,1
32,Ground Floor,22,2,True,1
82,Ground Floor,59,2,True,1
16,Ground Floor,13,2,True,1
92,Ground Floor,65,2,True,1
3,Ground Floor,2,2,True,1
109,Mezz Floor,2,2,True,0
2,Basement,2,2,True,1
21,Ground Floor,16,2,True,1
20,Basement,16,2,True,3
23,3rd Floor,16,2,True,1
22,2nd Floor,16,2,True,1
87,14th Floor,62,2,True,3
86,Ground Floor,62,2,True,1
110,Ground Floor,75,2,True,1
103,Ground Floor,73,2,True,1
59,Ground Floor,44,2,True,1
14,Ground Floor,11,2,True,1
104,4th Floor,42,2,True,1
56,Ground Floor,42,2,True,2
57,Basement,42,2,True,2
55,Ground Floor,41,2,True,1
61,Ground Floor,46,2,True,1
54,Basement,40,2,True,2
53,Ground Floor,40,2,True,6
58,Ground Floor,43,2,True,1
73,Ground Floor,53,2,True,1
45,Ground Floor,32,2,True,1
12,Ground Floor,9,2,True,1
10,Ground Floor,7,2,True,1
51,Ground Floor,38,2,True,1
18,Ground Floor,15,2,True,1
19,Basement,15,2,True,3
63,Ground Floor,48,2,True,1
39,6th Floor,26,2,True,1
38,Ground Floor,26,2,True,1
15,Ground Floor,12,2,True,1
101,Basement,72,2,True,1
102,1st Floor,72,2,True,1
100,Ground Floor,72,2,True,1
80,Ground Floor,57,2,True,2
35,Ground Floor,24,2,True,1
84,Basement,61,2,True,2
85,Ground Floor,61,2,True,4
28,Ground Floor,19,2,True,2
37,6th Floor,25,2,True,1
36,3rd Floor,25,2,True,1
43,Ground Floor,30,2,True,1
30,Ground Floor,21,2,True,1
31,Basement,21,2,True,1
64,Ground Floor,49,2,True,1
62,Ground Floor,47,2,True,1
5,Lower Ground Floor ,3,2,True,16
4,Ground Floor,3,2,True,1
25,Roof,17,2,True,1
24,Ground Floor,17,2,True,1
50,Ground Floor,37,2,True,1
41,Ground Floor,28,2,True,1
29,Ground Floor,20,2,True,1
46,Ground Floor,33,2,True,1
1,Ground Floor,1,2,True,14
8,Ground Floor,5,2,True,2
27,Ground Floor,18,2,True,1
26,Basement,18,2,True,1
91,8th Floor,64,2,True,0
90,Ground Floor,64,2,True,2
78,Ground Floor,55,2,True,7
40,Ground Floor,27,2,True,1
34,Ground Floor,23,2,True,1
81,Ground Floor,58,2,True,1
11,Ground Floor,8,2,True,1
5,Ground Floor,2,5,True,1
6,11th Floor,2,5,True,1
4,6th Floor,1,5,True,7
2,Ground Floor,1,5,True,1
1,Basement,1,5,True,1
8,3rd Floor,1,5,True,1
3,4th Floor,1,5,True,1
7,Ground Floor,3,5,True,1
1,Ground Floor,1,8,True,2
6,Ground Floor,2,6,True,3
5,Fourth Floor,1,6,True,1
4,Third Floor,1,6,True,1
2,First Floor,1,6,True,1
1,Ground Floor,1,6,True,3
3,Second Floor,1,6,True,1
4,Default,2,4,True,1
3,Default,1,4,True,1
2,1st Floor,3,4,True,1
1,Ground Floor,3,4,True,3
2,First Floor,1,1,True,15
1,Ground Floor,1,1,True,2
1,Ground Floor,1,3,True,2
1,Ground floor ,1,9,True,1
1,Ground Floor,1,7,True,4
